#-символ переноса строки, использовать вместо Entera;;;;;;;;;;
Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Português;Polski;Türkçe
Summon_Blood_Golem;Призыв кровяного голема;Summon Blood Golem;召唤赤血魔像;Blutgolem beschwören;;;;;Przyzwanie Krwawego Golema;
Flesh_Explosion;Взрыв плоти;Flesh Explosion;血肉横飞;Fleischexplosion;;;;;Eksplozja Zwłok;
Dark_Ritual;Тёмный ритуал;Dark Ritual;黑暗仪式;Dunkles Ritual;;;;;Czarny Rytuał;
Blood_Vow;Кровавая клятва;Blood Oath;血誓;Blutschwur;;;;;Krwawa Przysięga;
Crimson_Banner;Алый штандарт;Crimson Banner;绯红旌旗;Karmesinrotes Banner;;;;;Karmazynowy Baner;
Flame_Ring;Кольцо пламени;Ring of Fire;火环;Feuerring;;;;;Pierścień Ognia;
Incineration;Испепеление;Incineration;焚烬;Einäscherung;;;;;Spopielenie;
Melting_Ray;Плавящий луч;Melting Ray;熔岩之火;Schmelzender Strahl;;;;;Roztapiający Promień;
Magma_Rain;Магмовый дождь;Magma Rain;岩浆之雨;Magmaregen;;;;;Deszcz Magmy;
Inferno;Инферно;Inferno;炎狱;Inferno;;;;;Inferno;
feed_the_flames;Поддать жару;Feed the Flames;饲焰;Flammen füttern;;;;;Uczta Płomieni;
flame_saturation;Насыщение пламенем;Flame Saturation;烈焰回神;Flammensättigung;;;;;Nasycenie Płomieni;
scorch;Ожоги;Scorch;炙焰;Versengen;;;;;Przypieczenie;
safe_distance;Безопасная дистанция;Safe Distance;安全距离;Sichere Distanz;;;;;Samoobrona;
baptism_of_fire;Крещение огнём;Baptism by Fire;灼焰浸洗;Feuertaufe;;;;;Chrzest Ognia;
pyromania;Пиромания;Pyromania;与火共舞;Pyromanie;;;;;Piromania;
Cleave;Разрубающий взмах;Cleaving Strike;横扫;Spaltender Streich;;;;;Rozłupywanie;
Keeping_Distance;Держать дистанцию;Keeping Distance;保持距离;Distanz wahren;;;;;Trzymanie Dystansu;
Advance;Наступление;Onrush;冲前一剑;Attacke!;;;;;Napór;
Fencer_Stance;Стойка фехтовальщика;Fencer's Stance;击剑站姿;Fechthaltung;;;;;Pozycja Szermierza;
care_blade;Уход за клинком;Blade Maintenance;爱刀如命;Klingenpflege;;;;;Dbałość o Ostrze;
gloat;Злорадство;Gloat;扬刀立威;Großtun;;;;;Napawanie Się;
stamina_training;Тренировки выносливости;Endurance Training;耐力训练;Ausdauertraining;;;;;Trening Wytrzymałościowy;
sharpened_edge;Отточенное лезвие;Honed Edge;削铁如泥;Geschliffene Klinge;;;;;Szlifowane Ostrze;
Runic_Boulder;Рунный валун;Runic Boulder;符文巨石;Runenstein;;;;;Runiczny Głaz;
Stone_Armor;Каменная броня;Stone Armor;石甲;Steinrüstung;;;;;Kamienny Pancerz;
Petrification;Окаменение;Petrification;石化;Versteinerung;;;;;Petryfikacja;
Stone_Spikes;Каменные шипы;Stone Spikes;石刺;Steindornen;;;;;Kamienne Kolce;
Boulder_Toss;Бросок валуна;Boulder Toss;投石;Steinwurf;;;;;Rzut Głazem;
Earth_Quake;Землетрясение;Earthquake;地动山摇;Erdebeben;;;;;Trzęsienie Ziemi;
Runic_Explosion;Рунический взрыв;Runic Explosion;符文爆炸;Runische Explosion;;;;;Wybuch Runiczny;
rune_of_binding;Руна связи;Rune of Binding;燔祭符文;Bindende Rune;;;;;Runa Przypisania;
rune_of_weakening;Руна ослабления;Rune of Enfeeblement;虚弱符文;Rune der Schwächung;;;;;Runa Osłabienia;
rune_of_support;Руна поддержания;Rune of Sustention;延续符文;Rune der Unterstützung;;;;;Runa Utrzymania;
rune_of_engulfment;Руна поглощения;Rune of Absorption;吸收符文;Rune der Absorption;;;;;Runa Absorpcji;
rune_of_impact;Руна дестабилизации;Rune of Destabilization;振荡符文;Rune der Destabilisierung;;;;;Runa Destabilizacji;
rune_of_fortifying;Руна укрепления;Rune of Fortifying;强化符文;Rune der Festigung;;;;;Runa Zahartowania;
rune_of_power;Руна цикла;Rune of Cycle;轮转符文;Rune des Zyklus;;;;;Runa Kręgu;
Ram;Удар щитом;Shield Bash;盾击;Schildschlag;;;;;Uderzenie Tarczą;
Defensive_Stance;Защитная стойка;Defensive Stance;防御站姿;Defensivhaltung;;;;;Pozycja Obronna;
Breakthrough;Прорыв окружения;Breakthrough;突围;Durchbruch;;;;;Przełamanie;
surprise_onrush;Отпор;Retaliation;盾牌反击;Heimzahlung;;;;;Kontratak;
last_bastion;Последний бастион;Last Bastion;鱼死网破;Letzte Bastion;;;;;Ostatni Batalion;
ultimate_resilience;Воплощение стойкости;Embodiment of Resilience;顽抗;Inbegriff der Resilienz;;;;;Ucieleśnienie Odporności;
Cut_Through;Рассечение;Cut Through;劈头;Durchschneiden;;;;;Przecięcie;
Crippling_Lunge;Увечащий выпад;Mutilating Lunge;狠剁;Verstümmelnder Ausfallschritt;;;;;Okaleczający Cios;
Massacre;Резня;Massacre;大开杀戒;Massaker;;;;;Masakra;
Execution;Казнь;Execution;斩首;Exekution;;;;;Egzekucja;
tormenting_swings;Взмах палача;Tormenting Swings;血刃;Quälende Schläge;;;;;Dręczące Pchnięcia;
ferocity;Свирепость;Ferocity;悍斧;Grausamkeit;;;;;Przepychanie;
reprisal;Расправа;Reprisal;血债血偿;Vergeltungsschlag;;;;;Odwet;
show_no_mercy;Беспощадность;No Mercy;痛下杀手;Kein Erbarmen;;;;;Bez Litości;
Onslaught;Натиск;Onslaught;猛攻;Ansturm;;;;;Nawałnica;
Armor_Break;Проломить броню;Armor Break;破甲;Rüstungsbrecher;;;;;Złamanie Pancerza;
Hammer_and_Anvil;Молот и наковальня;Hammer and Anvil;锤和铁砧;Hammer & Amboss;;;;;Młot i Kowadło;
moment_of_weakness;Миг слабости;Moment of Weakness;趁虚而上;Moment der Schwäche;;;;;Moment Słabości;
respite;Передышка;Respite;喘息;Ruhepause;;;;;Wytchnienie;
concussion;Сотрясение;Concussion;当头一棒;Gehirnerschütterung;;;;;Kontuzja;
Feint_Swing;Ложный замах;Feint Swing;虚晃一剑;Fintenschwung;;;;;Mylący Zamach;
Steel_Feast;Пиршество стали;Feast of Steel;刀剑无情;Festmahl des Stahls;;;;;Uczta Stali;
Riposte;Парирование;Parry;招架;Parieren;;;;;Parowanie;
Arc_Cleave;Удар по дуге;Arc Cleave;横扫;Bogenschlitzer;;;;;Łuk Przecinania;
recklessness;Безрассудство;Recklessness;无所畏惧;Tollkühnheit;;;;;Lekkomyślność;
courage;Отвага;Courage;胆气逼人;Courage;;;;;Odwaga;
fight_to_death;Бой насмерть;Fight to the Death;死战;Kampf bis zum Tod;;;;;Walka aż do Śmierci;
taste_of_victory;Вкус победы;Taste of Victory;一鼓作气;Geschmack des Sieges;;;;;Smak Zwycięstwa;
revanche;Реванш;Revanche;伺机以动;Revanche;;;;;Revanche;
Double_Jab;Двойной выпад;Double Lunge;双刃贯耳;Doppelter Ausfallschritt;;;;;Podwójne Cięcie;
Gaping_Wound;Зияющая рана;Gaping Wound;破伤;Klaffende Wunde;;;;;Otwarta Rana;
Painful_Stabs;Болезненные удары;Painful Stabs;辣手利刃;Schmerzhafte Stiche;;;;;Bolesne Pchnięcia;
Coup_de_Grace;Удар милосердия;Coup de Grace;恩赐解脱;Coup de Grace;;;;;Coup de Grace;
quick_change;Быстрые руки;Quick Hands;快手如风;Flinke Hände;;;;;Szybkie Rączki;
from_the_shadow;Из тени;From the Shadows;暗中奇袭;Aus den Schatten;;;;;Z Cienia;
counterattack_mastery;Мастерство контрударов;Counterattack Mastery;反击高手;Kontern-Meisterschaft;;;;;Mistrzostwo Kontrowania;
weakening_jabs;Ослабляющие уколы;Weakening Jabs;虚弱猛刺;Schwächende Stiche;;;;;Osłabiające Ukłucie;
dance_of_death;Пляска смерти;Danse Macabre;死亡之舞;Totentanz;;;;;Taniec Makabry;
Hail_of_Blows;Град ударов;Hail of Blows;乱杖;Schlagregen;;;;;Grad Ciosów;
Step_Aside;Расступись!;Step Aside!;让路！;Tritt beiseite!;;;;;Odsuń się!;
Unwavering_Stance;Стойка непоколебимости;Unwavering Stance;不动不摇;Unbeugsame Haltung;;;;;Niezachwiana Postawa;
Peacemaker;Миротворец;Peacemaker;和为贵;Friedensstifter;;;;;Rozjemca;
destabilizing_hits;Дестабилизирующие удары;Destabilizing Hits;踉跄杖;Destabilisierende Treffer;;;;;Destabilizujące Uderzenia;
now_or_never;Сейчас или никогда;Now or Never;机不可失;Jetzt oder nie;;;;;Teraz albo Nigdy;
triumph;Триумф;Triumph;胜利;Triumph;;;;;Triumf;
battle_trance;Боевой транс;Battle Trance;与杖同在;Kampfrausch;;;;;Trans Bitewny;
Taking_Aim;Прицеливание;Taking Aim;瞄准;Anvisieren;;;;;Przymierzenie;
Distracting_Shot;Отвлекающий выстрел;Distracting Shot;分散注意;Ablenkender Schuss;;;;;Rozpraszający Strzał;
Long_Range_Shot;Дальнобойный выстрел;Long-Range Shot;远射;Fernschuss;;;;;Dalekosiężny Strzał;
Suppression;Подавление;Suppression;压制;Unterdrücken;;;;;Tłumienie;
Pierce_Through_Missile;Пробитие навылет;Piercing Shot;穿身箭;Durchdringender Schuss;;;;;Przebijający Strzał;
Headshot;Выстрел в голову;Headshot;直射首级;Kopfschuss;;;;;Strzał w Głowę;
Hunters_Mark;Метка охотника;Hunter's Mark;猎人印记;Zeichen des Jägers;;;;;Piętno Łowcy;
constant_training;Постоянная практика;Constant Practice;熟能生巧;Konstante Übung;;;;;Trwała Praktyka;
precision;Меткость;Precision;精准;Präzision;;;;;Precyzja;
thrift;Бережливость;Thrift;节俭;Sparsamkeit;;;;;Oszczędność;
weak_spots;Поиск уязвимостей;Spot Weakness;直奔要害;Schwachpunkt entdecken;;;;;Rozpoznanie Słabości;
anticipation;Предугадывание;Anticipation;先发制人;Vorfreude;;;;;Przewidywanie;
control_shot;Стрельба на поражение;Shoot to Kill;射杀;Schießen, um zu Töten;;;;;Strzał, by Zabić;
upper_hand;Преимущество;Upper Hand;占据上风;Oberhand;;;;;Podniesiona Ręka;
Bestial_Charge;Звериный рывок;Bestial Charge;狂冲;Bestialische Attacke;;;;;Bestialska Szarża;
Backwards_Dash;Отпрыгивание;Jump Away;后撤;Wegspringen;;;;;Odskok;
Phantom_Bats;Призрачные нетопыри;Phantom Bats;幽灵蝙蝠;Phantomfledermäuse;;;;;Widmowe Nietoperze;
Swipe;Размашистый удар;Swipe;重扫;Dreinschlagen;;;;;Trzepnięcie;
Corpse_Devourment;Пожирание трупа;Corpse Devourment;吞尸;Leichenvertilgung;;;;;Pożeranie Ciała;
Blood_Puddle;Лужа крови;Blood Puddle;沸血;Blutlache;;;;;Kałuża Krwi;
Blood_Clot;Сгусток крови;Blood Clot;血块;Blutklumpen;;;;;Skrzep Krwi;
Summon_Zombie;Призыв зомби;Summon Zombie;唤尸;Zombie beschwören;;;;;Wskrzeszenie Zombie;
Unholy_Ritual;Нечестивый ритуал;Unholy Ritual;邪术仪式;Unheiliges Ritual;;;;;Przeklęty Rytuał;
Vampiric_Blood;Вампирическая кровь;Vampiric Blood;嗜血;Vampirblut;;;;;Wampiryczna Krew;
Blood_Craze;Кровавое безумие;Blood Craze;血狂;Blutrausch;;;;;Krwawy Szał;
Willing_Sacrifice;Добровольная жертва;Willing Sacrifice;自我奉献;Opferbereitschaft;;;;;Umyślne Poświęcenie;
Chain_Strike;Удар цепью;Chain Strike;锁链重抽;Kettenschlag;;;;;Łańcuchowe Uderzenie;
Lash_Blessing;Благословение плетью;Lash Blessing;鞭挞;Peitschensegen;;;;;Błogosławieństwo Bicza;
immolation;Жертвоприношение;Immolation;自焚;Opferung;;;;;Poświęcenie;
driven_by_pain;Вдохновление болью;Driven by Pain;伤而愈勇;Vom Schmerz getrieben;;;;;Napędzany Bólem;
Scream_of_Doom;Гибельный крик;Baleful Scream;哀号;Unheilvoller Schrei;;;;;Krzyk Wiary;
berserk;Буйство берсерка;Berserker Frenzy;战狂;Berserkerrausch;;;;;Szał Berserkera;
vow_feat;Обет подвига;Vow of the Feat;冷静过人;Gelübde der Tat;;;;;Przysięga Wyczynu;
trained_eye;Намётанный глаз;Sharp Eye;眼力惊人;Geübtes Auge;;;;;Bystre Oko;
magical_erudition;Магическая эрудиция;Arcane Lore;秘识渊博;Arkanes Wissen;;;;;Wiedza Tajemna;
artifact_knowledge;Знание артефактов;Artifact Knowledge;见多识广;Artefaktwissen;;;;;Wiedza o Artefaktach;
Curse;Проклятие;Curse;诅咒;Fluch;;;;;Klątwa;
Dark_Ressurection;Воскрешение;Resurrection;起死还魂;Wiederbelebung;;;;;Wskrzeszenie;
Dark_Blessing;Нечестивое Благословение;Unholy Blessing;邪术庇佑;Unheiliger Segen;;;;;Przeklęte Błogosławieństwo;
snake_stealth;Змеиная скрытность;Snake Stealth;伏蛇;Schlangentarnung;;;;;Wężowy Podstęp;
;skill_name_end;skill_name_end;skill_name_end;skill_name_end;skill_name_end;skill_name_end;skill_name_end;skill_name_end;skill_name_end;skill_name_end
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;skill_desc;skill_desc;skill_desc;skill_desc;skill_desc;skill_desc;skill_desc;skill_desc;skill_desc;skill_desc
;;;;;;;;;;
;///// OTHER;c;;;;;;;;
;;;;;;;;;;
Trap_Search;С шансом обнаруживает скрытые ловушки в радиусе видимости.;Tem a chance de revelar armadilhas escondidas dentro da sua visão.;有一定几率发现视野内隐藏的陷阱。;Hat die Chance, versteckte Fallen in deinem Sichtfeld aufzudecken.;;;;;Daje szansę na zauważenie pułapek w zasięgu Widoku.;
Series_of_Strikes;Наносит три удара за один ход.#Эти удары получают ~r~-30%~/~ к урону, ~r~-/*Hit_Chance*/%~/~ к точности и ~r~+/*FMB*/%~/~ к шансу неудачи.;Delivers three strikes in one turn.#These strikes have ~r~-30%~/~ Damage, ~r~-/*Hit_Chance*/%~/~ Accuracy and ~r~+/*FMB*/%~/~ Fumble Chance.;一回合击打三次。#每次击打伤害~r~-30%~/~，准度~r~-/*Hit_Chance*/%~/~，失手几率~r~+/*FMB*/%~/~。;Drei Angriffe in einer Runde.#Diese Angriffe haben ~r~-30%~/~ Schaden, ~r~-/*Hit_Chance*/%~/~ Genauigkeit und ~r~+/*FMB*/%~/~ Ungeschicktsein-Chance.;;;;;Zadaje trzy uderzenia w jednej turze.#Ciosy zadają ~r~-30%~/~ Obrażeń, ~r~-/*Hit_Chance*/%~/~ Celności oraz ~r~+/*FMB* /%~/~ szansy na Partactwo.;
Sudden_Attacks;Успешные попадания по незаметившим целям всегда становятся критическими.;Successful attacks against unaware targets are always critical.;攻击没有察觉的目标总会造成暴击。;Angriffe auf ahnungslose Ziele sind immer kritisch.;;;;;Udane ataki przeciwko celom, które nie spodziewają się twojej obecności są zawsze krytyczne.;
snake_stealth;Змеи скрываются в траве, нападая только при приближении чужаков.##Змей можно заметить заранее с помощью высокого ~w~восприятия~/~ или же с помощью способности ~w~"Поиск ловушек"~/~.;Snakes hide in the grass, only attacking when approached by the intruders.##Snakes can be spotted with high ~w~Perception~/~ or by using ~w~"Detect Traps"~/~ ability.;蛇潜伏草中，有人靠近它们的时候，才会攻击。##~w~感知~/~非常灵敏或者运用~w~“探察陷阱”~能力的话，可以发现这些蛇。;Schlangen verstecken sich im Gras und greifen nur dann an, wenn sich Eindringlinge nähern.##Schlangen können mit hoher ~w~Wahrnehmung~/~ oder mit der Fähigkeit ~w~"Fallen erkennen"~/~ entdeckt werden.;;;;;Węże kryją się w trawie, atakują tylko wtedy, kiedy czują się zagrożone przez intruza.##Węże mogą zostać zauważane dzięki rozwiniętej ~w~Percepcji~/~ albo używając zdolności ~w~Wykrywania Pułapek~/~.;
;;;;;;;;;;
;///// PYROMANCY;;;;;;;;;
;;;;;;;;;;
Fire_Barrage;Выпускает в цель серию из трёх сгустков огня, каждый из которых наносит ~o~/*Fire_Damage*/ урона огнём~/~.##Каждый сгусток наносит ~lg~+50%~/~ урона по ~o~горящим~/~ целям.##~y~Пассивный бонус:~/~#~lg~+2.5%~/~ к силе пиромантии;Launches a flurry of three firebolts at the target, each dealing ~o~/*Fire_Damage*/ Fire Damage~/~.##Each fire bolt deals ~lg~+50%~/~ Damage to ~o~burning~/~ targets.##~y~Passive bonus:~/~#~lg~+2.5%~/~ Pyromantic Power;向目标连续发射三颗火球，每颗火球造成~o~/*Fire_Damage*/点灼烧伤害~/~。##火球对~o~着火~/~目标的伤害~lg~+50%~/~。##~y~被动加成：~/~#炎术法力~lg~+2.5%~/~;Startet ein Gestöber von drei Feuerblitzen auf ein Ziel, von denen jeder ~o~/*Fire_Damage*/ Feuerschaden~/~ verursacht.##Jeder Feuerblitz verursacht ~lg~+50%~/~ Schaden an ~o~brennenden~/~ Zielen.##~y~Passiver Bonus:~/~#~lg~+2,5%~/~ Pyromatische Kraft;;;;;Rzuca w cel trzy ogniste pociski, każdy zadający ~o~/*Fire_Damage*/ Obrażeń od Ognia~/~.##Każdy pocisk zadaje ~lg~+50%~/~ Obrażeń celom, które ~o~płoną~/~.##~y~Bonus pasywny:~/~#~lg~+2.5%~/~ Mocy Piromancji.;
Flame_Wave;Наносит ~o~/*Fire_Damage*/ урона огнём~/~ всем целям в зоне.##Уменьшает время восстановления заклинаний ветки на ~lg~1~/~ ход за каждого задетого врага.##~y~Пассивный бонус:~/~#~lg~+2.5%~/~ к силе пиромантии;Deals ~o~/*Fire_Damage*/ Fire Damage~/~ to each target in its area of effect.##Reduces Cooldown Duration for this skill tree by ~lg~1~/~ for each enemy hit.##~y~Passive bonus:~/~#~lg~+2.5%~/~ Pyromantic Power;对效果范围内的所有敌人造成~o~/*Fire_Damage*/点灼烧伤害~/~。##每击中一个敌人，同系法术冷却时间缩短~lg~1~/~个回合。##~y~被动加成：~/~#炎术法力~lg~+2.5%~/~;Verursacht ~o~/*Fire_Damage*/ Feuerschaden~/~ an jedem Ziel in seinem Wirkungsbereich.##Verringert die Abklingzeit für diesen Fertigkeitsbaum um ~lg~1~/~ für jeden getroffenen Gegner.##~y~Passiver Bonus:~/~#~lg~+2,5%~/~ Pyromantische Kraft;;;;;Zadaje ~o~/*Fire_Damage*/ Obrażeń od Ognia~/~ w każdy cel w polu działania.##Zmniejsza Czas Odnowienia umiejętności w tym drzewku o ~lg~1~/~ za każdego trafionego przeciwnika.##~y~Bonus pasywny:~/~#~lg~+2.5%~/~ Mocy Piromancji.;
Flame_Ring;Воспламеняет все соседние клетки, нанося врагам на них ~o~/*Fire_Damage*/ урона огнём~/~.##С ~w~/*Chance*/%~/~ шансом ~o~поджигает~/~ все задетые цели и даёт им ~r~/*Fire_Resistance*/%~/~ к сопр. огню.##~y~Пассивный бонус:~/~#~lg~+2.5%~/~ к силе пиромантии;Ignites surrounding tiles dealing ~o~/*Fire_Damage*/ Fire Damage~/~ to enemies.##Has a ~w~/*Chance*/%~/~ chance to ~o~Ignite~/~ all affected targets and applies ~r~/*Fire_Resistance*/%~/~ Fire Resistance.##~y~Passive bonus:~/~#~lg~+2.5%~/~ Pyromantic Power;点燃周围的方格，对敌人造成~o~/*Fire_Damage*/点灼烧伤害~/~。##有~w~/*Chance*/%~/~的几率~o~点燃~/~所有受到影响的目标，并造成灼烧抗性~r~/*Fire_Resistance*/%~/~。##~y~被动加成：~/~#炎术法力~lg~+2.5%~/~;Entzündet umgebende Felder, die ~o~/*Fire_Damage*/ Feuerschaden~/~ an Gegnern verursachen.##Hat eine ~w~/*Chance*/%~/~ auf ~o~Entzündung~/~ aller betroffenen Ziele und wendet ~r~/*Fire_Resistance*/%~/~ Feuerresistenz an.##~y~Passiver Bonus:~/~#~lg~+2,5%~/~ Pyromantische Kraft;;;;;Podpala okoliczne pola zadając ~o~/*Fire_Damage*/ obrażeń od Ognia~/~ przeciwnikom.##Ma szansę na ~w~/*Chance*/%~/~ szansy na ~o~podpalenie~/~ wszystkich obiektów w zasięgu rażenia oraz nakłada ~r~/*Fire_Resistance*/%~/~ Odporności na Ogień.##~y~Bonus pasywny:~/~#~lg~+2.5%~/~ Mocy Piromancji.;
Incineration;Тушит ~o~горящего~/~ врага, вызывая мощный взрыв в небольшой области.##Взрыв наносит ~o~/*Fire_Damage*/ урона огнём~/~ и с шансом ~o~поджигает~/~ каждую задетую цель на ~w~2-4~/~ хода.##Каждый ход потушенного ~o~горения~/~ повышает ~o~урон~/~ заклинания на ~lg~30%~/~, а шанс ~o~воспламенения~/~ на ~lg~100%~/~.##~y~Пассивный бонус:~/~#~lg~+2.5%~/~ к силе пиромантии;Extinguishes a ~o~Burning~/~ enemy, causing a violent explosion in a small area.##The explosion deals ~o~/*Fire_Damage*/ Fire Damage~/~ with a chance to ~o~Ignite~/~ each affected target for ~w~2-4~/~ turns.##Each remaining turn of the extinguished ~o~Burning~/~ increases the spell's ~o~Damage~/~ by ~lg~30%~/~ and ~o~Ignition~/~ chance by ~lg~100%~/~##~y~Passive bonus:~/~#~lg~+2.5%~/~ Pyromantic Power;扑灭一个~o~着火~/~敌人身上的火焰，在小范围内造成一次猛烈爆炸。##爆炸造成~o~/*Fire_Damage*/点灼烧伤害~/~，并有一定几率~o~点燃~/~所有受到影响的目标，燃烧持续~w~2-4~/~个回合。##~o~点燃~/~几率提升~lg~100%~/~。本法术获得加成~o~伤害~/~，以30%为基数，~o~着火~/~效果消失时若剩余1个回合，则伤害增加30%*1，若剩余2个回合，则伤害增加30%*2，以此类推##~y~被动加成：~/~#炎术法力~lg~+2.5%~/~;Löscht einen ~o~Brennenden~/~ Gegner, wobei eine heftige Explosion in einem kleinen Gebiet verursacht wird.##Die Explosion verursacht ~o~/*Fire_Damage*/ Feuerschaden~/~ mit der Chance, jedes betroffene Ziel für ~w~2-4~/~ Runden ~o~ zu entzünden~/~.##Jede verbleibende Runde des gelöschten ~o~Brennens~/~ erhöht den ~o~Schaden~/~ des Zaubers um ~lg~30%~/~ und die Chance der ~o~Entzündung~/~ um ~lg~100%~/~###~y~Passiver Bonus:~/~#~lg~+2,5%~/~ Pyromantische Kraft;;;;;Gasi ~o~Płonącego~/~ przeciwnika, tworząc gwałtowną eksplozję na małym obszarze.##Eksplozja zadaje ~o~/*Fire_Damage*/ obrażeń od Ognia~/~ z szansą na ~o~Podpalenie~/~ przeciwników w zasięgu działania na ~w~2-4~/~ tury.##Każda tura jaka została po ugaszonym ~o~Podpaleniu~/~ zwiększa ~o~Obrażenia~/~ czarów o ~lg~30%~/~ oraz szansę na ~o~Podpalenie~/~ o ~lg~100%~/~##~y~Bonus pasywny:~/~#~lg~+2.5%~/~ Mocy Piromancji.;
