Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Português;Polski
Brigand Warlock;Чернокнижник-разбойник;Brigand Warlock;土匪男巫;Banditenhexer;;;;;Zbójecki Czarnoksiężnik
Brigand Swordsman;Дезертир;Desertor;逃兵;Deserteur;;;;;Dezerter
Brigand Axeman;Дезертир;Desertor;逃兵;Deserteur;;;;;Dezerter
Brigand Flailer;Дезертир;Desertor;逃兵;Deserteur;;;;;Dezerter
Brigand Sergeant Hammer;Заправила;Ringleader;土匪头子;Anführer;;;;;Lider
Brigand Sergeant Sword;Заправила;Ringleader;土匪头子;Anführer;;;;;Dowódca
Brigand Halberdier;Изменник;Renegade;叛徒;Abtrünniger;;;;;Renegat
Brigand Arbalester;Застрельщик;Ambusheer;弩手;Heckenschütze;;;;;Czatonik
Brigand Conjurer;Колдун-разбойник;Brigand Sorcerer;土匪法师;Räuberischer Zauberer;;;;;Zbójecki Czarodziej
Brigand Cutthroat;Головорез;Cutthroat;亡命之徒;Halsabschneider;;;;;Podżynacz
Brigand Ringleader Sword;Рыцарь-разбойник;Rogue Knight;土匪骑士;Abtrünniger Ritter;;;;;Zbójecki Rycerz
Brigand Ringleader Shield;Рыцарь-разбойник;Rogue Knight;土匪骑士;Abtrünniger Ritter;;;;;Zbójecki Rycerz
Guard Dog;Боевой пёс;War Dog;军犬;Kriegshund;;;;;Pies Wojny
Proselyte Immolated;Обращённый-жертва;Proselyte Immolated;自焚变节信徒;Proselyten-Geopferter;;;;;Samospalony Neofita
Proselyte Tormentor;Обращённый-мучитель;Proselyte Tormentor;辣手变节信徒;Proselyten-Peiniger;;;;;Neofita Dręczyciel
Proselyte Adept;Обращённый-адепт;Proselyte Adept;血法变节信徒;Proselyten-Adept;;;;;Adept Neofitów
Proselyte Hierarch;Обращённый-иерарх;Proselyte Hierarch;变节教主;Proselyten-Hierarch;;;;;Hierarcha Neofitów
Proselyte Flagellant;Обращённый-флагеллянт;Proselyte Flagellant;变节鞭身信徒;Proselyten-Flagellant;;;;;Biczownik Neofitów
Proselyte Champion;Обращённый-избранный;Proselyte Chosen;变节勇士;Proselyten-Auserwählter;;;;;Wybrany Neofitów
Proselyte Outcast;Обращённый-изгой;Proselyte Outcast;变节弃民;Proselyten-Ausgestoßener;;;;;Wygnaniec Neofitów
Proselyte Harbinger;Обращённая-предвестница;Proselyte Harbinger;变节先驱;Proselyten-Vorbote;;;;;Zwiastun Neofitów
Proselyte Apostate;Обращённый-богоотступник;Proselyte Apostate;变节牧师;Proselyten-Abtrünniger;;;;;Apostata Neofitów
Vampire Outcast;Вампир-изгой;Vampire Outcast;吸血弃民;Vampir-Ausgestoßener;;;;;Wampirzy Wygnaniec
Vampire Initiate;Вампир-неофит;Vampire Initiate;吸血半人;Vampir-Initiierter;;;;;Wampiszy Inicjator
Vampire Sharpshooter;Вампир-стрелок;Vampire Sharpshooter;吸血射手;Vampir-Scharfschütze;;;;;Wampirzy Strzelec
Vampire Swordsman;Вампир-мечник;Vampire Swordsman;吸血剑士;Vampir-Schwertkämpfer;;;;;Wampirzy Wojownik
Vampire Noble;Вампир-аристократ;Vampire Noble;吸血贵族;Vampir-Adliger;;;;;Wampirzy Szlachcic
Vampire Acolyte;Вампир-cкованный;Vampire Cagebound;吸血侍祭;Vampir-Käfighund;;;;;Wampirzy Klatownik
Vampire Priestess;Вампир-жрица;Vampire Priestess;吸血祭司;Vampir-Priesterin;;;;;Wampiszy Kapłan
Vampire Befouler;Вампир-осквернитель;Vampire Befouler;吸血法师;Vampir-Beschmutzer;;;;;Wampirzy Plugawiciel
Blood Golem;Кровяной голем;Blood Golem;赤血魔像;Blutgolem;;;;;Krwawy Golem
Proselyte Archon;Архонт;Archon;统领;Archont;;;;;Archon
Reborn Archon;Вознёсшийся Архонт;Ascended Archon;复生统领;Aufgestiegener Archont;;;;;Wywyższony Archon
Vampire Guard;Обращённый-стражник;Guarda Convertido;变节护卫;Proselyten-Wache;;;;;Strażnik Neofitów
Vampire Lord;Вампир-лорд;Senhor dos Vampiros;吸血领主;Vampirlord;;;;;Wampirzy Lord
enemy_name_end;enemy_name_end;enemy_name_end;enemy_name_end;enemy_name_end;enemy_name_end;enemy_name_end;enemy_name_end;enemy_name_end;enemy_name_end
;;;;;;;;;
enemy_desc;enemy_desc;enemy_desc;enemy_desc;enemy_desc;enemy_desc;enemy_desc;enemy_desc;enemy_desc;enemy_desc
Skeleton Swordsman;Наспех вооружившийся по приказу некроманта, этот скелет вполне способен расправиться с неопытным соперником.;Hastily armed under the orders of a necromancer, this skeleton is quite capable of dispatching an inexperienced adversary.;这些骷髅听从死灵法师的命令，虽然装备简陋，但是解决几个没有经验的对手还是没有问题的。;Dieses unter dem Befehl eines Nekromanten hastig bewaffnete Skelett ist durchaus in der Lage, einen unerfahrenen Gegner zu töten..;;;;;Ten szkielet został pośpiesznie uzbrojony pod rozkaz nekromanty, jest zdolny pokonać raczej niedoświadczonego przeciwnika.
Skeleton Axeman;Единственное, что осталось в сознании этого воина - ничем не сдерживаемая жажда битвы.;The only thing remaining in the mind of this warrior is the unrestrained lust for battle.;这个士兵丧失了思考能力，脑中只剩下无法克制的战斗的冲动。;Das Einzige, was diesem Krieger im Gedächtnis bleibt, ist die unbändige Lust am Kampf.;;;;;Jedyna myśl i jedyne pragnienie jakie pozostało w umyśle tego wojownika to niepohamowana rządza walki w bitwie.
Skeleton Guard;Где-то в глубине своей измученной души этот солдат наверняка рад вновь оказаться на посту.;Somewhere deep in his tormented soul, this soldier is probably glad to be back at his post.;他如果还有灵魂的话，应该非常高兴自己能够再次回到自己的岗位。;Irgendwo tief in seiner gequälten Seele ist dieser Soldat wahrscheinlich froh, wieder auf seinem Posten zu sein.;;;;;Gdzieś głęboko w swojej udręczonej duszy ten żołnierz jest raczej szczęśliwy z okazji powrotu na posterunek.
Skeleton Knight;В Альдоре принято хоронить воинов в полном боевом облачении, чтобы те и на том свете смогли постоять за себя. Что ж, это поверье сбылось...;The people of Aldor bury their warriors in full battle gear, so that they could stand up for themselves in the afterlife. Well, this belief has come true...;奥尔多的人下葬士兵的时候，会让他们穿好盔甲，拿好兵器，这样他们才能在死后保护自己。现在看来，这种做法确实有些道理……;Die Leute von Aldor begraben ihre Krieger in voller Kriegsausrüstung, damit sie im Jenseits für sich selbst eintreten können. Nun, dieser Glaube ist wahr geworden...;;;;;Mieszkańcy Aldoru mają w zwyczaju chować zmarłych w pełnym pancerzu, wierząc że po śmierci w innym świecie wstaną bezpieczni, zdrowi i chronieni. No... trochę się spełniło...
Skeleton Ranger;Стрельба из лука с трудом дается нежити из-за обрывочности их сознания. Однако стрелять они будут до последнего.;Shooting a bow is difficult for the undead because their consciousness is fragmented. Nevertheless, they will draw and shoot to the end.;骷髅的意识已经瓦解，所以引弓射箭对他们而言不是一件易事。尽管如此，他们依然会战斗到最后一刻。;Mit dem Bogen zu schießen ist für Untote schwierig, weil ihr Bewusstsein zersplittert ist. Dennoch werden sie den Bogen spannen und Pfeile abschießen bis zum Ende.;;;;;Strzelanie kiepsko wychodzi nieumarłym ze względu na brak tkanki miękkiej i cierpliwości. Jednak mimo to będą strzelać do upadłego.
Skeleton Mage;Воскрешение мага - непростая задача даже для опытного некроманта, ведь восстановление фрагментированного сознания отнимает много времени и сил.;To raise a dead mage is no simple task even for a skilled necromancer. Restoring the fragmented consciousness takes a lot of time and effort.;复活死去的法师非常困难，即便是法术娴熟的死灵法师，也不是人人都能做到。恢复死者瓦解的意识需要很多时间和精力。;Einen toten Magier zu erwecken, ist selbst für einen geübten Nekromanten keine einfache Aufgabe. Die Wiederherstellung des zersplitterten Bewusstseins erfordert viel Zeit und Mühe.;;;;;Wskrzeszenie umarłego maga nie jest łatwe, nawet dla doświadczonego nekromanty. Odnawianie im odrobiny świadomości i myślenia zabiera sporo czasu.
Skeleton Paladin;Некогда он верой и правдой служил королевскому двору. Теперь он служит вновь... но уже не таким достойным людям.;Once he faithfully served the royal court. Now he serves again... to other, less worthy masters.;他过去效忠王室，现在效忠的则是……一些旁门左道。;Einst diente er treu dem Königshof. Jetzt dient er wieder... anderen, weniger würdigen Herren.;;;;;Kiedyś oddanie służył królewskiemu sądowi. Teraz również służy... innemu, nieco mniej bogatemu panu.
Large Ghoul;В упырей обращаются проклятые при жизни люди. Голод этих монстров может утолить только свежая мертвечина.#Этот упырь порядочно разжирел.;People cursed during their lifetime turn into ghouls. Now their hunger can only be satisfied by fresh carrion.#This ghoul has grown rather fat.;人生前如果受到诅咒，死后就会变成食尸鬼，只有新鲜的腐尸才能满足他们。#这只食尸鬼体型相当臃肿。;Menschen, die zu Lebzeiten verflucht wurden, verwandeln sich in Ghule. Jetzt kann ihr Hunger nur noch durch Aas gestillt werden.#Dieser Ghul ist ziemlich dick geworden.;;;;;Ludzie przeklęci za życia po śmierci zamieniająsię w ghule. Teraz ich głód może być zaspokojony tylko świeżymi flakami.#Ten ghul trochę przytył.
Medium Ghoul;В упырей обращаются проклятые при жизни люди. Голод этих монстров может утолить только свежая мертвечина.#Этот упырь недавно пообедал.;People cursed during their lifetime turn into ghouls. Now their hunger can only be satisfied by fresh carrion.#This ghoul has fed recently.;人生前如果受到诅咒，死后就会变成食尸鬼，只有新鲜的腐尸才能满足他们。#这只食尸鬼最近刚刚吃过。;Menschen, die zu Lebzeiten verflucht wurden, verwandeln sich in Ghule. Jetzt kann ihr Hunger nur noch durch Aas gestillt werden.#Dieser Ghul hat kürzlich gespeist.;;;;;Ludzie przeklęci za życia po śmierci zamieniająsię w ghule. Teraz ich głód może być zaspokojony tylko świeżymi flakami.#Ten się chyba ostatnio najadł.
Small Ghoul;В упырей обращаются проклятые при жизни люди. Голод этих монстров может утолить только свежая мертвечина.;People cursed during their lifetime turn into ghouls. Now their hunger can only be satisfied by fresh carrion.;人生前如果受到诅咒，死后就会变成食尸鬼，只有新鲜的腐尸才能满足他们。;Menschen, die zu Lebzeiten verflucht wurden, verwandeln sich in Ghule. Jetzt kann ihr Hunger nur noch durch frisches Aas gestillt werden.;;;;;Ludzie przeklęci za życia po śmierci zamieniająsię w ghule. Teraz ich głód może być zaspokojony tylko świeżymi flakami.
Necromancer;Один из иерархов тайного культа, поднявшего голову в Альдоре. В совершенстве владеет искусством воскрешения мёртвых.;One of the hierarchs of the secret cult that is growing in strength in Aldor. He has perfectly mastered the art of raising the dead.;他所属的秘密教派在奥尔多的势力日益增大，他已经完全掌握了催动亡者的法门。;Einer der Hierarchen des geheimen Kults, der in Aldor an Stärke gewinnt. Er hat die Kunst der Totenerweckung perfekt gemeistert.;;;;;Jeden z hierarchów sekretnego kultu, który ostatnio rośnie w siłę w Aldor. Doskonale opanował sztukę wskrzeszania umarłych.
Necromancer_staff;Один из иерархов тайного культа, поднявшего голову в Альдоре. В совершенстве владеет искусством воскрешения мёртвых.;One of the hierarchs of the secret cult that is growing in strength in Aldor. He has perfectly mastered the art of raising the dead.;他所属的秘密教派在奥尔多的势力日益增大，他已经完全掌握了催动亡者的法门。;Einer der Hierarchen des geheimen Kults, der in Aldor an Stärke gewinnt. Er hat die Kunst der Totenerweckung perfekt gemeistert.;;;;;Jeden z hierarchów sekretnego kultu, który ostatnio rośnie w siłę w Aldor. Doskonale opanował sztukę wskrzeszania umarłych.
Wraith;Гости из загробного мира нередко отличаются нечеловеческой злобой и мстительностью.;Guests from the beyond are notorious for their inhuman malice and vengefulness.;来自彼界，凶恶暴戾，怨气极重。;Gäste aus dem Jenseits sind berüchtigt für ihre unmenschliche Bösartigkeit und Rachsucht.;;;;;Goście z innych światów są bardzo znani ze swojej nieludzkiej chęci zemsty i złośliwości.
Summoned Zombie;Запретная магия поддерживает крупицы жизни в этом зловонном, разбухшем теле.;Forbidden magic sustains the specks of life in this fetid, swollen body.;臭气熏天，臃肿不堪，依靠禁忌魔法维持生力。;Verbotene Magie erhält die Lebensfunken in diesem stinkenden, geschwollenen Körper.;;;;;Zakazana magia wciąż utrzymuje resztki życia w tym cuchnącym, spuchniętym ciele.
Dungeon Bat;Эта древняя порода гигантских нетопырей некогда населяла альдорские чащобы, но была вытеснена оттуда в глубины подземелий.;This ancient breed of giant bats once inhabited the Aldor forests, but was driven out into deep dungeons.;这种巨型蝙蝠古时出没于奥尔多的森林之中，后来被赶到了地下。;Diese alte Rasse von Riesenfledermäusen bewohnte einst die Wälder von Aldor, wurde aber in tiefe Dungeons vertrieben.;;;;;Ten starożytny gatunek gigantycznych nietoperzy niegdyś zamieszkiwał lasy Aldoru, jednak został zepchnięty głęboko do podziemi.
Giant Rat;Порода этих особо крупных и опасных крыс появилась не так давно из-за обилия свежей падали.;This breed of especially large and dangerous rats appeared not so long ago due to the abundance of fresh carrion.;这种老鼠体积硕大，极为危险，出现的时间并没有多久，之所以出现，也是因为新鲜腐尸大量产生。;Diese Rasse besonders großer und gefährlicher Ratten ist vor nicht allzu langer Zeit aufgrund des Überflusses an frischem Aas aufgetaucht.;;;;;Ten gatunek szczególnie dużych i niebezpiecznych szczurów pojawił się nie tak dawno, ze względu na ogromny dostatek świeżych ale martwych ciał.
Rabbit;Пушист и безобиден.;Fofo e inofensivo.;毛茸茸，人畜无害。;Flauschig, knuddelig und harmlos.;;;;;Urocze, słodkie i całkowicie niegroźne.
Fox;Её шкура неплохо ценится.;Peles de raposas são muito caras.;狐狸皮毛相当值钱。;Fuchspelze sind ziemlich teuer.;;;;;Futra z lisów są w cenie.
Boar;Довольно опасен, если разозлить.;Pode ser perigoso quando irritado.;激怒之后，十分危险。;Kann gefährlich werden, wenn verärgert.;;;;;Może być groźny na bliski kontakt.
Wolf;В последнее время волки совсем рассвирепели: они сбиваются в огромные стаи и не боятся нападать на людей.;Hoje em dia, os lobos se tornaram extremamente ferozes: eles se reúnem em bandos enormes e não têm medo de atacar pessoas.;这年头的狼极度凶残，它们成群出没，而且攻击人类。;Heutzutage sind Wölfe extrem wild geworden: Sie sammeln sich in riesigen Rudeln und haben keine Angst, Menschen anzugreifen.;;;;;W ostatnich dniach wilki stały się ekstremalnie pobudzone. Gromadzą się w spore watahy i nie boją się atakować ludzi.
Bear;Медведи не самые агрессивные животные, но они быстро свирепеют, если замечают чужака на своей территории.;Bears are not the most aggressive animals, but they quickly grow fierce if they detect a stranger trespassing on their territory.;熊虽然攻击性不是最强，但是一旦发现陌生生物擅自进入领地，他们会立刻亮出利爪和尖牙。;Bären sind nicht die aggressivsten Tiere, aber sie werden schnell wütend, wenn sie bemerken, dass ein Fremder ihr Territorium unbefugt betritt.;;;;;Niedźwiedzie nie są z reguły agresywne, jednak bardzo często atakują, kiedy ktoś wejdzie na teren ich legowiska.
Moose;Лось - царь альдорского леса. Встретить это могучее животное удаётся нечасто.;O alce é o rei da floresta Aldor. Se deparar com um animail poderoso desses é uma ocorrência rara.;驼鹿是奥尔多森林的王者。这种动物矫健有力，平时很难遇到。;Der Elch ist der König des Waldes von Aldor. Einem dieser mächtigen Tiere zu begegnen, ist ein seltenes Ereignis.;;;;;Łosie to królowie lasów w Aldor. Napotkanie takiego stworzenia w lasach można uznać za wielkie szczęście.
Deer;Олени - одни из самых многочисленных обитателей альдорских лесов.;Os cervos são um dos habitantes mais numerosos das florestas de Aldor.;鹿是奥尔多森林数量最多的一种生物。;Hirsche gehören zu den zahlreichsten Bewohnern in den Wäldern von Aldor.;;;;;Jelenie są niezwykle często spotykanymi mieszkańcami lasów Aldor. W sumie nie tylko lasów, ale to inna historia.
Gulon;Помесь медведя и огромной кошки, гулон отличается необычайной прожорливостью. Те, кому удается повстречаться с этим редким зверем, очень редко выживают.;Um cruzamento entre um urso e um enorme gato, o gulon é extraordinariamente voraz. Aqueles que conseguem encontrar esse animal raro raramente sobrevivem.;谷隆是熊和巨猫杂交的产物，非常凶残。见过这种稀有动物的人，没有几个活着回来的……;Als Kreuzung zwischen einem Bären und einer riesigen Katze ist der Gulon außerordentlich gefräßig. Diejenigen, die es schaffen, diesem seltenen Tier zu begegnen, überleben nur selten.;;;;;Mieszanka pomiędzy niedźwiedziem i wielkim kotem. Gulony są bardzo nienasycone. Ten kto napotka je i ujdzie z życiem jest wielkim szczęściarzem.
Snake;Укусы лесных гадюк смертельно ядовиты - но нападают они, только если их потревожить.;A picada da víbora da floresta é mortal. No entanto, apenas ataca quando perturbada.;人一旦被林蟒咬了，必死无疑。不过，不打扰它，它就不会攻击。;Der Biss der Waldviper ist tödlich. Sie greift jedoch nur an, wenn sie gestört wird.;;;;;Ugryzienie leśnej żmiji jest najczęściej śmiertelne. Jednak, atakuje tylko w chwili zagrożenia.
Putrid Slime;...;...;……;...;;;;;...
Forest Buzzer;Смертожалы - настоящий бич местных лесов. Достаточно большой рой этих огромных насекомых способен расправиться почти с кем угодно.;Deathstingers are the scourge of local forests. A swarm of these huge insects can make short work of anyone.;亡蜂是当时森林的一害，如果来了一群这样的巨蜂，不论什么人都撑不了多久。;Die Todesstachler sind die Geißel der örtlichen Wälder. Ein Schwarm dieser riesigen Insekten kann jeden ins Jenseits befördern.;;;;;Śmierciokolce są zarazą lasów. Cała szarańcza tych wielkich insektów nie wróży najlepiej.
Buzzer Hive;Улей смертожалов. Не стоит его лишний раз тревожить.;A hive of deathstingers. Better not to disturb it.;亡蜂的巢，还是不要招惹为妙。;Eine Behausung der Todesstachler. Besser nicht stören.;;;;;Ul Śmierciokolców. Lepiej mu nie przeszkadzać.
Spiderling;Гигантский паук;...;……;...;;;;;...
Brigand Poacher;Браконьеры были не в ладах с законом ещё до войны, когда они тайком охотились в угодьях знати.;Poachers were at odds with the law even before the war, when they secretly hunted on the lands of nobility.;战乱发生之前，这些猎人便已开始知法犯法，私闯贵族林苑偷猎。;Wilderer waren schon vor dem Krieg mit dem Gesetz in Konflikt, als sie heimlich in den Ländereien des Adels jagten.;;;;;Kłusownicy byli na bakier z prawem nawet przed wojną, kiedy pokryjomu polowali na ziemiach bogaczy.
Brigand Goon;Вчерашний крестьянин, подавшийся в разбойники от голодной жизни. Расходный материал для самой грязной и опасной работы.;A former peasant who had to turn to a life of crime in an attempt to not starve to death. Fodder for dirty and dangerous work.;原本只是一个农民，不想活活饿死，被迫干起了打劫的勾当。脏活、卖命的活是他们干，丢掉小命的也是他们。;Ein ehemaliger Bauer, der sich einem kriminellen Leben zuwenden musste, um nicht zu verhungern. Erledigt schmutzige und gefährliche Arbeit.;;;;;Zwykły wieśniak, który postanowił w swoim życiu wejść na przestępczą drogę, byle tylko nie umrzeć z głodu. Przywykł do brudu i niebezpiecznej roboty.
Brigand Goon Cleaver;Вчерашний крестьянин, подавшийся в разбойники от голодной жизни. Расходный материал для самой грязной и опасной работы.;A former peasant who had to turn to a life of crime in an attempt to not starve to death. Fodder for dirty and dangerous work.;原本只是一个农民，不想活活饿死，被迫干起了打劫的勾当。脏活、卖命的活是他们干，丢掉小命的也是他们。;Ein ehemaliger Bauer, der sich einem kriminellen Leben zuwenden musste, um nicht zu verhungern. Erledigt schmutzige und gefährliche Arbeit.;;;;;Zwykły wieśniak, który postanowił w swoim życiu wejść na przestępczą drogę, byle tylko nie umrzeć z głodu. Przywykł do brudu i niebezpiecznej roboty.
Brigand Thug;Грязный и голодный простолюдин, готовый пойти на любое преступление ради куска хлеба и парочки монет.;A grimy and malnourished commoner, ready to commit any crime for a piece of bread and a couple of gold coins.;平民一个，灰头土脸，面黄肌瘦，只要能吃上面包，手里能有几个钱，管他犯罪不犯罪。;Ein schmutziger und unterernährter Bürger, der bereit ist, für ein Stück Brot und ein paar Goldmünzen jedes Verbrechen zu begehen.;;;;;Ponury i niedożywiony typowy mieszkaniec miast, gotów popełnić każde możliwe przestępstwo za jedzenie i monetę.
Brigand Trasher;Дубина этого туповатого детины с лихвой перекрывает его недостаток сообразительности.;The club carried by this dimwitted brute more than makes up for his lack of smarts.;这个伙计脑子不怎么灵光，你问他敲打过多少人？他自己都数不清楚。;Die Keule, die von diesem dämlichen Rohling getragen wird, macht seinen Mangel an Intelligenz mehr als wett.;;;;;Wielka maczuga trzymana przez tego przymulonego brutala wygląda dużo lepiej od niego samego.
Brigand Rioter;Нищета и страх голодной смерти вынуждают браться за оружие даже самых кротких. ;Even the meekest of folks may take up arms when faced by poverty and the prospect of hungry death.;兔子急了都会咬人，何况是人。再怎么温顺的人，穷疯了，饿急了，也会造反。;Selbst die Sanftmütigsten können zu den Waffen greifen, wenn sie mit Armut und der Aussicht auf den Hungertod konfrontiert werden.;;;;;Nawet najskromniejsi ludzie mogą wziąć broń, gdy stają w obliczu ubóstwa i perspektywy głodnej śmierci.
Brigand Kingpin;Здоровенный бугай, твёрдо уверенный в том, что нет на свете такой проблемы, которую было бы нельзя решить запугиванием или насилием.;A burly fellow, who is dead sure that every problem can be resolved with intimidation and violence.;五大三粗，坚信所有问题都能靠恐吓和动手解决。;Ein stämmiger Bursche, der sich todsicher ist, dass jedes Problem mit Einschüchterung und Gewalt gelöst werden kann.;;;;;Burczący jegomość, który jest śmiertelnie pewien tego, że każdy problem rozwiąże groźbami albo przemocą.
Brigand Sidekick;В подельники выбиваются разбойники, прожившие достаточно долго, чтобы заработать уважение старших товарищей.;Bandits that manage to stay alive long enough to earn their cronies' respect become henchmen to their leader.;这些土匪混得久了，跟伙计打成了一片，慢慢也就成了头目的心腹。;Banditen, die es schaffen, lange genug am Leben zu bleiben, um sich den Respekt ihrer Kumpane zu verdienen, werden zu Gefolgsleuten ihres Anführers.;;;;;Bandyci, którzy żyją dostatecznie długo, by zarobić sobie nieco koron, tak czy siak dalej są popychadłami swoich hersztów.
Brigand Henchman;В подельники выбиваются разбойники, прожившие достаточно долго, чтобы заработать уважение старших товарищей.;Bandits that manage to stay alive long enough to earn their cronies' respect become henchmen to their leader.;这些土匪混得久了，跟伙计打成了一片，慢慢也就成了头目的心腹。;Banditen, die es schaffen, lange genug am Leben zu bleiben, um sich den Respekt ihrer Kumpane zu verdienen, werden zu Gefolgsleuten ihres Anführers.;;;;;Bandyci, którzy żyją dostatecznie długo, by zarobić sobie nieco koron, tak czy siak dalej są popychadłami swoich hersztów.
Brigand Crook;Расчетливый головорез, готовый убивать за пригорошню золота... или просто ради развлечения.;A cold-blooded thug willing to kill for a fistful of coins... or just for fun.;心狠手辣，杀人只是为了捞几个金币……也可能只是为了开心。;Ein kaltblütiger Ganove, der bereit ist, für eine Handvoll Münzen zu töten... oder einfach nur zum Spaß.;;;;;Zimnokrwisty drań, który chce sobie pozabijać dla garści monet... albo dla zabawy.
Brigand Renegade;Некоторые стражники со временем понимают, что грабить не в пример выгодней, чем защищать от грабежа других.;Some guardsmen eventually decide that robbing is more profitable than protecting others from being robbed.;这个保镖终于开窍了，发现抢劫比保护别人来钱更快。;Einige Wachleute entschieden irgendwann, dass Raubüberfälle profitabler sind, als andere vor Raubüberfällen zu schützen.;;;;;Niektórzy strażnicy zauważają w końcu, że napady są czasami bardziej zyskowne niż ochranianie innych przed napadem.
Brigand Mancatcher;Ловцы - умелые и жестокие наёмники, не чурающиеся самых гнусных методов охоты за головами.;A skillful and cruel headhunter that employs even the most vicious tactics to catch his prey.;残酷无情，诡计多端，只要拐卖能成功，什么手段都敢用。;Ein geschickter und grausamer Kopfgeldjäger, der selbst die bösartigsten Taktiken anwendet, um seine Beute zu fangen.;;;;;Doświadczony i okrutny łowca głów, który nie cofnie się przed najbardziej krwawymi metodami, by złowić swój cel.
