тип;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski
Search the Shelves;Обыскать полки;Search the Shelves;翻找架子;Durchsuche die Regale;;;;Przeszukaj półki
Move Onward;Продолжить путь;Keep Going;继续前进;Mach weiter;;;;Eksploruj dalej
Find the Transition;Найти переход на другой этаж;Find the Way to the Next Floor;找到前往下一层的路;Finde einen Weg zur nächsten Ebene;;;;Odnajdź drogę na kolejne piętro
Explore the Chapel;Исследовать часовню;Explore the Chapel;探索教堂;Erkunde die Kapelle;;;;Zbadaj Kaplicę
Destroy Statues;Уничтожить статуи;Destroy the Statues;摧毁雕像;Zerstöre die Statuen;;;;Zniszcz Posągi
Kill Archon;Убить Архонта;Kill the Archon;杀死统领;Töte den Archonten;;;;Zabij Archona
Pick Up the Stoneshard;Подобрать Осколок;Pick Up the Stoneshard;捡起紫色晶石;Nimm den Steinsplitter;;;;Podnieś Stoneshard
Talk with Companions;Поговорить с компаньонами;Talk with your Companions;与同伴交谈;Rede mit deinen Kompagnons;;;;Porozmawiaj z kompanami
Main quest;Сбор каравана;Gathering the Caravan;找回探宝队成员;Sammeln der Karawane;;;;Zbierz Karawanę
Complete three contracts;Выполнить три контракта;Complete Three Contracts;完成三个契据的任务;Erfülle drei Aufträge;;;;Ukończ trzy Kontrakty
Return to Verren;Вернуться к Веррену;Return to Verren;找到维伦;Kehre zu Verren zurück;;;;Wróć do Varrena
Meet Veren at the camp;Встретиться с Верреном в лагере;Meet Verren in the Camp;和维伦在营地见面;Triff Verren im Lager;;;;Spotkaj się z Varrenem w obozie
Go to Mannshire;Отправиться в Манншир;Go to Mannshire;前往曼郡;Geh nach Mannshire;;;;Udaj się do Mannshire
Get Bounty;Показать старейшине контракт;Show the Contract to the Elder;带着契据去见村长;Zeige den Auftrag dem Ältesten;;;;Pokaż Kontrakt starszemu
Return to Verren;Вернуться к Веррену;Return to Verren;找到维伦;Kehre zu Verren zurück;;;;Powróć do Varrena
Talk to Elder;Поговорить со старейшиной Осбрука;Talk to the Osbrook's Elder;与村长对话;Sprich mit dem Ältesten;;;;Porozmawiaj ze starszym
Find Mannshire's Elder;Найти старейшину Маншира;Find Mannshire's Elder;找到曼郡村长;Finde den Ältesten von Mannshire;;;;Odnajdź starszego Mannshire
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;text_end;text_end;text_end;text_end;;;;text_end
