тип;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski
hungerTitle;Потребности;Necessidades;果腹饮水;Bedürfnisse;;;;Potrzeby
;;;;;;;;
hunger1;Вас мучают голод и жажда. Чем они выше, тем хуже вы себя чувствуете.;Você está sofrendo de fome e sede. Quanto mais faminto e sedento você fica, pior é sua condição geral..;你会饥饿，也会口渴。你越是饿，越是渴，整体的状态就越差。;Du leidest an Hunger und Durst. Je stärker sie sind, desto schlechter ist dein Gesamtzustand.;;;;Trawi cię głód oraz pragnienie. Im bardziej jesteś głodny lub spragniony, tym twoja ogólna kondycja jest gorsza.
hunger2;Чтобы утолить их, наведите на еду и питьё и вызовите контекстное меню [~lg~ПКМ~/~]. Выберите опцию ~y~"Съесть"~/~ и ~y~"Выпить"~/~ соответственно.##Вы также можете быстро применять предметы горячей клавишей [~lg~Alt + ЛКМ~/~].;Para saciá-los, passe o mouse sobre comida e água e abra o menu de contexto [~lg~RMB~/~]. Escolha as opções ~y~"Comer"~/~ e ~y~"Beber"~/~ de acordo. ##Também é possível usar itens rapidamente pressionando [~lg~Alt + LMB~/~].;如果不想太过饥饿或者口渴，可以将鼠标停在相应的食物或水上，然后[~lg~RMB~/~]调出菜单，选择~y~“吃”~/~或者~y~“喝”~/~。##也可以点击[~lg~Alt + LMB~/~]，直接使用相应物品。;Um sie zu stillen, bewege die Maus über Essen und Wasser und rufe das Kontextmenü auf [~lg~RMB~/~]. Wähle die Optionen ~y~"Essen"~/~ und ~y~"Trinken"~/~ entsprechend aus.##Es ist auch möglich, Elemente schnell zu verwenden, indem du [~lg~Alt + LMB~/~] drückst.;;;;By zaspokoić potrzeby, najedź myszą na jedzenie oraz wodę i wywołaj menu poboczne [~lg~prawym klawiszem myszy~/~]. Wybierz opcje ~y~"Zjedz"~/~ oraz ~y~"Wypij"~/~ .##Możesz również szybko skorzystać z tych przedmiotów poprzez [~lg~Alt + lewy klawisz myszy~/~].
;;;;;;;;
lockpickTitle;Взлом;Arrombar Fechaduras;开锁;Schlösserknacken;;;;Otwieranie zamków
;;;;;;;;
lockpick1;Иногда вам будут встречаться запертые замки. Для их открытия требуются особые предметы - отмычки, ломики или подходящие ключи.;Ocasionalmente, você encontrará portas trancadas. Para abri-los, você pode usar itens especiais - gazuas, pé de cabra ou chaves de ajuste.;有的时候，你会碰到上锁的门，要想打开门锁，就要用的开锁工具、撬棍或者相应的钥匙这些特殊物品。;Gelegentlich wirst du auf verschlossene Türen stoßen. Um sie zu öffnen, kannst du spezielle Gegenstände verwenden - Dietriche, Brecheisen oder passende Schlüssel.;;;;Czasami napotkasz zamknięte drzwi i inne obiekty. By je otworzyć możesz wykorzystać różne przedmioty - wytrychy, łomy albo po prostu pasujące klucze.
lockpick2;Взломайте дверь с помощью отмычек.##Для этого вызовите контекстное меню решётки с помощью [~lg~ПКМ~/~] и выберите опцию ~y~"Взломать"~/~.;Abra a fechadura com uma gazua. ## Para fazer isso, abra o menu clicando na porta com [~lg~RMB~/~] e escolha a opção ~y~"Destrancar"~/~.;使用开锁工具开锁。##首先需要[~lg~RMB~/~]调出门的选项菜单，然后选择~y~“开锁”~/~。;Öffne das Schloss mit einem Dietrich##Rufe dazu das Kontextmenü der Tür mit [~lg~RMB~/~] auf und wähle die Option ~y~"Schlossknacken"~/~.;;;;Otwórz drzwi wytrychem.##By to uczynić, wywołaj menu klikając na drzwi [~lg~prawym klawiszem myszy~/~] i wybierając opcję ~y~"Użyj Wytrychu"~/~.
;;;;;;;;
combatTitle;Бой;Combate;战斗;Kampf;;;;Walka
;;;;;;;;
combat1;Stoneshard - ~y~пошаговая~/~ игра, где почти все действия занимают ход.##Враги действуют только после вашего хода, поэтому вы можете не спешить и тщательно обдумывать свои действия.##В случае необходимости вы можете пропускать свои ходы нажатием [/*SKIP_TURN*/].;Stoneshard é um jogo ~/~baseado em turnos~/~, onde quase todas as ações dão um turno.##Os inimigos agem apenas quando o turno termina, para que você possa dedicar seu tempo e refletir sobre suas ações.##Se necessário, você pode pular seu turno pressionando [/*SKIP_TURN*/].;《紫色晶石》采用~y~回合制~/~玩法，绝大多数行动都需要一个回合。##只有你的回合结束，敌人才能行动，所以你在行动之前，可以仔细思考，不用着急。##如有必要，也可以按[/*SKIP_TURN*/]，跳过回合。;Stoneshard ist ein ~y~rundenbasiertes~/~ Spiel, bei dem fast jede Aktion einen Zug erfordert.## Gegner agieren nur, wenn dein Zug endet, also kannst du dir Zeit nehmen und deine Aktionen durchdenken.## Falls nötig, kannst du deine Züge überspringen, indem du [/*SKIP_TURN*/] drückst.;;;;Stoneshard to gra ~y~turowa~/~, gdzie niemal każda akcja zabiera turę.##Przeciwnicy wykonują swoje ruchy po twojej turze, więc masz czas przemyśleć swoje działania.##Jeżeli uznasz za stosowne, możesz przeczekać swoją turę nic nie robiąc wciskając [/*SKIP_TURN*/].
combat2;Убейте стражника. Для этого подойдите к нему и нажимайте [~lg~ЛКМ~/~] для обмена ударами.##Вы также можете ~y~осматривать~/~ врагов, чтобы больше узнать об их свойствах - для этого откройте контекстное меню противника с помощью [~lg~ПКМ~/~] и выберите опцию ~y~"Осмотреть"~/~.;Mate o guarda. Para fazer isso, aproxime-se dele e pressione [~lg~LMB~/~] para trocar golpes.##Você também pode inspecionar os inimigos para aprender mais sobre eles - abra o menu de contexto do inimigo pressionando [~lg~RMB~/~] e escolha a opção ~y~"Inspecionar"~/~.;杀死护卫。你要走到他旁边，然后按[~lg~LMB~/~]和他打斗。##你还可以将鼠标停在敌人身上，按[~lg~RMB~/~]调出选项菜单，选择~y~“查看”~/~，详细了解敌人。;Töte die Wache. Dazu nähere dich ihr und drücke [~lg~LMB~/~], um anzugreifen. Du kannst auch Gegner untersuchen, um mehr über sie zu erfahren - öffne das Kontextmenü des Gegners durch Drücken von [~lg~RMB~/~] und wähle die Option ~y~Untersuchen"~/~.;;;;Zabij strażnika. By to uczynić zbliż się do niego i wciśnij [~lg~lewy klawisz myszy~/~].##Możesz również nauczyć się nieco więcej o przeciwnikach - otwórz menu na strażniku klawiszem [~lg~RMB~/~] i wybierz ~y~"Sprawdź"~/~.
;;;;;;;;
trapsTitle;Ловушки;Armadilhas;陷阱;Fallen;;;;Pułapki
;;;;;;;;
traps1;Вам не раз встретятся скрытые ловушки. Вы можете обнаруживать их ~y~пассивно~/~ - шанс заметить ловушку зависит от показателя восприятия.;YVocê encontrará frequentemente armadilhas ocultas. Você pode descobri-las ~y~passivamente~/~ - a chance de detectar uma armadilha depende do seu atributo Percepção.;你会遇到隐蔽的陷阱。你有一定几率可以~y~直接~/~发现周围的陷阱，这一几率与你的感知属性有关。;Du wirst oft auf versteckte Fallen stoßen. Du kannst sie ~y~passiv~/~ entdecken - die Chance, eine Falle zu entdecken, hängt von deinem Wahrnehmungsattribut ab.;;;;Często napotkasz na ukryte pułapki. Możesz zauważyć je ~y~pasywnie ~/~ - automatyczna szansa na zauważnie pułapki zależy od atrybutu Percepcji.
traps2;Если же вам необходимо срочно узнать, есть ли ловушки в вашей зоне видимости, воспользуйтесь базовым умением ~y~"Поиск ловушек"~/~, только что добавленном на панель способностей.##Чтобы применить его, нажмите [~lg~1~/~].;Se você precisar saber imediatamente se há armadilhas a seu redor, use sua habilidade básica ~y~"Detectar armadilhas"~/~ - ela acabou de ser adicionada à sua barra de habilidades.##Pressione [~lg~1~/~] para usá-lo.;如果你想立刻了解自己视野范围之内有无陷阱，可以运用技能栏的基本技能~y~“探察陷阱”~/~。##按[~lg~1~/~]即可使用。;Wenn du sofort wissen willst, ob es in deinem Sichtfeld Fallen gibt, kannst du deine Grundfertigkeit ~y~"Fallen erkennen"~/~ anwenden - sie wurde gerade deiner Fertigkeitsleiste hinzugefügt.##Drücke [~lg~1~/~], um sie zu verwenden.;;;;Jeżeli potrzebujesz natychmiast rozejrzeć się i poszukać pułapek w zasięgu swojego Widoku, możesz użyć umiejętności ~y~"Wykryj Pułapki"~/~ - właśnie została dodana do twojego paska. Wciśnij [~lg~1~/~], by ją użyć.
traps3;Ловушка обнаружена - осталось её обезвредить.##Вызовите контекстное меню ловушки с помощью [~lg~ПКМ~/~] и выберите опцию ~y~"Обезвредить"~/~.##Также ловушки можно попытаться ~y~проскочить~/~ - но это более рискованный вариант, подходящий для персонажей с высоким шансом уворота. Сейчас им пользоваться не стоит.;A armadilha foi revelada. Tudo o que resta é desarmá-la##Abra o menu da armadilha pressionando [~lg~RMB~/~] e escolha a opção ~y~"Desarmar"~/~.##Também é possível tentar ~y~desviar~/~ uma armadilha quando você a passa, mas é uma opção mais arriscada, é  adequada para personagens com alta chance de esquiva. É melhor não usá-lo por enquanto.;你看到了陷阱，现在只要把它拆掉就行了。##按[~lg~RMB~/~]调出陷阱的选项菜单，然后选择~y~“拆除”~/~。##遇到陷阱之后，也可以选择~y~躲避~/~，不过这个选项比较危险，相对更加适合闪躲几率较高的角色。现在还是不要选择为好。;Die Falle wurde aufgedeckt. Es bleibt nur noch, sie zu entschärfen##Nun kann man das Kontextmenü der Falle durch Drücken von [~lg~RMB~/~] aufrufen und die Option ~y~"Entschärfen"~/~ wählen.##Es ist auch möglich, eine Falle beim Darübergehen zu ~y~vermeiden~/~ versuchen, aber es ist eine riskantere Option, die sich eher für Charaktere mit hoher Ausweichen-Chance eignet. Es ist besser, sie vorerst nicht zu benutzen.;;;;Odkryto pułapkę. Wszystko, co pozostało to ją rozbroić.##By przywołać menu na pułapce użyć [~lg~prawego klawisza myszy~/~], a następnie wybierz ~y~"Rozbrój"~/~.##Istnieje również opcja ~y~Uniknięcia~/~ pułapki przechodząc przez nią. Jest to bardziej niebezpieczna opcja, bardziej odpowiednia dla postaci z dużą Szansą na Unik. Lepiej na razie ją rozbroić.
;;;;;;;;
medicineTitle;Медицина;Medicina;药物;Medizin;;;;Medykamenty
;;;;;;;;
medicine1;Вы получили ~r~травму~/~.#Откройте меню персонажа клавишей [/*CHARACTER_MENU*/] и переключитесь на ~y~вкладку здоровья~/~.;Você foi ferido.#Abra o menu do personagem pressionando a tecla [/*CHARACTER_MENU*/] e selecione a guia ~y~Vida~/~.;你受伤了。#按[/*CHARACTER_MENU*/]键，打开人物窗口，然后选择~y~生命条~/~。;Du bist verletzt worden.#Öffne das Menü des Charakters, indem du die Taste [/*CHARACTER_MENU*/] drückst und die Registerkarte ~y~Gesundheit~/~ wählst.;;;;Twoje ciało pokrywają rany.#Otwórz menu postaci klawiszem [/*CHARACTER_MENU*/], a następnie wybierz zakładkę ~y~Zdrowia~/~.
medicine2;Здесь вы найдёте всю необходимую информацию о своём здоровье: показатели голода, жажды, интоксикации, боли, психики, а также состояние частей тела.;Aqui você encontrará tudo o que precisa saber sobre a saúde do seu personagem: medidores de Fome, Sede, Intoxicação, Dor, Saúde Mental e também as condições das Partes do corpo.;这里显示人物的所有属性：生命、饥饿、口渴、迷醉、疼痛、心智状态以及身体各个部位的状态。;Hier finden du alles, was du über die Gesundheit deines Charakters wissen musst: Hunger, Durst, Vergiftung, Schmerz, Anzeigen für die geistige Gesundheit und auch den Zustand deiner Körperteile.;;;;W tym miejscu znajdziesz wszelkie informacje na temat twojej postaci i jej zdrowia - wskaźniki odpowiadające za Głód, Pragnienie, Otrucie, Ból, Zdrowie Psychiczne oraz informacje w jakim stanie są części ciała.
medicine3;Травмы появляются, когда состояние части тела падает ниже определённой отметки.##Помимо этого, чем хуже общее состояние частей тела, тем ниже максимальный порог восстанавливаемого здоровья##Для начала ~y~стабилизируйте~/~ травму: наведите на шкалу правой ноги, откройте контекстное меню [~lg~ПКМ~/~] и выберите опцию ~y~"Наложить шину"~/~.;Você se machuca quando a condição de uma parte do corpo cai abaixo de um certo limite.##Além disso, quanto pior for a condição de uma  parte do seu corpo, menor será o seu limite máximo de saúde.##Você deve começar estabilizando sua lesão: passe o mouse sobre a sua Barra de condições da perna direita, abra seu menu de contexto [~lg~RMB~/~] e escolha a opção "Aplicar Tala"~/~.;身体部位的状态掉到一定数值以下，你就会受伤。##此外，身体部位的状态越差，生命恢复上限便会越低。##这种情况下，首先需要稳定伤情：将鼠标停在右腿的状态条上，[~lg~RMB~/~]打开选项菜单，然后选择~y~“使用夹板”~/~。;Du wirst verletzt, wenn der Zustand deiner Körperteile unter eine bestimmte Schwelle fällt.##Je nachdem wie sich der Zustand deiner Körperteile verschlechtert hat, wird deine maximale Gesundheitsschwelle niedriger##Du solltest mit der Stabilisierung deiner Verletzung beginnen: schwebe über die Zustandsleiste deines rechten Beins, öffne das Kontextmenü [~lg~RMB~/~] und wähle die Option ~y~"Schiene anwenden"~/~.;;;;Twoje części ciała mogą zostać uszkodzone lub zranione, kiedy wskaźnik spadnie do pewnego poziomu.##Im twoje części ciała są mocniej uszkodzone, tym Maksymalne Zdrowie twojej postaci jest mniejsze.##Zacznij od ustabilizowania ran, najedź myszą na prawą nogę i otwórz menu [~lg~prawym klawiszem myszy~/~], następnie kliknij ~y~"Załóż Stabilizator"~/~.
medicine4;Стабилизированные травмы сохраняют свой негативный эффект, но больше не копят боль. Как только состояние части тела восстановится до определённого предела, травма полностью залечится.##Чтобы ускорить этот процесс, используйте ~y~заживляющую мазь~/~.;Lesões estabilizadas mantêm seu efeito negativo, mas não acumulam mais dor. Quando a condição da sua parte do corpo for restaurada para um determinado limite, ela se recuperará completamente.##Para acelerar esse processo, use uma ~y~Pomada de Cura~/~.;伤情稳定之后，负面效果仍然存在，但是疼痛不会继续加剧。相应部位的状态恢复到一定程度之后，伤痛便会完全消失。##如果希望伤痛尽早消失，可以使用~y~疗伤药膏~/~。;Stabilisierte Verletzungen behalten ihre negative Wirkung, aber sie akkumulieren keine Schmerzen mehr. Wenn der Zustand des Körperteils bis zu einer bestimmten Schwelle wiederhergestellt ist, wird er vollständig heilen.##Um diesen Prozess zu beschleunigen, verwende eine ~y~Heilsalbe~/~.;;;;Ustabilizowane rany zachowują efekt negatywny, ale nie generują więcej Bólu. Gdy stan części ciała odnowi się do pewnego poziomu, rana uleczy się całkowicie.##By przyspieszyć ten proces użyj ~y~Maści Leczącej~/~.
medicine5;Чем ниже ваш уровень здоровья, тем меньше ваш порог боли. ~r~Боль~/~ затрудняет лечение, а на высоких значениях может привести к смерти.##Избавляться от неё можно с помощью различных болеутоляющих расходников - например, ~y~эфирного ингалятора~/~.##Примените его, чтобы понизить боль.;Quanto mais baixa sua saúde, menor seu limiar de dor. A dor torna a cura menos eficaz e pode até matá-lo se atingir números altos o suficiente.##Você pode se livrar dela com uma variedade de analgésicos - um ~y~Inalador de Éter~/~, por exemplo.##Use-o para reduzir sua dor.;生命越少，疼痛阈值越低。疼痛会削弱治疗的效果，加剧到一定程度之后，甚至会令你丧命。##许多止痛药剂均可消除疼痛，~y~乙醚~/~便是其中一种。##吸入乙醚，消除疼痛。;Je niedriger deine Gesundheit, desto niedriger ist deine Schmerzschwelle. Schmerzen machen die Heilung weniger effektiv und können sogar tödlich sein, wenn sie eine ausreichend hohe Wert erreichen. Du kannst sie mit einer Vielzahl von Schmerzmitteln loswerden - zum Beispiel mit einem ~y~Äther-Inhalator~/~. Benutze ihn, um deine Schmerzen zu verringern.;;;;Im niższe twoje Zdrowie, tym niższy jest próg Bólu. Ból sprawia, że leczenie jest mniej skuteczne, a nawet może cię zabić jeżeli przekroczy pewną siłę.##Możesz się go pozbyć używając wielu środków przeciwbólowych - ~y~Inhalatorem Etheru~/~, dla przykładu.##Użyj go, by zmniejszyć Ból.
medicine6;Большинство обезболивающих ядовиты и увеличивают уровень ~r~интоксикации~/~. Интоксикация ухудшает состояние персонажа и смертельно опасна на высоких уровнях.##Вколите ~y~противоядие~/~, чтобы избавиться от неё.;A maioria dos analgésicos é tóxica e aumentará sua intoxicação. A intoxicação é prejudicial à condição do seu personagem e é incrivelmente perigosa se atingir números altos o suficiente. ##Injete ~y~um Antídoto~/~ para se livrar disso.;多数止痛药剂具有毒性，会加重你的迷醉状态。迷醉对于人物状态的影响极大，达到一定程度之后，非常危险。##快给自己注射一剂~y~解药~/~，摆脱迷醉状态。;Die meisten Schmerzmittel sind giftig und erhöhen deine Vergiftung. Eine Vergiftung ist schädlich für den Zustand deines Charakters und ist unglaublich gefährlich, wenn sie einen ausreichend hohen Wert erreicht.##Injiziere ein ~y~Gegenmittel~/~, um sie loszuwerden.;;;;Większość środków przeciwbólowych ma działanie tokstyczne, co spowoduje wzrost Zatrucia. Zatrucie wpływa na wiele czynników kondycji twojej postaci oraz może być bardzo śmiertelne jeżeli przekroczy pewien poziom.##Wstrzyknij ~y~Antidotum~/~, by oczyścić organizm.
medicine7;Вы идёте на поправку, но уровень вашего здоровья всё ещё низок.##Самый лучший способ быстро восстановить здоровье - использовать ~y~Режим отдыха~/~, однако делать это можно только вне боя. Также отдых значительно ускоряет накопление голода и жажды, поэтому им не стоит злоупотреблять.##Теперь перейдите в Режим отдыха [/*REST_MODE*/], чтобы восполнить недостающее здоровье.;Você se sente melhor, mas sua Saúde ainda está baixa. ## A melhor maneira de restaurar a Saúde é usar o ~y~Modo de Descanso~/~, que está disponível apenas fora de batalha. Descansar também acelera seu ganho de Fome e Sede, por isso deve ser usado com moderação.##Entre no Modo de Descanso pressionando [/*REST_MODE*/] para recuperar a saúde perdida.;你好受一点了，可是仍有性命之忧。##~y~休息模式~/~是恢复生命最好的办法，只能在战斗之外启用。休息的时候，你饿得更快，渴得也更快，所以不要动不动就休息。##按[/*REST_MODE*/]键进入休息模式，恢复你的生命。;Du fühlst dich besser, aber deine Gesundheit ist immer noch niedrig.##Die beste Möglichkeit, Gesundheit wiederherzustellen, ist der ~y~Ruhemodus~/~, der nur außerhalb des Kampfes verfügbar ist. Ruhen beschleunigt auch die Zunahme von Hunger und Durst, daher sollte er sparsam eingesetzt werden.##Mit [/*REST_MODE*/] in den Ruhemodus wechseln, um die Gesundheit zu verbessern.;;;;Czujesz się lepiej, jednak Twoje zdrowie wciąż jest na niskim poziomie.##Najlepszym sposobem na odnowienie Zdrowia jest ~y~Tryb Odpoczynku~/~, dostępny jest poza walką. Odpoczywanie zwiększa szybkość z jaką twoja postać staje się głodna i spragniona. Wciśnij [/*REST_MODE*/], by wejść w tryb odpoczynku i odnowić brakującą ilość Zdrowia.
;;;;;;;;
onthewayTitle;В путь;Saindo;出去;Weiterziehen;;;;Naprzód
;;;;;;;;
ontheway1;Отлично. Теперь обыщите остальные ящики, вооружитесь и продолжайте путь.##Чтобы ~y~подсветить~/~ добычу вокруг, зажмите [/*SHOW_LOOT*/].;Bom trabalho. Agora procure nas outras caixas, arme-se e continue.##Você pode ~y~destacar~/~ o loot ao seu redor, segurando [/*SHOW_LOOT*/].;干得好，再去翻一翻别的箱子，找几件能穿、能用的东西。##按住[/*SHOW_LOOT*/]，周围可以翻找的东西就会~y~突出显示~/~。;Gute Arbeit. Jetzt durchsuche die anderen Kisten, bewaffne dich und mach weiter.##Du kannst Beute um dich herum ~y~hervorheben~/~ , indem du [/*SHOW_LOOT*/] hältst.;;;;Świetna robota. Teraz przeszukaj inne skrzynie, uzbrój się i ruszaj naprzód.##Możesz ~y~podświetlić~/~ przedmioty na ziemi używając klawisza [/*SHOW_LOOT*/].
;;;;;;;;
lvlupTitle;Прокачка;Leveling;升级;Aufsteigen;;;;Awansowanie
;;;;;;;;
lvlup1;Вы только что получили ~y~новый уровень~/~! Каждое повышение уровня позволяет вам изучить новую ~y~способность~/~ и увеличить свои ~y~атрибуты~/~.;Você acabou de ~y~upar de nível~/~! Cada novo nível permite que você aprenda uma nova ~y~Habilidade~/~ e melhore seus ~y~Atributos~/~.;你~y~升级~/~啦！每升一级，就能学习一项新的~y~能力~/~，还能提升你的~y~属性~/~。;Du bist soeben eine Stufe ~y~aufgestiegen~/~! Jede neue Stufe ermöglicht es dir, eine neue ~y~Fertigkeit~/~ zu erlernen und deine ~y~Attribute~/~ zu verbessern.;;;;Udało ci się ~y~zdobyć poziom~/~! Każdy nowy poziom pozwala ci na nauczenie się nowych ~y~Zdolności~/~ oraz powiększenie swoich ~y~Atrybutów~/~.
lvlup2;Вы становитесь сильней в первую очередь за счёт расширения арсенала способностей и получения лучшей экипировки.##Атрибуты оказывают менее значительный эффект, позволяя слегка усилить различные аспекты вашего персонажа.;Você fica mais forte adquirindo novas habilidades e encontrando equipamentos melhores.##Os atributos têm um efeito menos distinto, apenas melhorando ligeiramente os vários aspectos do seu personagem..;学会新的能力，获得更好的装备之后，通常都会变得更强。##属性的影响不是特别明显，只会小幅加强人物的一些方面。;Meistens wird man stärker, wenn man neue Fertigkeiten erwirbt, und bessere Ausrüstung findet.##Die Attribute haben eine weniger ausgeprägte Wirkung, sie verbessern nur leicht verschiedene Aspekte des Charakters.;;;;Zazwyczaj stajesz się silniejszym zdobywając nowe Zdolności oraz znajdując lepszy ekwipunek.##Atrybuty mają nieco mniejszy bezpośredni wpływ na postać, delikatnie ulepszając wybrane cechy postaci.
lvlup3;Чтобы распорядиться ~y~очками атрибутов (ОА)~/~, откройте меню персонажа [/*CHARACTER_MENU*/].;Para atribuir seus ~y~Pontos de Atributo (PA)~/~, abra o menu do Personagem[/*CHARACTER_MENU*/].;要想分配~y~属性点（AP）~/~，按[/*CHARACTER_MENU*/]即可打开人物窗口。;Um deine ~y~Attributpunkte (AP)~/~ zu verteilen, öffne das Charaktermenü [/*CHARACTER_MENU*/].;;;;By rozdać swoje ~y~Punkty Atrybutów (PA)~/~ otwórz menu postaci klawiszem [/*CHARACTER_MENU*/].
lvlup4;Здесь вы можете навести курсор на название любого атрибута, чтобы больше узнать о его принципе работы.##Вложите свои ~y~ОА~/~ в любую из понравившихся основных характеристик.;Você pode passar o mouse sobre cada Atributo para aprender sobre seus efeitos.##Atribua seu ~y~PA~/~ a qualquer Atributo Principal de sua preferência.;鼠标停在各个属性上，即可了解其影响。#所有主要属性均可随意分配~y~AP~/~。;Du kannst mit der Maus über jedes Attribut fahren, um mehr über seine Wirkung zu erfahren.##Weise deine ~y~AP~/~ einem beliebigen Primärattribut deiner Wahl zu.;;;;Możesz najechać myszą na każdy z Atrybutów, by poznać ich działanie.##Rozdziel swoje ~y~AP~/~ w wybrany przez siebie atrybut.
lvlup5;Некоторые способности изначально заблокированы для изучения. Для их открытия обычно требуется найти и прочесть соответствующий ~y~трактат~/~.;Algumas habilidades não estão disponíveis inicialmente para o aprendizado. Para desbloqueá-los, você precisa encontrar e ler um ~y~Tratado~/~ correspondente.;有些能力最初不能学习，你要读过相应的~y~文献~/~之后，才能将它们解锁。;Einige Fertigkeiten sind zunächst nicht zum Lernen verfügbar. Um sie freizuschalten, musst du eine entsprechende ~y~Abhandlung~/~ finden und lesen.;;;;Części Zdolności nie sposób się nauczyć bez zdobycia odpowiedniej wiedzy. By je odblokować musisz znaleźć, kupić lub zdobyć ~y~Podręcznik~/~.
lvlup6;Только что вы нашли один из них - он позволит вам начать осваивать ветвь пиромантии.##Для этого откройте инвентарь, кликните на трактате [~lg~ПКМ~/~] и выберите опцию ~y~"Прочесть"~/~.;Você acabou de encontrar um deles - este Tratado permitirá que você inicie o estudo da árvore de habilidades da Piromancia.##Abra seu inventário, abra o menu do Tratado [~lg~RMB~/~] e escolha opção ~y~"Ler"~/~.;你看到了一个文献，读了这本书，你就能开始修习炎系法术了。##打开物品栏，[~lg~RMB~/~]调出文献的选项菜单，然后选择~y~“阅读”~/~。;Du hast gerade eine davon gefunden - diese Abhandlung ermöglicht es dir, mit dem Studium des Pyromantie-Fertigkeitsbaums zu beginnen.##Öffne dein Inventar, rufe das Kontextmenü der Abhandlung auf [~lg~RMB~/~] und wähle die Option ~y~"Lesen"~/~.;;;;Właśnie znalazłeś jeden z nich - ten Podręcznik nauczy cię podstaw w szkole Piromancji.##Otwórz swój ekwipunek i wywołaj menu Podręcznika za pomocą [~lg~prawego klawisza myszy~/~], a następnie wybierz ~y~"Przeczytaj"~/~.
