«;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski;
1;ИНВЕНТАРЬ;INVENTARIO;物品栏;INVENTAR;;;;EKWIPUNEK;
2;Добыча;Saque;战利;Beute;;;;Zdobycz;
3;Сундук;Peito;箱子;Kiste;;;;Skrzynia;
4;Саркофаг;Sarcofago;石棺;Sarkrophag;;;;Sarkofag;
5;Котелок;Caldeirao;大锅;Kessel;;;;Gar;
6;Пень;Tronco;箱子;Stamm;;;;Kufer;
7;Сервант;Armario;碗橱;Schrank;;;;Kredens;
8;Шкаф;Guarda roupa;衣柜;Kleiderschrank;;;;Szafa;
9;Тумбочка;Cabeceira;床头柜;Nachttisch;;;;Stolik nocny;
10;Полка;Estante;架子;Regal;;;;Półka;
11;Ключ;Chaveiro;钥匙挂架;Schlüsselbrett;;;;Hak na klucz;
12;Труп;Cadaver;尸体;Leiche;;;;Ciało;
13;Лук;Arco;弓;Bogen;;;;Łuk;
14;Ящик;Caixa;木箱;Kiste;;;;Skrzynka;
15;Тело Лока;Corpo de Locke;洛克的尸体;Locke's Körper;;;;Ciało Lockego;
16;Стол;Mesa;桌子;Tisch;;;;Stół;
17;Скамья;Banco;长凳;Bank;;;;Ławka;
18;Рюкзак;Mochila;背包;Rucksack;;;;Plecak;
19;ТОРГОВЛЯ;NEGOCIACAO;交易;HANDELN;;;;HANDEL;
20;НАГРАДА;RECOMPENSA;报酬;BELOHNUNG;;;;NAGRODA;
21;АВАНС;AVANCAR;预付;FORTSCHRITT;;;;AWANS;
22;Тюки;Sacos;口袋;Säcke;;;;Worki;
23;Бочка;Barril;木桶;Fass;;;;Beczka;
24;Стойка;Prateleira;架子;Gestell;;;;Stojak;
25;Шкаф;Estante;书柜;Bücherregal;;;;Biblioteczka;
26;Капкан;Armadilha para Urso;捕熊陷阱;Bärenfalle;;;;Pułapka na niedźwiedzia;
27;Шипы;Armadilha de Espigoes;突刺陷阱;Dornenfalle;;;;Pułapka z kolcami;
28;Ваза;Vaso;瓶子;Vase;;;;Waza;
29;Бочка;Barril;木桶;Fass;;;;Beczka;
30;Дверь;Porta;门;Tür;;;;Drzwi;
31;Пьедестал;Pedestal;台座;Sockel;;;;Piedestał;
32;Каменный стол;Mesa de pedra;石桌;Steintisch;;;;Kamienny Stół;
33;Гроб;Caixao;棺材;Sarg;;;;Trumna;
34;Нечестивый алтарь;Altar Profano;邪术祭坛;Unheiliger Altar;;;;Splugawiony Ołtarz;
35;Телега;Carrinho;推车;Karren;;;;Wózek;
36;Статуя;Estatua;雕像;Statue;;;;Posąg;
37;Железная дева;Dama de Ferro;铁处女;Eiserne Jungfrau;;;;Żelazna Dziewica;
38;Дыба;Rack de Tortura;刑具架;Folterbank;;;;Stojak Tortur;
39;Колодки;Estoques;枷锁;Vorräte;;;;Dyby;
40;Клетка;Cela;笼子;Käfig;;;;Klatka;
41;Пыточный стул;Cadeira de tortura;刑椅;Folterstuhl;;;;Krzesło Tortur;
42;Стул;Cadeira;椅子;Stuhl;;;;Krzesło;
43;Кровать;Cama;床;Bett;;;;Łóżko;
44;Груда бочек;Pilha de barris;几个木桶;Stapel Fässer;;;;Sterta beczek;
45;Груда ящиков;Pilha de caixas;几个木箱;Stapel Kisten;;;;Sterta skrzynek;
46;Бадья;Banheira;浴桶;Wanne;;;;Wanna;
47;Нужник;Latrina;便坑;Latrine;;;;Latryna;
;Invent_end;Invent_end;Invent_end;Invent_end;;;;Invent_end;
;;;;;;;;;
;;;;;;;;;
;Skill_menu;Skill_menu;Skill_menu;Skill_menu;;;;Skill_menu;
1;СПОСОБНОСТИ;HABILIDADES;技能;FERTIGKEITEN;;;;ZDOLNOŚCI;
2;Ступень;Nivel;类别;Rang;;;;Poziom;
3;Активные;Ativa;主动;Aktiv;;;;Aktywne;
4;Пассивные;Passiva;被动;Passiv;;;;Pasywne;
5;Вы собираетесь изучить;Voce esta prestes a aprender;你即将学会;Du lernst;;;;Nauka się przyda...;
6;Ступени;Nivel;类别;Rang;;;;Poziom;
7;ОРУЖИЕ;ARMAS;武器;WAFFEN;;;;BRONIE;
8;НАВЫКИ;UTILITARIO;常规;WERKZEUG;;;;DODATKI;
9;МАГИЯ;FEITICARIA;法术;MAGIE;;;;MAGIA;
10;ПРИНЯТЬ;CONFIRMAR;确认;BESTÄTIGEN;;;;POTWIERDŹ;
11;ОТМЕНА;CANCELAR;取消;ABBRUCH;;;;ANULUJ;
;Skill_menu_end;Skill_menu_end;Skill_menu_end;Skill_menu_end;;;;Skill_menu_end;
;;;;;;;;;
;Journal_menu;Journal_menu;Journal_menu;Journal_menu;;;;Journal_menu;
1;ЖУРНАЛ;DIARIO;日志;TAGEBUCH;;;;DZIENNIK;
2;ЗАДАНИЯ;QUESTS;任务;AUFGABEN;;;;ZADANIA;
3;КАРТА;MAPA;地图;KARTE;;;;MAPA;
4;РЕПУТАЦИЯ;REPUTACAO;声誉;RUF;;;;REPUTACJA;
5;СЛУХИ;RUMORES;传言;GERÜCHTE;;;;PLOTKI;
6;БЕСТИАРИЙ;BESTIARIO;敌人图鉴;BESTIARIUM;;;;BESTIARIUSZ;
7;ЗАДАНИЯ;QUESTS;任务;AUFTRÄGE;;;;ZADANIA;
8;КОНТРАКТЫ;RECOMPENSAS;赏金;KOPFGELDER;;;;ZLECENIA;
9;Ход выполнения:;Progresso:;进度：;Fortschritt:;;;;Progres:;
10;Награда:;Recompensa:;报酬：;Belohnung:;;;;Nagroda:;
11;ВЫПОЛНЕННЫЕ;CONCLUIDO;完成;ERLEDIGT;;;;UKOŃCZONE;
12;ПРОВАЛЕННЫЕ;FALHOU;失败;FEHLGESCHLAGEN;;;;PORAŻKI;
;Journal_menu_end;Journal_menu_end;Journal_menu_end;Journal_menu_end;;;;Journal_menu_end;
;;;;;;;;;
;Tier_name;Tier_name;Tier_name;Tier_name;;;;Tier_name;
Swords;Мечи;Espadas;剑;Schwerter;;;;Miecze;
Axes;Топоры;Machados;斧;Äxte;;;;Topory;
Maces;Булавы;Macas;钉头锤;Streitkolben;;;;Buławy;
Daggers;Кинжалы;Adagas;匕首;Dolche;;;;Sztylety;
Greatswords;Двуручные мечи;Espadas Grandes;大剑;Großschwerter;;;;Wielkie Miecze;
Bows;Стрельба;Armas de Distancia;远程武器;Fernkampfwaffen;;;;Bronie Dystansowe;
Shields;Щиты;Escudos;盾牌;Schilde;;;;Tarcze;
Armor;Ношение брони;Armadura;盔甲;Rüstung;;;;Pancerze;
Dual Wielding;Парное оружие;Empunhadura Dupla;双持武器;Zwei Waffen;;;;Dwie Bronie Jednocześnie;
Sabotage;Саботаж;Sabotagem;破坏;Sabotage;;;;Sabotaż;
Medicine;Медицина;Remedio;医药;Medizin;;;;Medycyna;
Pyromancy;Пиромантия;Piromancia;炎术;Pyromantie;;;;Piromancja;
Electromancy;Электромантия;Electromancia;电术;Elektromantie;;;;Elektromancja;
Basic Skills;Основные навыки;Habilidades Basicas;基础技能;Basisfertigkeiten;;;;Podstawowe;
Class Skills;Классовые навыки;Habilidades de Classe;职业技能;Klassenfertigkeiten;;;;Klasowe;
Greataxes;Двуручные топоры;Machados Grandes;大斧;Großäxte;;;;Wielkie Topory;
Greatmauls;Двуручные молоты;Marreta;大锤;Großhämmer;;;;Wielkie Buławy;
Polearms;Древковое оружие;Armas de Haste;长柄武器;Stangenwaffen;;;;Broń Drzewcowa;
Crossbows;Арбалеты;Bestas;弩;Armbrüste;;;;Kusze;
Staves;Посохи;Cajados;长杖;Stäbe;;;;Laski;
Wands;Жезлы;Varinhas;短杖;Zauberstäbe;;;;Różdżki;
Survival;Выживание;Sobrevivencia;生存;Überleben;;;;Przeżycie;
Alchemy;Алхимия;Alquimia;炼金;Alchemie;;;;Alchemia;
Combat;Ведение боя;Maestria em Combate;战斗;Kampfmeisterschaft;;;;Mistrzostwo Walki;
Mastery of magic;Искусство магии;Maestria em Magica;魔法;Magiemeisterschaft;;;;Mistrzostwo Magii;
Venomancy;Веномантия;Venomancia;用毒;Venomantie;;;;Truciznmancja;
Geomancy;Геомантия;Geomancia;地术;Geomantie;;;;Geomancja;
Psymancy;Псимантия;Piromancia;灵术;Psychomantie;;;;Psychomancja;
Astromancy;Астромантия;Astromancia;星术;Astromantie;;;;Astromancja;
Chronomancy;Хрономантия;Cronomancia;命术;Chronomantie;;;;Chronomancja;
Arcanistics;Арканистика;Arcanismo;秘术;Arkanistik;;;;Arkanizm;
Athletics;Атлетика;Atletismo;肢体活动;Athletik;;;;Atletyka;
Cryomancy;Криомантия;Criomancia;冰术;Kryomantie;;;;Cryomancja;
;Tier_name_end;Tier_name_end;Tier_name_end;Tier_name_end;;;;Tier_name_end;
;;;;;;;;;
;;;;;;;;;
;rarity;rarity;rarity;rarity;;;;rarity;
1;обычный / обычная / обычное / обычные;Comum;普通;Gewöhnlicher / Gewöhnliche / Gewöhnliches / Gewöhnliche;;;;Zwykły / Zwykła / Zwykłe / Zwykłe;
2;зачарованный / зачарованная / зачарованное / зачарованные;Encantado;附魔;Verzauberter / Verzauberte / Verzaubertes / Verzauberte;;;;Zaklęte / Zaklęta / Zaklęte / Zaklęte;
3;магический / магическая / магическое / магические;Magico;魔法;Magischer / Magische / Magisches / Magische;;;;Magiczny / Magiczna / Magiczne / Magiczne;
4;легендарный / легендарная / легендарное / легендарные;Lendario;传说;Legendärer / Legendäre / Legendäres / Legendäre;;;;Legendarny / Legendarna / Legendarne / Legendarne;
5;проклятый / проклятая / проклятое / проклятые;Amaldicoado;诅咒;Verfluchter / Verfluchte / Verfluchtes / Verfluchte;;;;Przeklęty / Przeklęta / Przeklęte / Przeklęte;
6;уникальный / уникальная / уникальное / уникальные;�nico;独一无二;Einmaliger / Einmalige / Einmaliges / Einmalige;;;;Unikalny / Unikalna / Unikalne / Unikalne;
;rarity_end;rarity_end;rarity_end;rarity_end;;;;rarity_end;
;;;;;;;;;
;prefix;prefix;prefix;prefix;;;;prefix;
Bleeding_Chance;Зазубренный / Зазубренная / Зазубренное / Зазубренные;Perfurante;倒钩;Stachliger / Stachlige / Stachliges / Stachlige;;;;Zaostrzony / Zaostrzona / Zaostrzone / Zaostrzone;
Fire_Damage;Пламенеющий / Пламенеющая / Пламенеющее / Пламенеющие;Flamejante;烈焰;Flammender / Flammende / Flammendes / Flammende;;;;Płonący / Płonąca / Płonące / Płonące;
Frost_Damage;Морозный / Морозная / Морозное / Морозные;Frio;寒冰;Kühlender / Kühlende / Kühlendes / Kühlende;;;;Chłodzący / Chłodząca / Chłodzące / Chłodzące;
Poison_Damage;Ядовитый / Ядовитая / Ядовитое / Ядовитые;Venenoso;剧毒;Giftiger / Giftige / Giftiges / Giftige;;;;Otruwający / Otruwająca / Otruwające / Otruwające;
HP;Укрепляющий / Укрепляющая / Укрепляющее / Укрепляющие;Fortificando;强身;Stärkender / Stärkende / Stärkendes / Stärkende;;;;Fortyfikujący / Fortyfikująca / Fortyfikujące / Fortyfikujące;
PRR;Устойчивый / Устойчивая / Устойчивое / Устойчивые;Estavel;稳定;Stetiger / Stetige / Stetiges / Stetige;;;;Spokojny / Spokojna / Spokojne / Spokojne;
Shock_Damage;Электризованный / Электризованная / Электризованное / Электризованные;Eletrificado;带电;Elektrifizierter / Elektrifizierte / Elektrifiziertes / Elektrifizierte;;;;Elektryzujący / Elektryzująca / Elektryzujące / Elektryzujące;
EVS;Уклончивый / Уклончивая / Уклончивое / Уклончивые;Enganoso;灵敏;Flüchtiger / Flüchtige / Flüchtiges / Flüchtige;;;;Nieuchwytny / Nieuchwytna / Nieuchwytne / Nieuchwytne;
CTA;Дуэльный / Дуэльная / Дуэльное / Дуэльные;Duelo;对决;Duellierender / Duellierende / Duellierendes / Duellierende;;;;Podwójny / Podwójna / Podwójne / Podwójne;
10;Магический / Магическая / Магическое / Магические;Arcano;秘术;Arkaner / Arkane / Arkanes / Arkane;;;;Tajemny / Tajemna / Tajemne / Tajemne;
Magic_Power;Заряженный / Заряженная / Заряженное / Заряженные;Energizado;魔能;Geladener / Geladene / Geladenes / Geladene;;;;Naładowany / Naładowana / Naładowane / Naładowane;
Caustic_Damage;Кислотный / Кислотная / Кислотное / Кислотные;Acido;酸性;Ätzender / Ätzende / Ätzendes / Ätzende;;;;Toksyczny / Toksyczna / Toksyczne / Toksyczne;
MP_Restoration;Восстанавливающий / Восстанавливающая / Восстанавливающее / Восстанавливающие;Restaurador;回神;Wiederherstellender / Wiederherstellende / Wiederherstellendes / Wiederherstellende;;;;Odnawiający / Odnawiająca / Odnawiające / Odnawiające;
Hit_Chance;Сбалансированный / Сбалансированная / Сбалансированное / Сбалансированные;Equilibrado;均衡;Ausgeglichener / Ausgeglichene / Ausgeglichenes / Ausgeglichene;;;;Balansowany / Balansowana / Balansowane / Balansowane;
Weapon_Damage;Смертоносный / Смертоносная / Смертоносное / Смертоносные;Fatal;致命;Tödlicher / Tödliche / Tödliches / Tödliche;;;;Śmiertelny / Śmiertelna / Śmiertelne / Śmiertelne;
DEF;Крепкий / Крепкая / Крепкое / Крепкие;Resistente;健壮;Robuster / Robuste / Robustes / Robuste;;;;Krzepki / Krzepka / Krzepkie / Krzepkie;
Damage_Received;Оберегающий / Оберегающая / Оберегающее / Оберегающие;Protegido;防护;Schützender / Schützende / Schützendes / Schützende;;;;Ochronny / Ochronna / Ochronne / Ochronne;
Savvy;Рабочий / Рабочая / Рабочее / Рабочие;Astuto;睿智;Geschickter / Geschickte / Geschicktes / Geschickte;;;;Chytry / Chytra / Chytre / Chytre;
VSN;Зоркий / Зоркая / Зоркое / Зоркие;Vigilante;敏锐;Aufmerksamer / Aufmerksame / Aufmerksames / Aufmerksame;;;;Czujny / Czujna / Czujne / Czujne;
20;Осторожный / Осторожная / Осторожное / Осторожные;Cauteloso;谨慎;Vorsichtiger / Vorsichtige / Vorsichtiges / Vorsichtige;;;;Ostrożny / Ostrożna / Ostrożne / Ostrożne;
CRTD;Убийственный / Убийственная / Убийственное / Убийственные;Matando;杀手;Mordender / Mordende / Mordendes / Mordende;;;;Siekający / Siekająca / Siekające / Siekające;
FMB;Удобный / Удобная / Удобное / Удобные;Conveniente;稳健;Handlicher / Handliche / Handliches / Handliche;;;;Poręczny / Poręczna / Poręczne / Poręczne;
23;Взламывающий / Выламывающая / Выламывающее / Выламывающие;Assaltante;盗贼;Einbrechender / Einbrechende / Einbrechendes / Einbrechende;;;;Łamiący / Łamiąca / Łamiące / Łamiące;
STL;Скрытный / Скрытная / Скрытное / Скрытные;Furtivo;潜行;Heimlicher / Heimliche / Heimliches / Heimliche;;;;Skryty / Skryta / Skryte / Skryte;
25;Закалённый / Закаленная / Закаленное / Закаленные;Endurecido;硬化;Gehärteter / Gehärtete / Gehärtetes / Gehärtete;;;;Utwardzony / Utwardzona / Utwardzone / Utwardzone;
Lifesteal;Вампирический / Вампиричиеская / Вампирическое / Вампиричиеское;Vampirico;吸血;Vampirischer / Vampirische / Vampirisches / Vampirische;;;;Wampiryczny / Wampiryczna / Wampiryczne / Wampiryczne;
Damage_Returned;Бдительный / Бдительная / Бдительное / Бдительные;Vigilante;警觉;Wachsamer / Wachsame / Wachsames / Wachsame;;;;Obserwujący / Obserwująca / Obserwujące / Obserwujące;
Slaying_Chance;Обезглавливающий / Обезглавливающая / Обезглавливающее / Обезглавливающие;Decapitando;夺命;Köpfender / Köpfende / Köpfendes / Köpfende;;;;Odcinający / Odcinająca / Odcinające / Odcinające;
Manasteal;Поглощающий / Поглощающая / Поглощающее / Поглощающие;Drenando;精力吸取;Blutsaugender / Blutsaugende / Blutsaugendes / Blutsaugende;;;;Wykradający / Wykradająca / Wykradające / Wykradające;
Health_Restoration;Целебный / Целебная / Целебное / Целебные;Curando;疗伤;Heilender / Heilende / Heilendes / Heilende;;;;Leczący / Lecząca / Leczące / Leczące;
31;Шипованный / Шипованная / Шипованное / Шипованные;Estudado;带钉;Beschlagener / Beschlagene / Beschlagenes / Beschlagene;;;;Ćwiekowany / Ćwiekowana / Ćwiekowane / Ćwiekowane;
Injury_Chance;Сокрушительный / Сокрушительная / Сокрушительное / Сокрушительные;Aleijante;致残;Verkrüppelnder / Verkrüppelnde / Verkrüppelndes / Verkrüppelnde;;;;Okaleczający / Okaleczająca / Okaleczające / Okaleczające;
Armor_Piercing;Бронебойный / Бронебойная / Бронебойное / Бронебойные;Perfuracao de Armadura;穿甲;Durchbohrender / Durchbohrende / Durchbohrendes / Durchbohrende;;;;Przebijający / Przebijająca / Przebijające / Przebijające;
34;Очищающий / Очищающая / Очищающее / Очищающие;Purificacao;净化;Reinigender / Reinigende / Reinigendes / Reinigende;;;;Oczyszczający / Oczyszczająca / Oczyszczające / Oczyszczające;
35;Разумный / Разумная / Разумное / Разумные;Razoavel;合理;Vernünftiger / Vernünftige / Vernünftiges / Vernünftige;;;;Rozsądny / Rozsądna / Rozsądne / Rozsądne;
MP;Энергичный / Энергичная / Энергичное / Энергичные;Vigoroso;活力;Ernergischer / Energische / Energisches / Energische;;;;Energiczny / Energiczna / Energiczne / Energiczne;
Skills_Energy_Cost;Эффективный / Эффективная / Эффективное / Эффективные;Eficaz;效率;Effektiver / Effektive / Effektives / Effektive;;;;Efektywne / Efektywna / Efektywne / Efektywne;
CRT;Беспощадный / Беспощадная / Беспощадное / Беспощадные;impiedoso;无情;Erbarmungsloser / Erbarmungslose / Erbarmungsloses Erbarmungslose;;;;Bezlitowny / Bezlitosna / Bezlitosne / Bezlitosne;
Bonus_Range;Дальнобойный / Дальнобойная / Дальнобойное / Дальнобойные;Longo alcance;远程;Weitrechender / Weitreichende / Weitreichendes / Weitreichende;;;;Dystansowy / Dystansowna / Dystansowne / Dystansowne;
Fortitude;Бесстрашный / Бесстрашная / Бесстрашное / Бесстрашные;Destemido;无畏;Furchtloser / Furchtlose / Furchtloses / Furchtlose;;;;Nieustraszony / Nieustraszona / Nieustraszone / Nieustraszone;
Noise_Produced;Бесшумный / Бесшумная / Бесшумное / Бесшумные;Silencioso;无声;Geräuschloser / Geräuschlose / Geräuschloses / Geräuschlose;;;;Bezgłośny / Bezgłośna / Bezgłośne / Bezgłośne;
Loot_Find;Мародерский / Мародерская / Мародерское / Мародерские;Pilhagem;劫掠;Marodierender / Marodierende / Marodierendes / Marodierende;;;;Łupiący / Łupiąca / Łupiące / Łupiące;
Gold_Find;Алчный / Алчная / Алчное / Алчные;�vido;贪婪;Gieriger / Gierige / Gieriges / Gierige;;;;Chciwy / Chciwa / Chciwe / Chciwe;
Healing_Received;Метаболический / Метаболическая / Метаболическое / Метаболические;Metabolico;代谢;Metabolischer / Metabolische / Metabolisches / Metabolische;;;;Metaboliczny / Metaboliczna / Metaboliczne / Metaboliczne;
Received_XP;Вдохновляющий / Вдохновляющая / Вдохновляющее / Вдохновляющая;Inspirador;鼓舞;Inspirierender / Inspirierende / Inspirierendes / Inspirierende;;;;Inspirujące / Inspirująca / Inspirujące / Inspirujące;
Slashing_Resistance;Непробиваемый / Непробиваемая / Непробиваемое / Непробиваемые;Impenetr�vel;坚韧;Undurchdringlicher / Undurchdringliche / Undurchdringliches / Unduchdringliche;;;;Nieprzebijalny / Nieprzebijalna / Nieprzebijalne / Nieprzebijalne;
Piercing_Resistance;Непробиваемый / Непробиваемая / Непробиваемое / Непробиваемые;Impenetr�vel;坚韧;Undurchdringlicher / Undurchdringliche / Undurchdringliches / Unduchdringliche;;;;Nieprzebijalny / Nieprzebijalna / Nieprzebijalne / Nieprzebijalne;
Blunt_Resistance;Ударостойкий / Ударостойкая / Ударостойкое / Ударостойкие;Impacto resistente;防震;Schlagresistenter / Schlagresistente / Schlagresistentes / Schlagresistente;;;;Twardy / Twarda / Twarde / Twarde;
Rending_Resistance;Охотничий / Охотничья / Охотничье / Охотничье;Ca�ando;狩猎;Jagender / Jagende / Jagendes / Jagende;;;;Polujący / Polująca / Polujące / Polujące;
Fire_Resistance;Огнеупорный / Огнеупорная / Огнеупорное / Огнеупорные;A prova de fogo;防火;Feuerfester / Feuerfeste / Feuerfestes / Feuerfeste;;;;Ognioodporny / Ognioodporna / Ognioodporne / Ognioodporne;
Frost_Resistance;Утеплённый / Утепленная / Утепленное / Утепленные;Isolado;保暖;Isolierter / Isolierte / Isoliertes / Isolierte;;;;Odludny / Odludna / Odludne / Odludne;
Shock_Resistance;Заземленный / Заземленная / Заземленное / Заземленные;Fundamentado;接地;Geerdeter / Geerdete / Geerdetes / Geerdete;;;;Uziemiony / Uziemiona / Uziemiona;
Caustic_Resistance;Антикислотный / Антикислотная / Антикислотное / Антикислотные;A prova de acido;防酸;Säurefester / Säurefeste / Säurefestes / Säurefeste;;;;Kwasoodporny / Kwasoodporna / Kwasoodporne / Kwasoodporne;
Poison_Resistance;Противоядный / Противоядная / Противоядное / Противоядные;A prova de veneno;防毒;Giftfester / Giftfeste / Giftfestes / Giftfeste;;;;Toksycznoodporny / Toksycznoodporna / Toksycznoodporne / Toksycznoodporne;
Arcane_Resistance;Противомагический / Противомагическая / Противомагическое / Противомагические;Anti magia;防魔;Antimagischer / Antimagische / Anitmagsiches / Antimagische;;;;Antymagiczny / Antymagiczna / Antymagiczne / Antymagiczne;
56;Оскверненный / Оскверненная / Оскверненное / Оскверненные;Corrompido;堕落;Korrumpierter / Korrumpierte / Korrumpiertes / Korrumpierte;;;;Przeklęty / Przeklęta / Przeklęte / Przeklęte;
Unholy_Resistance;Священный / Священная / Священное / Священные;Aben�oado;庇佑;Gesegneter / Gesegnete / Gesegnetes / Gesegnete;;;;Błogosławiony / Błogosławiona / Błogosławione / Błogosławione;
Psionic_Resistance;Антипсионический / Антипсионическая / Антипсионическое / Антипсионические;Anti Psiconico;防灵;Antipsionischer / Antipsionische / Antipsioniesches / Antipsionische;;;;Antypsychiczny / Antypsychiczna / Antypsychiczne / Antypsychiczne;
Block_Power;Устойчивый / Устойчивая / Устойчивое / Устойчивые;Estavel;稳固;Stetiger / Stetgie / Stetiges / Stetige;;;;Opanowany / Opanowana / Opanowane / Opanowane;
Spells_Energy_Cost;Стабилизированный / Стабилизированная / Стабилизированное / Стабилизированные;Estabilizado;稳定;Stabilisierter / Stabilisierte / Stabilisiertes / Stabilisierte;;;;Stabilizowany / Stabilizowana / Stabilizowane / Stabilizowane;
Skills_Energy_Cost;Облегчённый / Облегчённая / Облегчённое / Облегчённые;Leve;轻便;Leichtgewichtiger / Leichtgewichtige / Leichgewichtiges / Leichtgewichtige;;;;Lekki / Lekka / Lekkie / Lekkie;
;prefix_end;prefix_end;prefix_end;prefix_end;;;;prefix_end;
;;;;;;;;;
;weap_param;weap_param;weap_param;weap_param;;;;weap_param;
1;Прочность;Durabilidade;耐久;Haltbarkeit;;;;Wytrzymałość;
2;Уровень;Nivel;等级;Stufe;;;;Poziom;
3;ЭКИПИРОВАНО;EQUIPADO;已经装备;AUSGERÜSTET;;;;ZAŁOŻONE;
;weap_param_end;weap_param_end;weap_param_end;weap_param_end;;;;weap_param_end;
;;;;;;;;;
;other_hover;other_hover;other_hover;other_hover;;;;other_hover;
1;/// ходов для применения;/// Vezes de Uso;/// turns to use;/// Runden zum Benutzen;;;;/// tur do użycia;
2;Использований:;Usos:;使用次数：;Verwendungen:;;;;Użyć:;
3;Выполнение действий невозможно;Nao e possi�vel executar nenhuma acao.;无法进行任何行动。;Kann keine Aktionen ausführen.;;;;Nie można wykonywać akcji;
4;Активация занимает один ход;/// Leva um turno para ativar;/// Takes one turn to activate;/// Benötigt eine Runde zum Aktivieren;;;;/// Zabiera jedną turę, by aktywować;
5;/// ВЫБЕРИТЕ КЛАСС;/// ESCOLHA SUA CLASSE;/// CHOOSE YOUR CLASS;/// WÄHLE DEINE KLASSE;;;;/// WYBIERZ KLASĘ;
6;Состояние;Estado;状态;Status;;;;Stan;
7;зелье;Pocao;药剂;trank;;;;mikstura;
8;Зелье;Pocao;药剂;Trank;;;;mikstura;
9;каждый ход;Cada turno;每回合;jede Runde;;;;każdej tury;
10;Для взлома нужны отмычки.;Voc� precisa de uma gazua.;你需要开锁工具。;Du brauchst einen Dietrich;;;;Potrzebujesz wytrychów;
11;Для починки нужен ремонтный набор.;Voc� precisa de um kit de repara��o.;你需要维修工具。;Du brauchst ein Reparaturset;;;;Potrzebujesz zestawu narzędzi;
12;Неопределённое зелье;Pocao nao identificada;未经鉴定的药剂;Unidentifizierter Trank.;;;;Niezidentyfikowana mikstura;
13;Свойства этого зелья неизвестны. Требуется определение.;As propriedades desta pocao sao desconhecidas. E necessario identificar-lo.;这个药剂属性不明，有待鉴定。;Die Eigenschaften dieses Tranks sind unbekannt. Eine Identifizierung ist erforderlich.;;;;Skutki działania tej mikstury są niezbadane. Należy użyć zwoju identyfikacji.;
14;Неопознанный / Неопознанная / Неопознанное / Неопознанные;Indefinido;未经鉴定的;Undefiniert;;;;Niezidentyfikowane;
15;Свойства этого предмета неизвестны. Требуется определение.;As propriedades deste item sao desconhecidas. E necessa�rio identificar-lo.;这件物品属性不明，有待鉴定。;Die Eigenschaften dieses Gegenstands sind unbekannt. Eine Identifizierung ist erforderlich.;;;;Parametry tego przedmiotu są nieznane. Należy użyć zwoju identyfikacji.;
16;Требуется свиток определения.;Voce precisa de um pergaminho de identificacao para identificar este item.;鉴定这件物品需要鉴定卷轴。;Du brauchst eine Identifizieren-Spruchrolle, um dieses Element zu identifizieren.;;;;Potrzebujesz zwoju identyfikacji, by poznać co kryje się w tym przedmiocie.;
