76;L;L;L;L;;;;L;;;
77;M;M;M;M;;;;M;;;
78;N;N;N;N;;;;N;;;
79;O;O;O;O;;;;O;;;
80;P;P;P;P;;;;P;;;
81;Q;Q;Q;Q;;;;Q;;;
82;R;R;R;R;;;;R;;;
83;S;S;S;S;;;;S;;;
84;T;T;T;T;;;;T;;;
85;U;U;U;U;;;;U;;;
86;V;V;V;V;;;;V;;;
87;W;W;W;W;;;;W;;;
88;X;X;X;X;;;;X;;;
89;Y;Y;Y;Y;;;;Y;;;
90;Z;Z;Z;Z;;;;Z;;;
91;Windows;Windows;Windows键;Windows;;;;Windows;;;
92;Windows;Windows;Windows键;Windows;;;;Windows;;;
93;Applications;Applications;菜单键;Applications;;;;Aplikacje;;;
96;NumPad 0;NumPad 0;数字键区0;NumPad 0;;;;NumPad 0;;;
97;NumPad 1;NumPad 1;数字键区1;NumPad 1;;;;NumPad 1;;;
98;NumPad 2;NumPad 2;数字键区2;NumPad 2;;;;NumPad 2;;;
99;NumPad 3;NumPad 3;数字键区3;NumPad 3;;;;NumPad 3;;;
100;NumPad 4;NumPad 4;数字键区4;NumPad 4;;;;NumPad 4;;;
101;NumPad 5;NumPad 5;数字键区5;NumPad 5;;;;NumPad 5;;;
102;NumPad 6;NumPad 6;数字键区6;NumPad 6;;;;NumPad 6;;;
103;NumPad 7;NumPad 7;数字键区7;NumPad 7;;;;NumPad 7;;;
104;NumPad 8;NumPad 8;数字键区8;NumPad 8;;;;NumPad 8;;;
105;NumPad 9;NumPad 9;数字键区9;NumPad 9;;;;NumPad 9;;;
106;NumPad *;NumPad *;数字键区*;NumPad *;;;;NumPad *;;;
107;NumPad +;NumPad +;数字键区+;NumPad +;;;;NumPad +;;;
109;NumPad -;NumPad -;数字键区-;NumPad -;;;;NumPad -;;;
110;NumPad .;NumPad .;数字键区.;NumPad .;;;;NumPad .;;;
111;NumPad /;NumPad /;数字键区/;NumPad /;;;;NumPad /;;;
112;F1;F1;F1;F1;;;;F1;;;
113;F2;F2;F2;F2;;;;F2;;;
114;F3;F3;F3;F3;;;;F3;;;
115;F4;F4;F4;F4;;;;F4;;;
116;F5;F5;F5;F5;;;;F5;;;
117;F6;F6;F6;F6;;;;F6;;;
118;F7;F7;F7;F7;;;;F7;;;
119;F8;F8;F8;F8;;;;F8;;;
120;F9;F9;F9;F9;;;;F9;;;
121;F10;F10;F10;F10;;;;F10;;;
122;F11;F11;F11;F11;;;;F11;;;
123;F12;F12;F12;F12;;;;F12;;;
144;NumLock;NumLock;NumLock;NumLock;;;;NumLock;;;
145;ScrollLock;ScrollLock;ScrollLock;ScrollLock;;;;ScrollLock;;;
154;PrintScreen;PrintScreen;PrintScreen;Druck;;;;PrintScreen;;;
157;Meta;Meta;Meta键;Meta;;;;Meta;;;
186;:;:;:;:;;;;:;;;
187;=;=;=;=;;;;=;;;
188;0;0;0;0;;;;0;;;
189;0;0;0;0;;;;0;;;
190;0;0;0;0;;;;0;;;
191;/;/;/;/;;;;/;;;
192;~;~;~;~;;;;~;;;
219;[;[;[;[;;;;[;;;
220;\;\;\;\;;;;\;;;
221;];];];];;;;];;;
222;;;;;;;;;;;
999999;N/A;N/A;N/A;N/A;;;;N/A;;;
162;LCTRL;LCTRL;左CTRL;LSTRG;;;;Lewy CTRL;;;
163;RCTRL;RCTRL;右CTRL;RSTRG;;;;Prawy CTRL;;;
164;LALT;LALT;左ALT;LALT;;;;Lewy ALT;;;
165;RALT;RALT;右ALT;RALT;;;;Prawy ALT;;;
;keyboard_end;keyboard_end;keyboard_end;keyboard_end;keyboard_end;keyboard_end;keyboard_end;keyboard_end;keyboard_end;keyboard_end;keyboard_end
