Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski;;;;\
24;Ба, пиромантический трактат! Прямо как в старые добрые времена в Академии. Придётся вспомнить парочку заклинаний.;Bah, um tratado piromantico! Como nos bons velhos tempos da Academia. Preciso lembrar um feitiço ou dois.;咳，炎系法术文献！想起来以前在学院的时候了。我得选一两个法术复习复习。;Bah, eine pyromantische Abhandlung! Wie in der guten alten Zeit an der Akademie. Muss mich an ein oder zwei Zaubersprüche erinnern.;;;;Bah, podręcznik Piromancji! Jak za starych czasów w Akademii. Przypomnę sobie czar albo dwa.;;;snd_prologue_verren_bah_a_pyromantic;\
25;Толчки доносятся сверху - наши наверняка там. Нужно прорваться туда любой ценой.;Os tremores estão vindo do andar de cima. Aposto que todo mundo foi levado para lá. Eu tenho que encontrar o meu caminho, o que custar.;是楼上在震，大家估计都在楼上。我就算搭上性命，也得过去。;Die Beben kommen von oben. Ich wette, alle wurden dorthin gebracht. Ich muss den Weg nach oben finden, egal wie.;;;;Wstrząsy dochodzą z schodów na wyższe piętro. Założę się, że wszystkich tam zabrali. Muszę odnaleźć drogę na górę, nie ważne ile to zajmie.;;;snd_prologue_verren_the_tremors_are_coming;\
26;Толчки всё сильней... Что бы это ни было, я близок.;Os tremores estão ficando mais fortes ... Seja o que for, estou chegando perto.;震感越来越明显……我肯定离那个地方越来越近了。;Die Beben werden immer stärker... Was auch immer es ist, ich bin nah dran.;;;;Wstrząsy stają się silniejsze. Cokolwiek to jest, zblizam się.;;;snd_prologue_verren_the_tremors_are_growing;\
27;Веррен? Ты жив?! Беги, пока не поздно!;Verren? Você está vivo?! Corra enquanto pode!;维伦？你没死？！快跑，再不跑就来不及了！;Verren? Du lebst?! Lauf, solange du noch kannst!;;;;Varren? Ty żyjesz?! Uciekaj póki możesz!;;;snd_prologue_darrel_verren_you_are;\
28;Нет! Не бросай нас тут!;Não! Não nos deixe aqui!;别走！别不管我们了！;Nein! Lass uns nicht hier!;;;;Nie! Nie zostawiaj nas tu!;;;snd_prologue_rynward_no_dont_leave;\
29;П-пусть это п-поскорей з-закончится...;P-por f=favor, faça-o parar...;可-快，勒-拦住特-它……;B-bitte m-mach das es a-aufhört...;;;;P-proszę, z-zakończ t-to...;;;snd_prologue_ahruz_please_make;\
30;О, я гляжу, у нас незваные гости! Мы было хотели оставить тебя напоследок, но раз уж ты явился сам...;AAh, um convidado não convidado! Esperávamos salvá-lo por último, desde que você veio aqui de bom grado...;哈，不请自来啊！我们原本还想把你流到最后，既然你自己送上门来了……;Ah, ein ungebetener Gast! Wir hofften, dich bis zum Schluss aufheben zu können, aber da du freiwillig hergekommen bist...;;;;Ah, niezapowiedziany gość! Mieliśmy nadzieję zatrzymać cię na koniec, ale skoro przybyłeś tu z własnej woli...;;;snd_prologue_proselyte_archon_ah_an_uninvited;\
31;Так вот кто стоит за всем этим безумием... Сейчас ты отплатишь за всё.;Então, você é o responsável por toda essa loucura ... Você pagará por tudo.;所以，你就是罪魁祸首……我绝对不会放过你。;Du bist also derjenige, der hinter all dem Wahnsinn steckt... Du wirst für alles bezahlen.;;;;Więc, to ty stoisz za tym całym szaleństwem... Zapłacisz za wszystko.;;;snd_prologue_verren_so_you_are;\
32;Ты так самонадеян... Оглянись - всё кончено! Скоро и Осколок, и ваши души послужат высшей цели!;Que arrogante... Olhe ao seu redor, acabou! Em breve, tanto o Stoneshard quanto sua alma servirão ao propósito mais elevado!;好大的口气……好好看看这个地方，大功即将告成！我马上就让紫色晶石和你们的灵魂发挥更大的价值！;Wie arrogant... Sieh dich um, es ist vorbei! Bald werden sowohl Steinspliter als auch eure Seelen dem höheren Zweck dienen!;;;;Jakże aroganckie... Rozejrzyj się, to koniec! Wkrótce zarówno Stoneshard, jak i twoja dusza będzie służyć wyższym celom!;;;snd_prologue_proselyte_archon_how_arrogant;\
33;Но Престолу по душе твоя храбрость - ты мог бы неплохо нам послужить... Сложи оружие и, быть может, мы сохраним тебе жизнь...;Ainda assim, o Tribunal agradece sua coragem. Você poderia nos servir bem ... Largue suas armas e talvez pouparemos sua vida...;不过，你勇气可嘉，可以效忠于我们……放下武器，我们或许可以饶你一命……;Dennoch schätzt das GERICHT deinen Mut. Du könntest uns gut dienen... Steck deine Waffen weg, vielleicht verschonen wir dich dann...;;;;Wciąż jednak, Sąd docenia twoją odwagę. Mógłbyś się nam przysłużyć... Odłóż broń, a może darujemy ci życie...;;;snd_prologue_proselyte_archon_still_the_court;\
34;Не в этот раз, чудовище.;Não desta vez, abominação.;怪物，这次休想得逞。;Diesmal nicht, Scheusal.;;;;Nie tym razem, paskudo!;;;snd_prologue_verren_not_this_time;\
35;Что ж, мы были милосердны - но ты отверг наши дары... Да начнётся ритуал! Kaya'noth Nirrukh!;Bem, então, mostramos piedade e você rejeita nossos dons ... Que o ritual comece! Kaya'noth Nirrukh!;既然你不领情面，那就不要怪我们残忍无情……仪式开始！喀呀‘喏嘶涅尔鲁呵！;Nun denn, wir erbarmen uns und doch lehnst du unsere Gaben ab... Lasst das Ritual beginnen! Kaya'noth Nirrukh !;;;;Dobrze więc, my oferujemy ci łaskę, a ty odrzucasz nasz dar... Niech rozpocznie się rytuał! Kaya'noth Nirrukh!;;;snd_prologue_proselyte_archon_well_then;\
36;Думаешь, что сможешь мне этим помешать?!;Você acha que pode me parar?!;你以为自己拦得住我？！;Du glaubst, du kannst mich aufhalten?!;;;;Myślisz, że mnie powstrzymasz?!;;;snd_prologue_proselyte_archon_you_think_you;\
37;Поздно... Твоя... борьба... напрасна!.. Я... ВОЗНОШУСЬ!;É tarde ... Sua ... luta ... é inútil! .. EU ... ASCENDO!;晚了.....挣扎.....无用！...我……将复生！;Spät... Dein... Kampf... ist sinnlos! Ich... STEIGE AUF!;;;;Za późno... Twoja... Walka... Jest daremna... Ja... Ja jestem WYWYŻSZONY!;;;snd_prologue_proselyte_archon_late_your_fight;\
38;Сонм милостивый... Ну и тварь!;O anfitrião tem piedade... Que animal imundo!;慈主在上……这是什么妖孽！;Der GASTGEBER habe Erbarmen... Was für eine üble Bestie!;;;;Gospodarzu miej łaskę... Co za podła bestia!;;;snd_prologue_verren_the_host_have;\
39;Р-А-А-А-А-А-А-ГХ!!!;R-A-A-A-A-A-A-RGH!!!;呃啊啊啊啊啊啊啊啊！！！;R-A-A-A-A-A-A-RGH!!!;;;;R-A-A-A-A-A-A-RGH!!!;;;noone;\
40;В-вот э-э-это п-приход...;I-Isso é uma v-viagem i-in-infernal...;这-这一路可-可这-真不容易……;D-das ist ein h-h-höllischer T-Trip...;;;;T-t-to była cholernie c-c-ciekawa wy-wy-wycieczka...;;;snd_prologue_ahruz_thats_a_hell;\
41;Веррен... У меня много вопросов.;Verren ... tenho muitas perguntas.;维伦……你给我说清楚。;Verren... Ich habe viele Fragen.;;;;Varren... Mam wiele pytań.;;;snd_prologue_darrel_verren_i_have;\
42;Сейчас не до этого. Осколок у нас, пора убираться отсюда.;Agora não é a hora. Temos o Stoneshard, vamos sair daqui.;我们之后再说。我们拿到了紫色晶石，先出去吧。;Dies ist nicht die Zeit. Wir haben den Steinsplitter, lasst uns verschwinden.;;;;Teraz nie czas na to. Mamy Stoneshard, zabierajmy się stąd.;;;snd_prologue_verren_now_Is_not;\
43;Все мои пожитки, целое состояние... Я пущен по ветру...;Todos os meus pertences, toda a minha fortuna ... Estou arruinado ...;我的身家……我的那些宝贝……这让我还怎么活哇……;Mein ganzes Hab und Gut, mein ganzes Vermögen... Ich bin ruiniert...;;;;Wszystkie moje własności, moja cała fortuna... Jestem zrujnowany...;;;snd_prologue_rynward_all_my_belongings;\
44;Ринвард, заткнись Сонма ради! Берн мёртв, Лок мёртв, Йорген мёртв, а ты плачешь по своему барахлу!;Pelo amor da Anfitrião, Rynward, cale a boca! Bern está morto, Locke está morto, assim como Jorgen, e você chora por causa de uma sucata velha!;林沃，你行啦！博恩挂了，洛克挂了，约根也挂了，你不哭他们，倒哭起那些破烂玩意儿了！;Um des GASTGEBERS willen, Rynward, halte den Mund! Bern ist tot, Locke ist tot, Jorgen auch, und du heulst wegen irgendeinem alten Kram!;;;;Na miłość Gospodarza, Rynward, skul pysk! Bern nie żyje, Locke nie żyje, tak samo Jorgen, a ty płączesz nad starym złomem!;;;snd_prologue_darrel_for_the_love;\
45;И всё это из-за тебя, Веррен. Что, боялся, что остальные струсят? Так мог бы предупредить хотя бы меня!;E é tudo por sua causa, Verren. Você achou que nossos rapazes se desesperariam? Você poderia ter pelo menos me dito!;维伦，要不是你，大家伙儿也不能把命都丢了。你是不是觉得我们几个会打退堂鼓？你起码也该跟我说清楚！;Und das alles nur wegen dir, Verren. Hast du gedacht, unsere Jungs würden kneifen? Du hättest es mir wenigstens sagen können!;;;;A to wszystko przez ciebie, Varren. Myślałeś, że nasi kumple wystraszą się jak kurczaki? Mogłeś przynajmniej mi powiedzieć!;;;snd_prologue_darrel_and_its_all;\
46;"Непыльная работёнка, возможно раскопки". Орава каких-то людоедов - это "непыльная работёнка"?!;"Um trabalho fácil, talvez um pouco de escavação ". Você chama uma horda de canibais de" um trabalho fácil "?!;“没什么麻烦事儿，就挖点儿东西”，这么一群吃人的畜生，你跟我说“没什么麻烦事儿”？！;"Eine leichte Arbeit, vielleicht etwas Buddeln". Du nennst eine Horde Kannibalen "einen leichten Job"?!;;;;„Łatwa robota, może trochę kopania”. Nazywasz hordę kanibali „łatwą robotą”?!;;;snd_prologue_darrel_an_easy_job;\
47;Ты в своём уме? Думаешь, я всем вам лгал? Гвиннел божился, что монастырь давно пустует!;Você está louco? Você acha que eu estava mentindo para você? Gwynnel jurou que o monastério estava deserto há décadas!;你跟我嚷嚷什么？你觉得当初是我瞒着你们吗？葛文涅尔跟我打的包票，说这个修院已经荒了几十年！;Bist du verrückt? Glaubst du, ich habe dich angelogen? Gwynnel hat geschworen, die Abtei sei seit Jahrzehnten verlassen!;;;;Straciłeś swój rozum? Myślałeś, że cię okłamywałem? Gwynnel przysiągł, że monastyr był opuszczony od dekad!;;;snd_prologue_verren_are_you_out_of;\
48;То есть это твой Гвиннел отправил всех нас на верную смерть?;Então você está dizendo que seu Gwynnel nos jogou para a morte certa?;那你什么意思？是那个葛文涅尔想害我们？;Du behauptest also, dass dein Gwynnel uns in den sicheren Tod geschickt hat?;;;;Więc mówisz, że ten twój Gwynnel wysłał nas na pewną śmierć?;;;snd_prologue_darrel_so_you_are_saying;\
49;Не знаю. Не хотелось бы в это верить. Это всё какая-то ошибка.;Eu não sei. Espero que não. É algum tipo de engano....;我也不知道，但愿不是。肯定是哪儿出了岔子。;Ich weiß es nicht. Ich hoffe nicht. Es ist eine Art Irrtum.;;;;Nie wiem. Mam nadzieję, że nie. To jakaś pomyłka.;;;snd_prologue_verren_i_dont_know;\
50;Половине наших эта "ошибка" стоила жизней.;Esse "engano" custou metade da vida de nossos homens.;咱们因为这么一个“岔子”，死了一半的人呐。;Dieser "Irrtum" hat die Hälfte unserer Männer das Leben gekostet.;;;;Ta „pomyłka” kosztowała życie połowy naszych ludzi.;;;snd_prologue_darrel_this_mistake;\
51;Знаю. У меня тоже много вопросов. И уж поверь, как мы закончим с контрактом - Гвиннел ответит на каждый.;Eu sei. Eu também tenho muitas perguntas. E acredite em mim, assim que terminarmos o contrato, Gwynnel responderá a cada um deles.;我知道，我也是一肚子的问号。我跟你们说，我们去交了差之后，葛文涅尔肯定有问必答。;Ich weiß. Ich habe auch viele Fragen. Und glaube mir, sobald wir mit dem Auftrag fertig sind, wird Gwynnel jede einzelne davon beantworten.;;;;Wiem. Również mam masę pytań. I uwierz mi, jak tylko ukończymy kontrakt, Gwynnel odpowie na każde pytanie i każdemu z nich.;;;snd_prologue_verren_i_know_i_have;\
52;Нет, Веррен, сегодня наши дороги расходятся. Каравана больше нет. Мы с Ринвардом и Ахрузом возвращаемся в Бринн.;No, Verren, this is where we part. The caravan is no more. Rynward, Ahruz and I are going back to Brynn.;你要去就去吧，我们不去了。咱们这个商队散了吧，林沃、阿鲁和我回布林。;Nein, Verren, hier trennen wir uns. Die Karawane gibt es nicht mehr. Rynward, Ahruz und ich gehen zurück nach Brynn.;;;;Nie, Varren, to miejce gdzie się podzielimy. Karawana już nie istnieje. Rynward, Ahruz oraz ja wracamy do Brynn.;;;snd_prologue_darrel_no_verren;\
53;И это после стольких лет? Я только что спас ваши шкуры.;Depois de todos esses anos? Acabei de salvar sua pele.;我们这么多年的交情，说没就没了？而且我刚才还救了你们。;Nach all den Jahren? Ich habe gerade deine Felle gerettet.;;;;Po tych wszystkich latach? Właśnie uratowałem wam skóry.;;;snd_prologue_verren_after_all;\
54;Спас из западни, в которую сам же нас и завёл. Все эти годы мы все знали, где и как мы будем работать.;Tudo o que você fez foi nos salvar da armadilha em que nos levou. Sempre sabíamos onde e quais eram nossos empregos.;你把我们坑了，救我们是应该的事情。咱们以前每次出活之前，要干什么，干什么活，大家都一清二楚。;Alles, was du getan hast, war, uns aus der Falle zu retten, in die du uns geführt hast. Früher wussten wir immer, wo und was unsere Aufgaben waren.;;;;Wszystko, co zrobiłeś to wyciągnąłeś nas z pułapki, w którą sam nas wsadziłeś. Zawsze mieliśmy w zwyczaju wiedzieć, jak będzie wyglądać nasza praca.;;;snd_prologue_darrel_all_you_did;\
55;Как только ты начал якшаться с Гвиннелом, беды валятся на нас одна за другой. Я хочу знать, почему Гвиннел темнит, зачем ему нужны Осколки, что вообще такое эти Осколки, чёрт побери!;Mas uma vez que você começou a esfregar os cotovelos com Gwynnel, não havia fim para nosso infortúnio. Eu quero saber o que Gwynnel está escondendo, por que ele precisa do Stoneshards e o que esses malditos Stoneshards devem começar! ;自从你勾结上这个葛文涅尔之后，倒霉事儿就没断过。我想知道他到底瞒着我们什么事情，他要这些紫色晶石干什么，还有这些破石头到底是什么东西！;Aber als du anfingst, mit Gwynnel die Ellbogen zu reiben, nahm unser Unglück kein Ende. Ich möchte wissen, was Gwynnel verbirgt, warum er Steinsplitter braucht und was diese verdammten Steinsplitter überhaupt sind! ;;;;Ale od kiedy zacząłeś ściskać dłonie z Gwynnelem, nasz brak szczęścia nie miał końca. Chcę wiedzieć, co Gwynnel ukrywa. Dlaczego potrzebuje Stoneshardów oraz do czego zbieranie tych Stoneshardów prowadzi!;;;snd_prologue_darrel_but_once_you;\
56;Но мы ничего не знаем, а тебе кроме денег ничего и не нужно. Но золотом никого с того света уже не вернёшь. Я своё слово сказал.;E, no entanto, não temos a menor idéia de nada, enquanto você se importa apenas com dinheiro. Mas não há como pagar a morte. Estou farto.;我们这边都还蒙在鼓里，你那边呢，只要能来钱就行。那我们的死活呢？我是不干了。;Und doch haben wir nicht die geringste Ahnung von allem, während du dich nur um Geld kümmerst. Aber man kann den Tod nicht ausbezahlen. Ich bin fertig hiermit.;;;;I nie mamy nawet najmniejszego pojęcia o tym wszystkim, kiedy ty tylko dbasz o pieniądze. Za śmierć nie da się dać wypłaty. Ja z tym kończę.;;;snd_prologue_darrel_and_yet_we_dont;\
57;Вы люди свободные, а я связан контрактом. Дальше справлюсь и сам. Проваливайте. ;Você é livre para ir, mas estou vinculado ao contrato. Eu administrarei sem você. De o fora.;你们不想干了就走，我要履行契约上的义务。没你们，我也照样能行。都滚蛋吧。;Es steht dir frei zu gehen, aber ich bin an den Auftrag gebunden. Ich komme ohne dich zurecht. Verschwinde.;;;;Możesz odejść, ale ja jestem dalej związany kontraktem. Dam radę bez ciebie. Spadaj.;;;snd_prologue_verren_you_are_free;\
58;Стражник;Guarda;牢头;Wache;;;;Strażnik;;;;
59;...и вот я здесь. Каравана нет, нога искалечена, половина моих ребят мертва, а половина - дезертиры и предатели. Слава Сонму, что хоть Осколок всё же у меня.;...então aqui estou. A caravana se foi, minha perna está estropiada, metade dos meus homens estão mortos e a outra metade são desertores e traidores. Que o Anfitrião seja louvado, pelo menos eu tenho o Stoneshard.;……现在好了，队伍散了，我也瘸了，手下死了一半，还有一半跑了。感谢上主，我起码拿到了紫色晶石。;...also hier bin ich nun. Die Karawane ist weg, mein Bein ist verkrüppelt, die Hälfte meiner Männer ist tot und die andere Hälfte sind Deserteure und Verräter. Der Gastgeber sei gepriesen, zumindest habe ich die Stoneshard.;;;;... no i jestem. Karawana nie istnieje, moja noga jest zmiażdżona, połowa moich ludzi nie żyje, a druga połowa to dezerterzy i zdrajcy. Chwalmy Gospodarza, przynajmniej mam ten Stoneshard.;;;;
60;Если б знал, что придётся иметь дело с целым культом хрен пойми кого, я бы трижды подумал, прежде чем ввязываться в эту историю. Староват я уже для таких приключений.;Se eu soubesse que tinha de lidar com um culto inteiro de... o diabo sabe o quê, pensaria três vezes antes de me meter na confusão toda. Estou velho demais para uma aventura como esta.;我当初要是知道会碰上这么一群……谁知道是什么邪门歪道，说什么也不可能趟这个浑水。那么大的年龄了，犯不上卖这个命。;Wenn ich gewusst hätte, dass ich es mit einem ganzen Kult von... weiß der Teufel was, hätte ich dreimal nachgedacht, bevor ich mich auf den ganzen Schlamassel einlasse. Ich bin zu alt für ein solches Abenteuer.;;;;Gdybym tylko wiedział, że muszę użerać się z całym kultem... diabeł wie czego, przemyślałbym to trzy razy przed władowaniem się w cały ten syf. Jestem za stary na przygody tego typu.;;;;
61;Ох, сейчас бы хорошенько расспросить Гвиннела, что это, чёрт подери, за дела. Тридцать лет всем этим занимаюсь, а в настолько паршивый переплёт ещё не попадал.;Argh, se eu pudesse ter uma boa conversa com Gwynnell agora, eu perguntaria a ele o que diabos está acontecendo. Faço isso há trinta anos, mas nunca me encontrei em uma situação tão difícil.;啊，现在要是能见到葛文涅尔就好了，我得好好问问他，到底是什么情况。这一行我干了三十年，还从来没这么倒霉过。;Argh, wenn ich jetzt nur ein ruhiges Gespräch mit Gwynnel führen könnte, würde ich ihn fragen, was zum Teufel hier los ist. Ich mache das seit dreißig Jahren, aber ich habe mich noch nie in einer so schwierigen Lage befunden.;;;;Argh, gdybym tylko mógł dobrze pogadać z Gwynnellem właśnie teraz. Zapytałbym z chęcią, co tu się odpierdala. Robiłem to przez ostatnie trzydzieści lat, jednak nigdy nie znalazłem się w tak trudnym położeniu.;;;;
62;Нужно возвращаться в Бринн. Дорогу обратно я сам не осилил бы, вот и послал за тобой. Помнишь, как я тебя тогда выручил? Теперь время отдать должок. Чёрт, и много же воды с тех пор утекло... Расскажи-ка пока про себя.;Eu preciso voltar para Brynn. Eu não vou lá sozinha, por isso mandei chamar você. Você se lembra de como eu te ajudei naquela época? Bem, hora de retribuir o favor. Caramba, faz tanto tempo ... Diga-me, o que você tem feito?;我得回布林，不过我一个人的话，肯定爬都爬不回去，所以我把你找来了。还记得我那次救你吗？这回你可以还我这个人情了。哎，这都多少年了……你这几年在忙活什么？;Ich muss zurück nach Brynn. Ich habe keine Lust, allein dorthin zu gehen, deshalb habe ich nach dir geschickt. Weißt du noch, wie ich dir damals geholfen habe? Nun, Zeit, sich zu revanchieren. Verdammt, es ist so lange her... Sag mir, was hast du so gemacht?;;;;Muszę wrócić do Brynn. Nie jestem w stanie dotrzeć tam samemu, to właśnie dlatego posłałem po ciebie. Wciąż pamiętasz jak pomogłem ci kiedyś? Cóż, pora spłacić dług. Cholera, to było tak dawno... Powiedz mi, czym parałeś się przez ten czas?;;;;
63;...вот как? Занятно. Ну да ладно, хватит языком молоть. Пора приниматься за работу. ;...é assim mesmo? Interessante. Enfim, gentilezas suficientes. É hora de começar a trabalhar.;……噢？有意思。行了，咱们别说客套话了，该办正事了。;...ist das so? Interessant. Wie auch immer, genug der Höflichkeiten. Es ist Zeit, an die Arbeit zu gehen.;;;;... i to wszystko? Interesujące. Jednak, dość już uprzejmości. Pora wracać do pracy.;;;;
