Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski
Magic_Power;Сила магии;Magic Power;法力;Magische Kraft;;;;Moc Magiczna
Hit_Chance;Точность;Accuracy;准度;Genauigkeit;;;;Celność
CRT;Шанс крита;Crit Chance;暴击几率;Krit. Chance;;;;Szansa na obr. Krytyczne
CRTD;Эффективность критов;Crit Efficiency;暴击效果;Krit. Effizienz;;;;Skuteczność obr. Krytycznych
PRR;Шанс блока;Block Chance;格挡几率;Blocken-Chance;;;;Szansa na Zablokowanie
Block_Power;Сила блока;Block Power;格挡力量;Blocken-Stärke;;;;Siła Zablokowania
CTA;Шанс контрудара;Counter Chance;反击几率;Kontern-Chance;;;;Szansa na Kontrę
EVS;Шанс уклонения;Dodge Chance;闪躲几率;Ausweichen-Chance;;;;Szansa na Unik
FMB;Шанс неудачи;Fumble Chance;失手几率;Ungeschicktsein-Chance;;;;Szansa na Partactwo
Savvy;Взлом и обезвреживание;Lock-picking & Disarming;开锁与拆除陷阱;Schlösserknacken & Entschärfen;;;;Otwieranie zamków i rozbrajanie pułapek
STL;Скрытность;Stealth;潜行;Schleichen;;;;Skradanie się
VSN;Обзор;Vision;视野;Sicht;;;;Widok
Bonus_Range;Бонусная дальность;Bonus Range;范围加成;Bonus-Reichweite;;;;Bonusowy zasięg
range;Дальность;Range;范围;Reichweite;;;;Zasięg
Mainhand_Efficiency;Эффективность левой руки;Main Hand Efficiency;主手效果;Haupthand-Effizienz;;;;Skuteczność głównego przedmiotu
Offhand_Efficiency;Эффективность правой руки;Off-Hand Efficiency;副手效果;Nebenhand-Effizienz;;;;Skuteczność pobocznego przedmiotu
;;;;;;;;
;// Прочие второстепенные;// Even more secondary ones;// Even more secondary ones;// Even more secondary ones;;;;// Even more secondary ones
;;;;;;;;
Immunity;Иммунитет;Immunity;免疫;Immunität;;;;Odporność
Noise_Produced;Издаваемый шум;Noise Produced;行动声响;Verursachter Lärm;;;;Generowany hałas
Bodypart_Damage;Травмирующий урон;Bodypart Damage;肢体伤害;Körperteilschaden;;;;Obrażenia części ciała
Armor_Damage;Урон по броне;Armor Damage;防具伤害;Rüstungsschaden;;;;Obrażenia Pancerza
Armor_Piercing;Пробитие брони;Armor Penetration;防具穿透;Rüstungsdurchdringung;;;;Penetracja Pancerza
;;;;;;;;
Bleeding_Chance;Шанс кровотечения;Bleed Chance;出血几率;Bluten-Chance;;;;Szansa na Krwawienie
Knockback_Chance;Шанс отбрасывания;Knockback Chance;击退几率;Zurückstoßen-Chance;;;;Szansa na Odepchnięcie
Daze_Chance;Шанс ошеломления;Daze Chance;击晕几率;Benommen-Chance;;;;Szansa na Oszołomienie
Stun_Chance;Шанс оглушения;Stun Chance;硬直几率;Betäuben-Chance;;;;Szansa na Ogłuszenie
;;;;;;;;
Knockback_Resistance;Сопр. отбрасыванию;Knockback Resistance;击退抗性;Zurückstoßen-Resistenz;;;;Odporność na Odepchnięcie
Stun_Resistance;Сопр. оглушению;Stun Resistance;硬直抗性;Betäuben-Resistenz;;;;Odporność na Ogłuszenie
Bleeding_Resistance;Сопр. кровотечению;Bleed Resistance;出血抗性;Bluten-Resistenz;;;;Odporność na Krwawienie
;;;;;;;;
Spells_Energy_Cost;Затраты на заклинания;Spells Energy Cost;法术精力消耗;Energiekosten: Sprüche;;;;Koszt Energii dla Umiejętności
Skills_Energy_Cost;Затраты на умения;Skills Energy Cost;技能精力消耗;Energiekosten: Fertigkeiten;;;;Koszt Energii dla Czarów
Cooldown_Reduction;Время восст. способностей;Cooldowns Duration;冷却时长;Abklingzeit;;;;Czas Trwania Odnowienia
;;;;;;;;
// Типы урона;;// Damage Resistances;// Damage Resistances;// Damage Resistances;;;;// Damage Resistances
;;;;;;;;
Slashing_Damage;Рубящий урон;Slashing Damage;劈砍伤害;Schnittschaden;;;;Obrażeń Ciętych
Piercing_Damage;Колющий урон;Piercing Damage;穿刺伤害;Stichschaden;;;;Obrażeń Przebijających
Blunt_Damage;Дробящий урон;Crushing Damage;钝器伤害;Schmetterschaden;;;;Obrażeń Obalających
Rending_Damage;Разрывающий урон;Rending Damage;撕裂伤害;Reißschaden;;;;Obrażeń Rozdzierających
;;;;;;;;
Frost_Damage;Урон морозом;Frost Damage;霜冻伤害;Frostschaden;;;;Obrażenia od Zamrożenia
Shock_Damage;Урон электричеством;Shock Damage;电击伤害;Schockschaden;;;;Obrażenia od Porażenia
Poison_Damage;Урон ядом;Poison Damage;中毒伤害;Giftschaden;;;;Obrażenia od Trucizn
Fire_Damage;Урон огнём;Fire Damage;灼烧伤害;Feuerschaden;;;;Obrażenia od Ognia
Caustic_Damage;Урон разъеданием;Caustic Damage;腐蚀伤害;Säureschaden;;;;Obrażenia od Kwasów
;;;;;;;;
Arcane_Damage;Арканический урон;Arcane Damage;秘术伤害;Arkaner Schaden;;;;Obrażenia Tajemne
Unholy_Damage;Нечестивый урон;Unholy Damage;邪术伤害;Unheiliger Schaden;;;;Obrażenia Przeklęte
Sacred_Damage;Священный урон;Sacred Damage;神圣伤害;Heiliger Schaden;;;;Obrażenia Święte
Psionic_Damage;Псионический урон;Psionic Damage;灵术伤害;Psionischer Schaden;;;;Obrażenia Psychiczne
;;;;;;;;
Pure_Damage;Чистый урон;Pure Damage;纯粹伤害;Purer Schaden;;;;Czyste Obrażenia
;;;;;;;;
;// Резисты урону;// Damage Resistances;// Damage Resistances;// Damage Resistances;;;;// Damage Resistances
;;;;;;;;
Physical_Resistance;Сопр. физ. урону;Physical Resistance;物理抗性;Phys. Resistenz;;;;Odporność na obr. fizyczne
Nature_Resistance;Сопр. силам природы;Nature Resistance;自然抗性;Naturresistenz;;;;Odporność na obr. od natury
Magic_Resistance;Сопр. магии;Magic Resistance;魔法抗性;Magieresistenz;;;;Odporność na obr. magiczne
;;;;;;;;
Slashing_Resistance;Сопр. рубящему урону;Slashing Resistance;劈砍抗性;Schnittresistenz;;;;Odporność na obr. cięte
Piercing_Resistance;Сопр. колющему урону;Piercing Resistance;穿刺抗性;Stichresistenz;;;;Odporność na obr. przebijające
Blunt_Resistance;Сопр. дробящему урону;Crushing Resistance;钝器抗性;Schmetterresistenz;;;;Odporność na obr. obalające
Rending_Resistance;Сопр. разрыву;Rending Resistance;撕裂抗性;Reißresistenz;;;;Odporność na obr. rozdzierające
;;;;;;;;
Fire_Resistance;Сопр. огню;Fire Resistance;灼烧抗性;Feuerresistenz;;;;Odporność na ogień
Frost_Resistance;Сопр. морозу;Frost Resistance;霜冻抗性;Frostresistenz;;;;Odporność na zamrożenie
Shock_Resistance;Сопр. электричеству;Shock Resistance;电击抗性;Schockresistenz;;;;Odporność na porażenie
Caustic_Resistance;Сопр. разъеданию;Caustic Resistance;腐蚀抗性;Säureresistenz;;;;Odporność na kwasy
Poison_Resistance;Сопр. яду;Poison Resistance;中毒抗性;Giftresistenz;;;;Odporność na trucizny
;;;;;;;;
Arcane_Resistance;Сопр. аркане;Arcane Resistance;秘术抗性;Arkane Resistenz;;;;Odporność na obr. tajemne
Unholy_Resistance;Сопр. нечестивому урону;Unholy Resistance;邪术抗性;Unheilige Resistenz;;;;Odporność na obr. przeklęte
Sacred_Resistance;Сопр. священному урону;Sacred Resistance;神圣抗性;Heilige Resistenz;;;;Odporność na obr. święte
Psionic_Resistance;Сопр. псионике;Psionic Resistance;灵术抗性;Psionische Resistenz;;;;Odporność na obr. psychiczne
;;;;;;;;
;// Урон по себе;// Self-Damage Stuff (used in modifiers);// Self-Damage Stuff (used in modifiers);// Self-Damage Stuff (used in modifiers);;;;// Self-Damage Stuff (used in modifiers)
;;;;;;;;
Pure_Damage_Self;Наносит урон;Deals Damage;造成伤害;verursacht Schaden;;;;Zadaje Obrażenia
;;;;;;;;
Slashing_Damage_Self;Наносит рубящий урон;Deals Slashing Damage;造成劈砍伤害;verursacht Schnittschaden;;;;Zadaje obrażenia Cięte
Piercing_Damage_Self;Наносит колющий урон;Deals Piercing Damage;造成穿刺伤害;verursacht Stichschaden;;;;Zadaje obrażenia Przebijające
Blunt_Damage_Self;Наносит дробящий урон;Deals Crushing Damage;造成钝器伤害;verursacht Schmetterschaden;;;;Zadaje obrażenia Obalające
Rending_Damage_Self;Наносит разрывающий урон;Deals Rending Damage;造成撕裂伤害;verursacht Reißschaden;;;;Zadaje obrażenia Rozcinające
;;;;;;;;
Poison_Damage_Self;Наносит урон ядом;Deals Poison Damage;造成中毒伤害;verursacht Giftschaden;;;;Zadaje obrażenia od Trucizn
Fire_Damage_Self;Наносит урон огнём;Deals Fire Damage;造成灼烧伤害;verursacht Feuerschaden;;;;Zadaje obrażenia od Ognia
Caustic_Damage_Self;Наносит разъедающий урон;Deals Caustic Damage;造成腐蚀伤害;verursacht Säureschaden;;;;Zadaje obrażenia od Kwasów
Frost_Damage_Self;Наносит морозный урон;Deals Frost Damage;造成霜冻伤害;verursacht Frostschaden;;;;Zadaje obrażenia od Zamrożenia
Shock_Damage_Self;Наносит электрический урон;Deals Shock Damage;造成电击伤害;verursacht Schockschaden;;;;Zadaje obrażenia od Porażenia
;;;;;;;;
Arcane_Damage_Self;Наносит арканический урон;Deals Arcane Damage;造成秘术伤害;verursacht arkanen Schaden;;;;Zadaje obrażenia Tajemne
Unholy_Damage_Self;Наносит нечестивый урон;Deals Unholy Damage;造成邪术伤害;verursacht unheiligen Schaden;;;;Zadaje obrażenia Przeklęte
Sacred_Damage_Self;Наносит священный урон;Deals Sacred Damage;造成神圣伤害;verursacht heiligen Schaden;;;;Zadaje obrażenia Święte
Psionic_Damage_Self;Наносит псионический урон;Deals Psionic Damage;造成灵术伤害;verursacht psionischen Schaden;;;;Zadaje obrażenia Psychiczne
;;;;;;;;
;// Параметры выживания;// Survival;// Survival;// Survival;;;;// Survival
;;;;;;;;
Pain_Limit;Предел боли;Pain Limit;疼痛忍耐极限;Schmerzgrenze;;;;Limit Bólu
Hunger;Голод;Hunger;饥饿;Hunger;;;;Głód
Pain;Боль;Pain;疼痛;Schmerz;;;;Ból
Thirsty;Жажда;Thirst;口渴;Durst;;;;Pragnienie
Intoxication;Интоксикация;Intoxication;迷醉;Vergiftung;;;;Zatrucie
Morale;Мораль;Morale;斗志;Moral;;;;Morale
Sanity;Рассудок;Sanity;神智;Geistige Gesundheit;;;;Zdrowie Psychiczne
Pain_Change;Изменение боли;Pain Change;疼痛变化;Schmerzänderung;;;;Zmiana siły Bólu
Toxicity_Change;Изменение интоксикации;Intoxication Change;迷醉变化;Vergiftungsänderung;;;;Zmiana poziomu Zatrucia
Hunger_Change;Изменение голода;Hunger Change;饥饿变化;Hungeränderung;;;;Zmiana poziomu Głodu
Thirst_Change;Изменение жажды;Thirst Change;口渴变化;Durständerung;;;;Zmiana poziomu Pragnienia
Sanity_Change;Изменение рассудка;Sanity Change;神智变化;Änderung geistiger Gesundheit;;;;Zmiana Zdrowia Psychicznego
Morale_Change;Изменение морали;Morale Change;斗志变化;Moraländerung;;;;Zmiana Morale
;;;;;;;;
Pain_Resistance;Сопр. боли;Pain Resistance;疼痛抗性;Schmerzresistenz;;;;Odporność na Ból
Hunger_Resistance;Сопр. голоду;Hunger Resistance;饥饿抗性;Hungerresistenz;;;;Odporność na Głód
Toxicity_Resistance;Сопр. интоксикации;Intoxication Resistance;迷醉抗性;Vergiftungsresistenz;;;;Odporność na Zatrucie
maladiesPlaceholder;Симптомов нет;No symptoms;没有症状;Keine Symptome;;;;Brak symptomów
;;;;;;;;
Armor_Durability;Прочность брони;Armor Durability;防具耐久;Rüstungshaltbarkeit;;;;Wytrzymałość Pancerza
Condition;Залечивание травм;Injury Treatment;疗伤;Wundbehandlung;;;;Leczenie Ran
;;;;;;;;
// Сила веток магии;;// Magic Schools Power;// Magic Schools Power;// Magic Schools Power;;;;// Magic Schools Power
;;;;;;;;
Pyromantic_Power;Сила пиромантии;Pyromantic Power;炎术法力;Pyromantische Kraft;;;;Moc Piromancji
Geomantic_Power;Сила геомантии;Geomantic Power;地术法力;Geomantische Kraft;;;;Moc Gemonacji
Venomantic_Power;Сила веномантии;Venomantic Power;毒术法力;Venomantische Kraft;;;;Moc Truciznmancji
Cryomantic_Power;Сила криомантии;Cryomantic Power;冰术法力;Kryomantische Kraft;;;;Moc Cryomancji
Electromantic_Power;Сила электромантии;Electromantic Power;电术法力;Elektromantische Kraft;;;;Moc Elektromancji
Arcanistic_Power;Сила арканистики;Arcanistic Power;秘术法力;Arkanistische Kraft;;;;Moc Arkanizmu
Astromantic_Power;Сила астромантии;Astromantic Power;星术法力;Astromantische Kraft;;;;Moc Astromancji
Psimantic_Power;Сила псимантии;Psionic Power;灵术法力;Psionische Kraft;;;;Moc Psychomancji
Chronomantic_Power;Сила хрономантии;Chronomantic Power;命术法力;Chronomantische Kraft;;;;Moc Chronomancji
;;;;;;;;
;attribute_text_end;attribute_text_end;attribute_text_end;attribute_text_end;;;;attribute_text_end
;;;;;;;;
;;;;;;;;
;attribute_desc;attribute_desc;attribute_desc;attribute_desc;;;;attribute_desc
;;;;;;;;
;// Живучесть и энергия;// Vitality & Energy;// Vitality & Energy;// Vitality & Energy;;;;// Vitality & Energy
;;;;;;;;
HP;Сколько урона вы можете получить, прежде чем погибнете.;The amount of Damage you can take before dying.;你在死亡之前可以承受这么多伤害。;Wieviel Schaden du nehmen kannst, bevor du stirbst.;;;;Ilość obrażeń jakie otrzymasz przed śmiercią.
max_hp;Сколько урона вы можете получить, прежде чем погибнете.;The amount of Damage you can take before dying.;你在死亡之前可以承受这么多伤害。;Wieviel Schaden du nehmen kannst, bevor du stirbst.;;;;Ilość obrażeń jakie otrzymasz przed śmiercią.
Health_Restoration;Скорость восстановления вашего здоровья.#Чем больше этот показатель, тем чаще срабатывает регенерация.;The rate of Health Restoration.#The higher this number, the more frequent your regeneration occurs.;生命恢复的速度。#这个数字越大，恢复的频率越高。;Die Rate der Gesundheitswiederherstellung.#Je höher, um so schneller geschieht die Regeneration.;;;;Częstotliwość z jaką działa Odnawianie Zdrowia.#Im wyższa wartość, tym częściej twoje Zdrowie zostaje odnowione.
Healing_Received;Показывает, сколько лечения вы получаете из всех источников.;Displays the amount of healing received from all sources.;各类治疗实际恢复的比例。;Zeigt die Gesamtmenge an erhaltener Heilung aus allen Quellen. ;;;;Ukazuje ilość Zdrowia odnawianą ze wszystkich źródeł.
MP;Запас сил, расходуемый на способности.;The amount of Energy you can spend on your Abilities.;你可以将这么多精力用于发动能力。;Die Menge an Energie, die du für deine Fertigkeiten verwenden kannst.;;;;Ilość Energii jaką możesz wykorzystać na swoje Zdolności.
max_mp;Запас сил, расходуемый на способности.;The amount of Energy you can spend on your Abilities.;你可以将这么多精力用于发动能力。;Die Menge an Energie, die du für deine Fertigkeiten verwenden kannst.;;;;Ilość Energii jaką możesz wykorzystać na swoje Zdolności.
Health_Threshold;Максимальный порог восстанавливаемого здоровья.#Зависит от степени травмированности ваших частей тела.;The maximum threshold for the amount of Health you can recover.#It depends on the degree of Injury of your body parts.;生命恢复的上限。#取决于你身体各个部位的伤情。;Die max. Schwelle für die Gesundheitsregeneration.#Sie ist abhängig von den Verletzungen an deinem Körper.;;;;Maksymalna wartość Zdrowia, którą możesz odnowić.#Na wartość wpływa stopień obrażeń i ran jakie posiadasz.
MP_Restoration;Скорость восстановления энергии.#Чем больше этот показатель, тем чаще срабатывает регенерация.;The rate of Energy Restoration.#The higher this number the more frequent your regeneration occurs.;精力恢复的速度。#这个数字越大，恢复的频率越高。;Die Rate der Energieregeneration.#Je höher, um so schneller geschieht die Regeneration.;;;;Częstotliwość z jaką działa Odnowienie Energii.#Im wyższa wartość, tym twoja Energia odnawia się częściej.
Damage_Received;Показатель урона, получаемого из всех источников.;The amount of Damage received from all sources.;实际所受伤害的比例。;Der Gesamtschaden aus allen Quellen.;;;;Ilość obrażeń otrzymana ze wszystkich źródeł.
Damage_Returned;Процент получаемого в ближнем бою урона, который возвращается врагу.;The percentage of melee Damage you reflect back at your enemy.;敌人对你造成近身伤害时，会受到这个比例的伤害。;Der prozentuale Schaden, den du auf Gegner zurück wirfst.;;;;Procent obrażeń w walce wręcz odbijany w stronę przeciwnika
Lifesteal;Процент преобразуемого в здоровье урона ваших атак.;The percentage of attack Damage you receive as Health.;你对敌人造成攻击伤害时，会获得这个比例的生命。;Der prozentuale Angriffsschaden, den du als Gesundheit erhältst.;;;;Procent obrażeń powracających w formie Zdrowia
Manasteal;Процент преобразуемого в энергию урона ваших атак.;The percentage of attack Damage you receive as Energy.;你对敌人造成攻击伤害时，会获得这个比例的精力。;Der prozentuale Angriffsschaden, den du als Energie erhältst.;;;;Procent obrażeń powracających w formie Energii.
DEF;Количество гарантированно поглощаемого физического урона.;The amount of Physical Damage you absorb.;你可以吸收这么多物理伤害。;Der phys. Schaden, den du absorbierst.;;;;Ilość Obrażeń Fizycznych, które możesz zaabsorbować Pancerzem.
Fortitude;Влияет на длительность получаемых негативных эффектов.;Reduces duration of negative status effects you receive.;可以缩短负面效果影响你的时长。;Reduziert die Dauer negativer Statuseffekte die du erleidest.;;;;Skraca czas trwania Efektów Negatywnych, które nałożone są na postać.
;;;;;;;;
;// Прокачка;// Levelling;// Levelling;// Levelling;;;;// Levelling
;;;;;;;;
AP;Очки атрибутов используются для увеличения основных характеристик.##Каждое повышение уровня даёт 2 ОА.;Attribute points are spent on increasing your primary stats.##You gain 2 AP on level up.;属性点用于提升你的基础数值。##每升一级，可以获得2个属性点。;Attributpunkte werden zum Erhöhen deiner primären Charakterwerte verwendet#Du bekommst 2 AP bei Stufenaufstieg.;;;;Punkty Atrybutów używane są na rozwijanie twoich podstawowych statystyk.##Otrzymujesz 2 PA przy każdym nowym poziomie postaci.
SP;Очки способностей используются для изучения новых умений и заклинаний.##Каждое повышение уровня даёт 1 ОС.;Skill points are spent on learning new Abilities.##You gain 1 SP on level up.;技能点用于学习新的能力。##每升一级，可以获得1个技能点。;Fertigkeitspunkte dienen dem Erlernen neuer Fertigkeiten.#Du erhältst einen 1 FP bei Stufenaufstieg.;;;;Punkty Umiejętności są wydawane na naukę nowych Umiejętności.##Otrzymujesz 1 PU przy każdym nowym poziomie postaci.
LVL;За каждый уровень вы получаете два очка атрибутов и одно очко способностей.#Максимальный уровень - 30.;You receive two attribute points and a skill point for each level.# Your maximum level is 30.;每升一级，可以获得2个属性点和1个技能点。#你的等级上限为30级。;Du erhältst zwei Attributpunkte und einen Fertigkeitspunkt für jede Stufe.#Deine maximale Stufe ist 30.;;;;Otrzymujesz dwa Punkty Atrybutów oraz jeden Punkt Umiejętności przy każdym nowym poziomie.#Twój maksymalny poziom to 30.
XP;Количество опыта, заработанного вашим персонажем.;The number of experience points your character acquired.;你已获得这么多经验。;Die Erfahrungspunkte die dein Charakter gesammelt hat.;;;;Ilość punktów doświadczenia, które zdobyła twoja postać.
Received_XP;Количество опыта, получаемого за убийство врагов.;The number of experience points you receive for killing your enemies.;你击杀敌人可以获得这么多经验。;Die Erfahrungspunkte, die du für das Töten von Gegnern bekommen hast.;;;;Ilość punktów doświadczenia, które zdobywasz za pokonywanie przeciwników.
;;;;;;;;
;// Основные атрибуты;// Primary attributes;// Primary attributes;// Primary attributes;;;;// Primary attributes
;;;;;;;;
STR;Сила влияет на ваши основные боевые показатели.##От неё зависят ~gr~урон оружия ближнего боя~/~, ~gr~эффективность критов~/~, ~gr~шанс блока~/~, ~gr~сила блока~/~, ~gr~травмирующий урон~/~ и ~gr~урон по броне~/~.;Strength influences your primary combat capabilities.##It affects ~gr~Melee Damage~/~, ~gr~Crit Efficiency~/~, ~gr~Block Chance~/~, ~gr~Block Power~/~, ~gr~Bodypart Damage~/~ and ~gr~Armor Damage~/~. ;力量影响你主要的战斗实力。##例如~w~近身伤害~/~、~w~暴击效果~/~、~w~格挡几率~/~、~w~格挡效果~/~、~w~肢体伤害~/~和~w~防具伤害~/~。;Stärke beinflusst deine primären Kampffähigkeiten.##Es beeinflusst ~gr~Nahkampfschaden~/~, ~gr~Krit. Effizienz~/~, ~gr~Blocken-Chance~/~, ~gr~Blocken-Stärke~/~, ~gr~Körperteilschaden~/~ und ~gr~Rüstungsschaden~/~.;;;;Siła wpływa na twoje możliwości w walce.##Ma wpływ na ~gr~ Obrażenia Fizyczne~/~, ~gr~Skuteczność obr. krytycznych~/~, ~gr~Szansę na Blok~/~, ~gr~Siłę Bloku~/~, ~gr~Obrażenia Części Ciała~/~ oraz ~gr~Obrażenia Pancerza~/~.
AGL;Ловкость влияет на искусность в поединках.##От неё зависят ~gr~шанс уклонения~/~, ~gr~шанс контрудара~/~, ~gr~шанс крита~/~, ~gr~шанс неудачи~/~, ~gr~скрытность~/~, а также ~gr~навык взлома и обезвреживания~/~.;Agility influences your finesse in combat.##It affects ~gr~Dodge Chance~/~, ~gr~Counter Chance~/~, ~gr~Crit Chance~/~, ~gr~Fumble Chance~/~, ~gr~Stealth~/~ and ~gr~Lock-picking & Disarming~/~.;敏捷影响你的战斗技巧。##例如~w~闪躲几率~/~、~w~反击几率~/~、~w~暴击几率~/~、~w~失手几率~/~、~w~潜行~/~和~w~开锁与拆除陷阱~/~。;Beweglichkeit beinflusst deine Finesse im Kampf.##Es beeinflusst ~gr~Ausweichen-Chance~/~, ~gr~Kontern-Chance~/~, ~gr~Krit. Chance~/~, ~gr~Ungeschicktsein-Chance~/~, ~gr~Schleichen~/~ und ~gr~Schlösserknacken & Entschärfen~/~.;;;;Zręczność wpływa na twoją finezję w walce.##Wpływa na ~gr~Szansę na Unik~/~, ~gr~Szansę na Kontrę~/~, ~gr~Szansę na obr. krytyczne~/~, ~gr~Szansę na Partactwo~/~, ~gr~Skradanie~/~ oraz ~gr~Otwieranie zamków i pułapek~/~.
PRC;Восприятие позволяет раньше замечать опасности и точнее бить в цель.##От него зависят ~gr~урон оружия дальнего боя~/~, ~gr~шанс попадания~/~, ~gr~шанс крита~/~, ~gr~скрытность~/~, ~gr~обзор~/~ и ~gr~дальность~/~.;Perception allows you to spot danger earlier and helps you deliver precise attacks.##It affects ~gr~Ranged Damage~/~, ~gr~Accuracy~/~, ~gr~Crit Chance~/~, ~gr~Stealth~/~, ~gr~Vision~/~ and ~gr~Bonus Range~/~.;感知有助于你提早觉察危险，也能加强攻击的精准。这项属性影响~w~远程伤害~/~、~w~准度~/~、~w~暴击几率~/~、~w~潜行~/~、~w~视野~/~和~w~距离加成~/~。;Wahrnehmung erlaubt dir, Gefahren früher zu erkennen, und präzise Angriffe auszuführen.##Es beeinflusst ~gr~Fernkampfschaden~/~, ~gr~Genauigkeit~/~, ~gr~Krit. Chance~/~, ~gr~Schleichen~/~, ~gr~Sicht~/~ und ~gr~Bonus-Reichweite~/~.;;;;Percepcja wpływa na możliwość wcześniejszego zauważenia zagrożenia oraz wyprowadzanie bardziej precyzyjnych ciosów.##Ma wpływ na ~gr~Obrażenia Dystansowe~/~, ~gr~Celność~/~, ~gr~Szansę na obr. krytyczne~/~, ~gr~Skradanie, ~gr~Widok~/~ oraz ~gr~Bonusowy Zasięg~/~.
Vitality;Живучесть влияет на выживаемость и выносливость.##От неё зависят ~gr~запас здоровья~/~, ~gr~регенерация здоровья~/~, ~gr~запас энергии~/~, ~gr~регенерация энергии~/~, ~gr~получаемое лечение~/~ и ~gr~иммунитет~/~.;Vitality influences your survivability and endurance.##It affects ~gr~Max Health~/~, ~gr~Health Restoration~/~, ~gr~Max Energy~/~, ~gr~Energy Restoration~/~, ~gr~Healing Efficiency~/~ and ~gr~Immunity~/~.;活力影响你忍耐负面效果和生存的能力。##例如~w~生命上限~/~、~w~生命自动恢复~/~、~w~精力上限~/~、~w~精力自动恢复~/~、~w~治疗效果~/~和~w~免疫~/~。;Vitalität wirkt sich auf dein Überleben und deine Ausdauer aus.##Es beeinflusst ~gr~max. Gesundheit~/~, ~gr~Gesundheitsregeneration~/~, ~gr~max. Energie~/~, ~gr~Energieregeneration~/~, ~gr~Heilungseffizienz~/~ und ~gr~Immunität~/~.;;;;Witalność wpływa na twoje szanse na przeżycie oraz wytrzymałość.##Ma wpływ na ~gr~Maksymalne Zdrowie~/~, ~gr~Odnawianie Zdrowia~/~, ~gr~Maksymalną Energię~/~, ~gr~Odnawianie Energii~/~, ~gr~Skuteczność Leczenia~/~ oraz ~gr~Odporność~/~.
