;Русский;English;中文;Deutsch;Español;Français;Italiano;Português;Polski
2;У меня для тебя есть особое дело. На днях магистратский посланник, приставленный к нашей деревне, отправился с донесениями обратно в Бринн.#По пути его перехватили разбойники. С охраной они расправились на месте, а самого посланника удерживают где-то в подвалах места под названием %dungeon_name%.#Сказать по правде, я этому даже рад. Посол человек прескверный, а пользы от него ни на грош. Но Магистрат наш давнишний покровитель, так что негоже портить с ним отношения.#Если с головы посланника упадёт хоть один волос, своей головой поплачусь уже я. Поэтому за этот контракт я плачу двойную награду - только вызволи его да удостоверься, что ответственный за засаду мертв.;Eu tenho uma missão especial para você. Alguns dias atrás, o emissário do magistrado, designado para nossa aldeia, foi a Brynn para entregar seu relatório.#Ele foi interceptado por bandidos a caminho de lá. Eles mataram os guardas no local e levaram o emissário para a/o %dungeon_name%. # Para dizer a verdade, não estou exatamente triste com isso. O emissário é um idiota, completamente inútil. Mas o magistrado tem sido nosso benfeitor nesses tempos de incerteza, e não seria prudente prejudicar nossas relações com eles.#Se um fio de cabelo na cabeça de um emissário for prejudicado, será minha cabeça que rolará. É por isso que estou pagando o dobro. Apenas certifique-se de que ele esteja seguro e que quem é responsável por seu sequestro esteja morto.;我有件特殊的事情，想请你帮忙。几天前，城市联盟派到我们村的大使，准备去布林汇报。#结果呢，他在去的路上遇见了一帮土匪。几个护卫当场牺牲，他被掳到了%dungeon_name%。#实话跟你说，这个大使根本不是个东西，彻头彻底的草包。他就算死了，我也无所谓。不过城市联盟这些年对我们很好，要是因为他，影响了我们之间的关系，我觉得不太合适。#这位大使哪怕就是掉了一根汗毛，我脑袋估计都得落地。所以说呢，这活儿我开双倍的赏金。千万要保证他安然无恙，另外绑架他的人不能继续活着。;Ich habe eine besondere Mission für dich. Vor einigen Tagen begab sich der Gesandte des Magistrats, der unserem Dorf zugeteilt worden war, nach Brynn, um seinen Bericht zu überbringen.#Er wurde auf dem Weg dorthin von Banditen abgefangen. Sie töteten die Wachen an Ort und Stelle und brachten den Gesandten zum Ort %dungeon_name%.#Um die Wahrheit zu sagen, bin ich nicht gerade traurig darüber. Der Gesandte ist ein Mistkerl, ein völlig nutzloser obendrein. Aber der Magistrat ist in diesen unsicheren Zeiten unser Wohltäter gewesen, und es wäre nicht klug, unsere Beziehungen zu ihm zu untergraben.#Wenn ihrem Gesandten auch nur ein Haar gekrümmt wird, dann wird mein Kopf rollen. Deshalb zahle ich das Doppelte. Sorge einfach dafür, dass er in Sicherheit ist und dass derjenige, der für seine Entführung verantwortlich ist, tot ist.;;;;;Mam dla ciebie misję specjalną. Kilka dni temu emisariusz Magistratu, którego przydzielono do naszej osady, udał się do Brynn, by dostarczyć raport.#Został schwytany przez bandytów będąc już w drodze. Zabili strażników na miejscu i zabrali emisariusza do swojej kryjówki, ponoć to miejsce to %dungeon_name%.#Szczerze móiąc, nie jestem tym zasmucony. Emisariusz to stary śmieć, kompletnie bezużyteczny but. Jednak Magistrat jest naszym darczyńcą, w tych niepewnych czasach, a byłoby wielce niewskazane podkopywać nasze relacje z nimi.#Jeżeli emisariuszowi spadnie włos z głowy, moja potoczy się po podłodze. Dlatego płacę podwójnie. Dopilnuj, by nic mu się nie stało, a każdy kto odpowiada za te porwanie będzie martwy.
3;Старейшина %village_name% попросил меня найти %dungeon_name% и вызволить эмиссара, угодившего в плен к разбойникам. Убийство главаря также входит в контракт. ;O ancião de %village_name% me pediu para encontrar %dungeon_name% e resgatar o emissário, que foi pego pelos bandidos. A eliminação do líder dos bandidos também faz parte do contrato.;土匪把大使绑到了%dungeon_name%，%village_name%的村长让我去把他救出来。另外，我还要干掉土匪头子。;Der Älteste von %village_name% bat mich, %dungeon_name% zu finden und den von den Räubern gefangenen Abgesandten zu retten. Die Entsorgung des Banditenführers ist ebenfalls Teil des Auftrags.;;;;;%village_name% ogłasza zlecenie na odnalezienie miejsca zwanego %dungeon_name% i uratowanie emisariusza schwytanego przez bandytów. Likwidacja lidera jest również częścią kontraktu.
4;Отправиться в %dungeon_name%;Vá até a/o %dungeon_name%;前往%dungeon_name%;Begib dich nach: %dungeon_name%;;;;;%dungeon_name% to miejsce poszukiwań.
5;Убить главаря разбойников;Mate o Líder da Brigada;杀死土匪头目;Töte den Anführer der Banditen.;;;;;Zabij lidera Bandytów.
6;Спасти эмиссара;Resgate o Emissário;救出大使;Befreie den Gesandten;;;;;Uratuj Emisariusza.
7;Вернуться за наградой;Reivindique a Recompensa;领取奖赏;Hole dir deine Belohnung;;;;;Odbierz nagrodę.
;con_4;con_4;con_4;con_4;con_4;con_4;con_4;con_4;con_4
1;Возвращение чернокнижника;Retorno do Necromante;死灵法师还魂;Die Rückkehr des Nekromanten;;;;;Powrót Nekromanty
2;Неподалёку от нас есть одно место - местные называют его %dungeon_name%. Ходят слухи, будто когда-то давно там похоронили одного чернокнижника по имени %boss_name%. Он так и не обрёл покой: вновь и вновь он возвращался к жизни, каждый раз - в новом обличье. #Десять лет назад мы уже имели с ним дело - это было тяжёлое время... Боюсь, он снова вернулся: недавно возле склепа вновь видели нежить. Ох, не к добру всё это: нам нужно поспешить, пока он не натворил новых бед.#Я слыхал, будто где-то в склепе спрятан некий колдовской талисман - он и воскрешает колдуна раз за разом. Я готов щедро тебе заплатить, если ты отыщешь амулет и навсегда избавишь нас от чернокнижника. Что скажешь?;Há um lugar próximo, que os moradores chamam de %dungeon_name%. Ouvi dizer que era onde um mago das trevas, %boss_name%, havia sido enterrado há muito tempo atras. No entanto, ele nunca encontrou sua paz. Ele apenas continuou voltando à vida, cada vez em um novo corpo.#A dez anos atrás, já tínhamos que lidar com ele, eram tempos difíceis... Mas temo que ele tenha retornado mais uma vez - alguns rapazes viram os mortos-vivos à espreita ao redor da cripta. Isso não é um bom presságio, temos que lidar com ele antes que ele tenha uma chance de começar a causar problemas.#Também ouvi dizer que há um amuleto mágico escondido em algum lugar da cripta, a coisa que o ressuscita. Estou pronto para pagar uma bela recompensa se você encontrar esse amuleto e nos livrar do necromante de uma vez por todas. O que você me diz?;这附近有个地方，我们都叫它“%dungeon_name%”，我听说那儿很早之前埋了一个叫%boss_name%的黑暗法师。这个法师死了之后，还不安分，总想借尸还魂，每次都会借一具肉体。#十年前，我们跟他交过一次手，战况惨烈……有几个小子最近看到不死族在他墓穴周围游荡，怕是他又活了。我们得尽早把他解决了，不然他又不知道会生出什么祸端。#那个墓穴里面听说藏着一块魔法护符，他还魂靠的就是那个。你要是能找到护符，然后帮我们彻底除掉这个死灵法师，我就给你一大笔赏金，你看怎么样？;Es gibt einen Ort in der Nähe, die Einheimischen nennen ihn %dungeon_name%. Ich habe gehört, dass dort vor langer Zeit ein dunkler Magier, %boss_name%, bestattet wurde. Er hat jedoch nie seinen Frieden gefunden. Er kehrte einfach immer wieder ins Leben zurück, jedes Mal in einem neuen Körper.#Vor zehn Jahren mussten wir schon einmal mit ihm fertig werden, und das war wirklich nicht einfach... Aber ich fürchte, er ist wieder zurückgekehrt - einige Jungs haben Untote entdeckt, die in der Umgebung herum wandeln. Das verheißt nichts Gutes. Wir müssen ihm das Handwerk legen, bevor er die Chance hat, wirklich Ärger zu machen.#Ich habe auch gehört, dass irgendwo in der Gruft ein magisches Amulett versteckt ist, das ihn wieder zum Leben erweckte. Ich bin bereit, eine hübsche Belohnung zu zahlen, wenn du dieses Amulett findest und uns ein für allemal vom Nekromanten befreist. Was sagst du dazu? ;;;;;W okolicy znajduje się miejsce znane jako %dungeon_name%. Słyszałem, źe właśnie tam potężny czarny mag %boss_name% został pochowany wiele lat temu. Jednak, nigdy nie zaznał spokoju. Wciąż wracał do żywych, za każdym razem w nowym ciele.#Dziesięć lat temu już uporaliśmy się z nim, były to ciężkie czasy... Jednak obawiam się, że powrócił ponownie - kilku ludzi dojrzało nieumarłego człapiącego wokół krypty. To nie wróży dobrze, musimy się go pozbyć nim zacznie sprawiać większe problemy.#Również słyszałem, że gdzieś w krypcie ukryto magiczny amulet, coś co sprawia, że właśnie on go wskrzesza. Jestem gotów zapłacić dużą nagrodę jeżeli dasz radę zdobyć ten amulet i pozbyć się nekromanty raz na zawsze. Co na to powiesz?
3;Бессмертный некромант донимает жителей %village_name%. Старейшина попросил меня отправиться в %dungeon_name%, в очередной раз убить его и найти талисман, возвращающий его к жизни.;O necromante imortal incomoda %village_name% e seu povo. O ancião me pediu para que você vá até a/o %dungeon_name%, mate ele mais uma vez e ache o talismã, que continua trazendo-o de volta à vida.;死灵法师频频还魂，%village_name%不堪其苦。村长让我前往%dungeon_name%，再次杀死法师，并且找到复活法师的魔法护符。;Der unsterbliche Nekromant belästigt %village_name% und seine Bewohner. Der Älteste bat mich, einen Ort mit dem Namen %dungeon_name% aufzusuchen, den Nekromanten noch einmal zu töten und den Talisman zu finden, der ihn immer wieder zum Leben erweckt.;;;;;%village_name% i jego mieszkańcy ogłaszają duże zlecenie na pozbycie się nieśmiertelnego nekromanty. Starszy wioski prosi o odnalezienie miejsca, o którym wieśniacy mówią %dungeon_name%. Celem jest zdobycie ukrytego tam amuletu, który przywraca nekromantę do życia i oczywiści likwidacja jego samego.
4;Отправиться в %dungeon_name%;Vá até a/o %dungeon_name%;前往%dungeon_name%;Begib dich nach: %dungeon_name%;;;;;%dungeon_name% to miejsce poszukiwań.
5;Убить некроманта;Mate o Necromante;杀死死灵法师;Töte den Nekromanten;;;;;Zabij nekromantę.
6;Принести филактерию;Recupere o Filactério;取出灵魂水晶;Hole das Phylakterium;;;;;Odzyskaj Phylakterium.
7;Вернуть филактерию старейшине;Traga o Filactério até o Ancião;将灵魂水晶交给村长;Bringe das Phylakterium zurück zum Ältesten;;;;;Zanieś dowód w postaci Phylakterium starszemu wioski.
;con_5;con_5;con_5;con_5;con_5;con_5;con_5;con_5;con_5
1;Украденный фолиант;Grimório roubado;魔法书失窃;Gestohlenes Zauberbuch;;;;;Skradziony Grimuar
2;Намедни из Магистрата пришёл контракт на голову еретика и чернокнижника по имени %boss_name%. Он украл некую книжку у какого-то бриннского вельможи - вот теперь и ведут за ним охоту.#Нам удалось узнать, что он скрывается неподалёку - в склепе под названием %dungeon_name%. Боязно нам: небось задумал чего лихого, так что тут медлить нельзя.#Коль предашь нечестивца смерти и вернёшь книгу, убьёшь сразу двух зайцев: и нам поможешь, и в Магистрате тебя запомнят.;Ainda no outro dia o Magistrado enviou-nos uma recompensa pela cabeça de %boss_name%, um herege e um necromante. Aparentemente ele roubou algum livro a um nobre em Brynn - por isso agora há uma caça ao homem. Conseguimos encontrar onde ele está escondido em - %dungeon_name%. As pessoas temem que ele esteja a tramando algo terrível, por isso não há tempo a perder. Se você matar o vilão e trazer o livro de volta, vai matar dois coelhos de uma cajadada só: ajude-nos, e faça um favor ao Magistrado.;那天，城市联盟给我们发了通告，悬赏捉拿异教之徒、死灵法师%dungeon_name%。他好像偷了布林哪个贵族的书，所以现在到处都在抓他。#我们现在知道他藏在%dungeon_name%，大家伙都觉得他八成是想祸害我们，所以得赶紧把他解决了。#你要是能干掉这个恶人，再把书带回来，那就一举两得：既让我们免于一难，又帮了城市联盟的忙。;Erst neulich schickte uns der Magistrat ein Kopfgeldgesuch für den Kopf von %boss_name%, einem Ketzer und Nekromanten. Anscheinend hat er einem Adligen in Brynn ein Buch gestohlen - und jetzt wird nach ihm gesucht. Wir konnten sein Versteck am Ort %dungeon_name% ausfindig machen. Die Leute befürchten, dass er etwas Böses plant, also haben wir keine Zeit zu verlieren.#Wenn du den Bösewicht tötest und das Buch zurückbringst, schlägst du zwei Fliegen mit einer Klappe: Hilf uns und tu dem Magistrat einen Gefallen.;;;;;Zaledwie dzień po tym jak Magistrat wysłał zlecenie, by nekromanta i heretyk %boss_name% stracił głowę, zdaje się że ukradł on trochę książek od mieszczanina w Brynn. Trwa więc obława.#Ustaliliśmy gdzie się ukrywa. To miejsce nazywa się %dungeon_name%. Lokalni mówią, że musi planować coś obrzydliwego, więc nie ma czasu do stracenia.#Jeżeli położysz trupem złoczyńcę i odzyskasz księgę, upolujesz dwie pieczenie na jednym ogniu. Zrób przysługę nam i Magistratowi.
3;Старейшина %village_name% передал мне контракт: некий чернокнижник украл оккультный фолиант у одного магистратского вельможи. От меня требуется убить его и вернуть книгу старейшине, дабы тот мог отдать её законному владельцу.;O ancião da %village_name% me passou o contrato: algum necromante roubou um grimório oculto do nobre do Magistrado. Eu preciso matá-lo e trazer o livro de volta para o ancião, para que ele o envie de volta para o seu dono.;一个死灵法师偷了城市联盟某位贵族的玄秘魔法书，%village_name%的村长请我帮忙。我要干掉这个法师，然后将魔法书交给村长，他才能把书交还失主。;Der Älteste von %village_name% übergab mir einen Auftrag: Irgendein Nekromant stahl ein okkultes Zauberbuch von einem Adligen des Magistrats. Ich muss ihn töten und dem Ältesten das Buch zurückbringen, damit er es seinem Besitzer zurückschickt.;;;;;%village_name% ma zlecenie wystawione przez starszego na dwa cele. Jakiś nekromanta ukradł okultystyczny grimuar od dostojnika Magistratu. Celem jest likwidacja heretyka oraz odzyskanie księgi, którą należy przekazać starszemu, by ten mógł zwrócić ją właścicielowi.
4;Отправиться в %dungeon_name%;Vá até a/o %dungeon_name%;前往%dungeon_name%;Begib dich nach: %dungeon_name%;;;;;%dungeon_name% to miejsce poszukiwań.
5;Убить некроманта;Mate o Necromante;杀死死灵法师;Töte den Nekromanten;;;;;Zabij Nekromantę.
6;Найти гримуар;Encontre o Grimório;找到魔法书;Finde das Zauberbuch;;;;;Odnajdź Grimuar.
7;Вернуть гримуар старейшине;Traga o Grimório para o Ancião;将魔法书交给村长;Bringe das Zauberbuch zum Ältesten;;;;;Zanieś Grimuar do starszego.
;con_6;con_6;con_6;con_6;con_6;con_6;con_6;con_6;con_6
1;Утраченная реликвия;Relíquia perdida;圣髑失落;Verlorene Reliquie;;;;;Utracona Relikwia
2;Не слыхал о склепе под названием %dungeon_name%? Там похоронена Святая Эбба, наша покровительница, да восславится её имя.#Когда в Осбрук приходят тяжёлые времена, мы идём на поклон к её саркофагу, где хранится чудотворная статуэтка...#Недавно вовнутрь проник какой-то нечестивец. Никак задумал осквернить это священное место. Боюсь даже представить, что за беды обрушатся на наши головы, если ему это удастся...#Прошу тебя: спустись в склеп, убей окаянца и верни нам нашу реликвию. Это дело праведное и за ценой мы не постоим: всей деревней соберём, кто что может.;Já ouviu falar da %dungeon_name%? Esse é o local de descanso final de St. Ebba, nossa padroeira,  louvado seja o seu nome.#Quando os tempos difíceis chegam a Osbrook, fazemos uma peregrinação a seu sarcófago, onde uma estatueta milagrosa está sendo armazenada ...#Recentemente, algum vil miserável encontrou o seu caminho para a cripta. Eu acredito que ele está lá para profanar o lugar santo. Não consigo nem imaginar que tipo de calamidade acontecerá se ele conseguir...#Eu imploro: desça na cripta, mate aquele vilão e traga nossa relíquia de volta.  É uma ação justa e não vamos nos conter com a recompensa, a aldeia inteira está pronta para contribuir.;听说过%dungeon_name%没有？那是我们主保圣母圣埃芭的安息之地。#奥斯布鲁克一有灾有难，我们就会去她的石棺那里祭拜，那里放着一尊不得了的雕像……#最近，有个王八蛋偷偷钻进了墓穴，我估计是他是要去亵渎圣地。这他要是得手了，天知道我们得遭多大的灾殃啊……#麻烦你去一趟墓穴，宰了那个混蛋，取回圣母的遗迹。要是能帮这个忙，你就是我们的大恩人，赏金绝对不会少了，村里的父老乡亲都已经把钱准备好了。;Schon mal vom Ort %dungeon_name% gehört? Das ist die letzte Ruhestätte der heiligen Ebba, unserer Schutzpatronin, gepriesen sei ihr Name.#Wenn schwere Zeiten nach Osbrook kommen, pilgern wir zu ihrem Sarkophag. Dort wird auch eine wundersame Figur aufbewahrt...#Kürzlich fand ein widerwärtiger Schurke den Weg in die Krypta. Ich glaube, er will den heiligen Ort zu schänden. Ich mag mir nicht vorstellen, was für ein Unglück uns bevorsteht, wenn es ihm gelingt... #Ich flehe dich an: Steig in die Krypta hinab, töte diesen Schurken und bring unsere Reliquie zurück. Es ist eine rechtschaffene Tat und wir werden uns mit der Belohnung nicht zurückhalten. Das ganze Dorf ist bereit, seinen Beitrag zu leisten.;;;;;Słyszałeś kiedyś o miejscu, które nosi nazwę %dungeon_name%? To ostatnie miejsce spoczynku świętej Ebby, naszej patronki.#Kiedy ciężkie czasy nastały w Osbrook, odbyliśmy pielgrzymkę do jej sarkofagu, gdzie cudowna figurka była przechowywana...#Ostatnio, jakiś plugawca niemal dostał się do jej krypty. Jestem pewien, że udał się tam, by zbeszcześcić to święte miejsce. Nie mogę sobie nawet wyobrazić jakie potworności tam poczyni, jeżeli mu się uda...#Błagam cię. Zejdź do krypt i zabij tego złoczyńcę oraz zwróć nam naszą relikwię. To prawy uczynek i nie zostanie bez nagrody, cała wioska składa się na kontrakt.
3;Некий чернокнижник пробрался в %dungeon_name% и осквернил могилу местной святой. Старейшина %village_name% готов заплатить за его убийство и возвращение украденной реликвии.;O necromante encontrou seu caminho dentro da %dungeon_name% e profanou o túmulo do santo local. O ancião de %village_name% está pronto para me pagar para matá-lo e trazer a relíquia roubada de volta.;死灵法师溜进了%dungeon_name%，亵渎了本地主保圣母的墓穴。%village_name%的村长已经把钱准备好了，就等我干掉法师，拿回失落的圣髑了。;Der Nekromant fand einen Weg ins Innere von %dungeon_name% und schändete das Grab der örtlichen Heiligen. Der Älteste von %village_name% ist bereit, mich dafür zu bezahlen, dass ich den Nekromanten töte und die gestohlene Reliquie zurück bringe.;;;;;Mieścina o nazwie %village_name% gromadzi nagrodę za wykonanie kontraktu, którego celem jest odzyskanie relikwii z grobowca lokalnej świętej. Starszy informuje, że miejsce poszukiwań to %dungeon_name%. Zlecenie dotyczy zabicia plugawiciela i zwróćenia relikwii.
4;Отправиться в %dungeon_name%;Vá até a/o %dungeon_name%;前往%dungeon_name%;Begib dich nach: %dungeon_name%;;;;;%dungeon_name% to miejsce poszukiwań.
5;Убить некроманта;Mate o Necromante;杀死死灵法师;Töte den Nekromanten;;;;;Zabij plugawiciela.
6;Найти статуэтку;Encontre a estatueta.;找到雕像;Finde die Figur.;;;;;Odnajdź Figurkę.
7;Вернуть статуэтку старейшине;Traga a Estatueta para o ancião;将雕像交给村长;Bringe die Figur zurück zum Ältesten;;;;;Zanieś Figurkę do starszego.
;con_7;con_7;con_7;con_7;con_7;con_7;con_7;con_7;con_7
1;Источник порчи;Fonte de Corrupção;腐坏之源;Quelle der Verdorbenheit;;;;;Źródło Spaczenia
