repkit;Набор для починки;Kit de reparação;维修工具;Reparaturset;;;;;Zestaw Naprawczy;Tamir Seti;//
lockpicks;Отмычки;Gazuas;开锁工具;Dietriche;;;;;Wytrychy;Maymuncuklar;//
skeleton_key;Ключ от всех дверей;Chave Metra;万能钥匙;Skelettschlüssel;;;;;Wytrych Uniwersalny;İskelet Anahtar;//
key;Ключ;Chave;钥匙;Schlüssel;;;;;Klucz;Anahtar;//
backpack;Рюкзак;Mochila;背包;Rucksack;;;;;Plecak;Sırt Çantası;//
moneybag;Кошель;Bolsa;钱袋;Geldbeutel;;;;;Sakiewka;Para Kesesi;//
;;;;;;;;;;;//
aquamarine;Аквамарин;água-Marinha;海蓝宝石;Aquamarin;;;;;Akwamaryna;Gök Zümrüt;//
ruby;Рубин;Rubi;红宝石;Rubin;;;;;Rubin;Yakut;//
emerald;Изумруд;Esmeralda;祖母绿;Smaragd;;;;;Szmaragd;Zümrüt;//
diamond;Бриллиант;Diamante;钻石;Diamant;;;;;Diament;Elmas;//
sapphire;Сапфир;Safira;蓝宝石;Saphir;;;;;Szafir;Safir;//
topaz;Топаз;Topázio;黄玉;Topas;;;;;Topaz;Topaz;//
amethyst;Аметист;Ametista;紫水晶;Amethyst;;;;;Ametyst;Ametist;//
seapearl;Морской жемчуг;Pérolas do Mar;海水珍珠;Meeresperlen;;;;;Perły;İnci;//
amber;Россыпь янтаря;Punhado de Âmbar;琥魄;Handvoll Bernstein;;;;;Garść Bursztynów;Bir Avuç Kehribar;//
golden_cup;Золотой кубок;Calice de Ouro;金杯;Goldener Becher;;;;;Złoty Puchar;Altın Kupa;//
hourglass;Песочные часы;Ampulheta;沙漏;Stundenglas;;;;;Klepsydra;Kum Saati;//
inkpot;Украшенная чернильница;Tinteiro Decorado;精美的墨瓶;Ziertintenfass;;;;;Dekorowany Kałamarz;Dekoratif Hokka;//
ivory;Слоновая кость;Marfim;象牙;Elfenbein;;;;;Kość Słoniowa;Fildişi;//
casket;Искусная шкатулка;Caixa Requintado;精致的匣子;Exquisite Schutulle;;;;;Zdobiona Kasetka;Süslü Tabut;//
porcelain;Фарфоровая ваза;Vaso de Porcelana;瓷花瓶;Porzellanvase;;;;;Porcelanowa Waza;Porselen Vazo;//
golden_earrings;Золотые серёжки;Brincos Dourados;金耳环;Goldene Ohrringe;;;;;Złote Kolczyki;Altın Küpe;//
golden_brooch;Золотая брошь;Broche de Ouro;金饰针;Goldene Brosche;;;;;Złota Broszka;Altın Broş;//
candelabrum;Золотой подсвечник;Candelabro de Ouro;金烛台;Goldener Kandelaber;;;;;Złoty Świecznik;Altın Şamdan;//
silver_cup;Серебряная чаша;Taça de Prata;银杯;Silberner Becher;;;;;Srebrny Kubek;Gümüş Kupa;//
golden_tooth;Золотой зуб;Dente de Ouro;金牙;Goldzahn;;;;;Złoty Ząb;Altın Diş;//
gold;Кроны;Coroas;金币;Kronen;;;;;Korony;Taç;//
ancient_coin;Древняя монета;Moeda Antiga;古代钱币;Antike Münze;;;;;Starożytna Moneta;Antika Sikke;//
elven_coin;Эльфийский абаз;Abazi Élfico;精灵阿巴斯币;Elfen Abazi;;;;;Elficka Abazi;Elf Abazi;//
dwarven_coin;Дварфийский фьялл;Fjall de Anão;矮人菲欧币;Zwergen Fjall;;;;;Krasnoludzka Fjall;Cüce Dağı;//
jade_figurine;Нефритовая статуэтка;Estatueta de Jade;玉雕;Jadefigur;;;;;Jadeitowa Figurka;Yeşim Figür;//
silver_plate;Серебряное блюдо;Prato de Prata;银盘;Silberteller;;;;;Srebrny Talerz;Gümüş Tabak;//
silver_cutlery;Серебряные приборы;Prato de prata;银刀叉;Silberbesteck;;;;;Srebrny Nóż;Gümüş Sofra Seti;//
elven_silk;Шелк;Seda;丝绸;Seide;;;;;Jedwab;İpek;//
ruby_beads;Рубиновые четки;Perolas de Rubi;红玉珠串;Rubinrote Glasperlen;;;;;Rubinowe Korale;Yakut Boncuklar;//
old_agraphe;Старинный аграф;Agraffe Antigo;古董夹扣;Alte Agraffe;;;;;Stara Agrafka;Eski Agraf;//
agate;Агат;Ágata;玛瑙;Achat;;;;;Agat;Akik;//
jade;Нефрит;Jade;玉;Jade;;;;;Jadeitowa Figurka;Yeşim;//
marble_bear;Мраморный медведь;Urso de Mármore;大理石熊;Bär aus Marmor;;;;;Marmurowy Niedźwiedź;Mermer Ayı;//
bronze_eagle;Бронзовый орёл;Águia de Bronze;青铜鹰;Bronzeadler;;;;;Brązowy Orzeł;Bronz Kartal;//
;;;;;;;;;;;//
wineskin;Бурдюк с водой;Odre;水;Wasserschlauch;;;;;Bukłak;Deri Matara;//
coffee;Эльфийская гуща;Lama Élfica;精灵咖啡泥;Elfen-Schlamm;;;;;Elficki Osad;Elf Kahvesi;//
wine;Маннширское креплёное;Mannshire Fortificado;高度曼恩酒;Mannshire-Fortified;;;;;Wzmocniona Mannshireńska;Mannshire Şarabı;//
wine1;Бриннский вермут;Vermute de Brynn;布林威末酒;Brynn-Wermut;;;;;Mocna z Brynn;Brynn Vermut;//
wine2;Эльфийское льдистое;Vinho Élfico Gelado;精灵冰酒;Elfischer Eiswein;;;;;Elfickie Wino Lodowe;Elf Buz Şarabı;//
mead;Медовуха;Hidromel;蜂蜜酒;Met;;;;;Miód Pitny;Bal Likörü;//
brandy;Бренди;Conhaque;白兰地;Brandy;;;;;Brandy;Konyak;//
ale;Тёмный эль;Cerveja Escura;深色艾尔啤酒;Dunkelbier;;;;;Ciemne Ale;Koyu Bira;//
spirit;Спиртовая вытяжка;Espírito;烈酒;Spiritus;;;;;Spirytus;İspirto;//
milk;Кувшин молока;Jarro de Leite;牛奶;Krug mit Milch;;;;;Dzban Mleka;Süt Testisi;//
;;;;;;;;;;;//
apple;Яблоко;Maçã;苹果;Apfel;;;;;Jabłko;Elma;//
apple_rot;Гнилое яблоко;Maçã Estragado烂苹果;Verdorbener Apfel;;;;;Zgniłe Jabłko;Çürük Elma;//
pear;Груша;Pêra;梨;Birne;;;;;Gruszka;Armut;//
pear_rot;Гнилая груша;Pêra Estragada;烂梨;Verdorbene Birne;;;;;Zgniła Gruszka;Çürük Armut;//
grape;Виноград;Uvas;葡萄;Trauben;;;;;Winogrono;Üzüm;//
grape_rot;Гнилой виноград;Uvas Estragadas;烂葡萄;Verdorbene Trauben;;;;;Zgniłe Winogrono;Çürük Üzüm;//
fig;Инжир;Figo;无花果;Feige;;;;;Figa;İncir;//
fig_rot;Сушеный инжир;Figo Seco;烂无花果;Getrocknete Feige;;;;;Sucha Figa;Kuru İncir;//
citrus;Эльфийский цитрус;Citrus Élfico;精灵柑橘;Elfische Zitrusfrucht;;;;;Elficki Cytrus;Elf Narenciyesi;//
citrus_rot;Испорченный эльфийский цитрус;Citrus Élfico Estragado;变质的精灵柑橘;Verdorbene elfische Zitrusfrucht;;;;;Zgniły Elficki Cytrus;Bozulmuş Elf Narenciyesi;//
dragonfruit;Драконов плод;Fruta do Dragão;火龙果;Drachenfrucht;;;;;Smoczy Owoc;Pitaya;//
dragonfruit_rot;Испорченный драконов плод;Fruta do Dragão Estragada;烂火龙果;Verdorbene Drachenfrucht;;;;;Zgniły Smoczy Owoc;Bozulmuş Pitaya;//
;;;;;;;;;;;//
;;;;;;;;;;;//
carrot;Морковь;Cenoura;胡萝卜;Möhre;;;;;Marchew;Havuç;//
carrot_rot;Гнилая морковь;Cenoura Estragada;变质的胡萝卜;Verdorbene Möhre;;;;;Zgniła Marchew;Çürük Havuç;//
potato;Картофелина;Batata;土豆;Kartoffel;;;;;Ziemniak;Patates;//							 
potato_baked;;Batata Assada;;;;;;;;;;//
potato_rot;Гнилая картофелина;Batata Estragada;烂土豆;Verdorbene Kartoffel;;;;;Zgniły Ziemniak;Çürük Patates;//
leek;Лук-порей;Alho-Poró;韭葱;Lauch;;;;;Por;Pırasa;//
leek_rot;Гнилой лук-порей;Alho-Poró Estragado;烂韭葱;Verdorbenes Lauch;;;;;Znigły Por;Çürük Pırasa;//
onion;Лук;Cebola;洋葱;Zwiebel;;;;;Cebula;Soğan;//
onion_rot;Гнилой лук;Cebola Estragada;烂洋葱;Verdorbene Zwiebel;;;;;Zgniła Cebula;Çürük Soğan;//
white_radish;Белый редис;Rabanete Branco;白萝卜;Weißer Rettich;;;;;Biała Rzodkiew;Beyaz Turp;//
white_radish_rot;Гнилой белый редис;Rabanete Branco Estragado;烂白萝卜;Verdorbener weißer Rettich;;;;;Zgniła Biała Rzodkiew;Çürük Beyaz Turp;//
garlic;Чеснок;Alho;大蒜;Knoblauch;;;;;Czosnek;Sarımsak;//
garlic_rot;Гнилой чеснок;Alho Estragado;烂蒜;Verdorbener Knoblauch;;;;;Znigły Czosnek;Çürük Sarımsak;//
beet;Свёкла;Beterraba;甜菜头;Rote Beete;;;;;Burak;Pancar;//
beet_rot;Гнилая свёкла;Beterraba Estragada;烂甜菜头;Verdorbene rote Beete;;;;;Zgniły Burak;Çürük Pancar;//
tomato;Помидор;Tomate;番茄;Tomate;;;;;Pomidor;Domates;//
tomato_rot;Гнилой помидор;Tomate Estragado;烂番茄;Verdorbene Tomate;;;;;Zgniły Pomidor;Çürük Domates;//
;;;;;;;;;;;//
meat;Приготовленная оленина;Carne de veado Assada;熟鹿肉;Gekochtes Wildbret;;;;;Upieczona Dziczyzna;Pişmiş Geyik Eti;//
meat_raw;Сырая оленина;Carne de veado;鹿肉;Wildbret;;;;;Dziczyzna;Geyik Eti;//
meat_rot;Тухлая оленина;Carne de veado Estragada;变质的鹿肉;Verdorbenes Wildbret;;;;;Zgniła Dziczyzna;Çürük Geyik Eti;//
chicken;Приготовленная ножка;Coxa Assada;烤鸡腿;Gebratene Keule;;;;;Upieczone Mięso;Kızarmış But;//
chicken_raw;Сырая ножка;Coxa de Frango Cru;生鸡腿;Rohe Keule;;;;;Surowe Mięso;Çiğ But;//
chicken_rot;Тухлая ножка;Coxa de Frango Estragada;变质的鸡腿;Verdorbene Keule;;;;;Zgniłe Mięso;Çürük But;//
sausage;Колбаса;Linguiça;香肠;Wurst;;;;;Kiełbasa;Sosis;//
ham;Копченый окорок;Presunto Defumado;烟熏火腿;Geräucherter Schinken;;;;;Wędzona Szynka;Kuru Et;//
;;;;;;;;;;;//
fish;Приготовленный карась;Carpa cozida;熟鲤鱼;Gekochter Karpfen;;;;;Ugotowany Karp;Pişmiş Sazan;//
fish_raw;Карась;Carpa;鲤鱼;Karpfen;;;;;Karp;Sazan;//
fish_rot;Тухлый карась;Carpa Estragada;变质的鲤鱼;Verdorbener Karpfen;;;;;Zgniły Karp;Çürük Sazan;//
;;;;;;;;;;;//
agrimony;Репешок;Agrimonia;龙牙草;Odermennig;;;;;Agrymonia;Koyunotu;//
bogbean;Трилистник;Trevo-de-Água;睡菜;Bitterklee;;;;;Trójliść;Su Yoncası;//
burdock;Лопух;Arctium;牛蒡;Klette;;;;;Łopian;Dulavratotu;//
horsetail;Хвощ;Cavalinha;木贼;Schachtelhalm;;;;;Skrzyp;Atkuyruğu;//
mindwort;Зверобой;Hipérico;金丝桃;Minzwurzel;;;;;Korzeń Umysłu;Sarı Kantaron;//
peppermint;Перечная мята;Hortelã-pimenta;辣薄荷;Pfefferminze;;;;;Mięta Pieprzowa;Nane;//
poppy;Мак;Papoula;罂粟;Mohn;;;;;Mak;Gelincik;
thyme;Тимьян;Tomilho;百里香;Thymian;;;;;Tymianek;Kekik;
;;;;;;;;;;;//
bread;Хлеб;Pão;面包;Brot;;;;;Chleb;Ekmek;//
bread_rot;Плесневелый хлеб;Pão Mofado;发霉的面包;Schimmeliges Brot;;;;;Suchy Chleb;Küflü Ekmek;//
cheese;Сыр;Queijo;奶酪;Käse;;;;;Ser;Peynir;//
cheese_rot;Протухший сыр;Queijo Estragado;发霉的奶酪;Verdorbener Käse;;;;;Zepsuty Ser;Bozulmuş Peynir;//
goatcheese;Козий сыр;Queijo de Cabra;山羊奶酪;Ziegenkäse;;;;;Kozi Ser;Keçi Peyniri;//
goatcheese_rot;Протухший козий сыр;Queijo de Cabra Estragado;发霉的山羊奶酪;Verdorbener Ziegenkäse;;;;;Zepsuty Kozi Ser;Bozulmuş Keçi Peyniri;//
dumpling;Клёцка;Bolinho de Massa;小饼;Teigtasche;;;;;Kluska;Meyveli Börek;//
dumpling_rot;Испорченная клёцка;Bolinho de Massa Estragado;变质的小饼;Verdorbene Teigtasche;;;;;Zepsuta Kluska;Bozulmuş Meyveli Börek;//
pretzel;Крендель;Pretzel;蝴蝶脆饼;Bretzel;;;;;Precel;Kraker;//
pretzel_rot;Испорченный крендель;Pretzel Estragado;变质的蝴蝶脆饼;Verdorbene Bretzel;;;;;Suchy Precel;Bozulmuş Kraker;//
pancakes;Оладьи;Panquecas;薄饼;Pfannkuchen;;;;;Naleśniki;Krep;//
pancakes_rot;Протухшие оладьи;Panquecas Estragadas;变质的薄饼;Verdorbene Pfannkuchen;;;;;Zepsute Naleśniki;Bozulmuş Krep;//
lentil_soup;Чечевичная похлёбка;Sopa de Lentilha;小扁豆汤;Linsensuppe;;;;;Soczewica;Mercimek Çorbası;//
lentil_soup_rot;Протухшая чечевичная похлёбка;Sopa de Lentilha Estragada;变质的小扁豆汤;Verdorbene Linsensuppe;;;;;Zepsuta Soczewica;Bozulmuş Mercimek Çorbası;//
peasant_soup;Крестьянская похлёбка;Guisado do Camponês;农家炖菜;Bauerntopf;;;;;Gulasz Wieśniaka;Tas Kebabı;//
peasant_soup_rot;Протухшая крестьянская похлёбка;Guisado do Camponês Estragado;变质的农家炖菜;Verdorbener Bauerntopf;;;;;Zepsuty Gulasz Wieśniaka;Bozulmuş Tas Kebabı;//
;;;;;;;;;;;//
mapscroll;Карта;Mapa;地图;Karte;;;;;Mapa;Harita;//
scroll_identification;Свиток определения;Pergaminho de Indentificação;鉴定卷轴;Identifizieren-Spruchrolle;;;;;Zwój Identyfikacji;Tanımlama Parşömeni;//
scroll_disenchant;Свиток снятия чар;Pergaminho de Desencanto;祛魔卷轴;Entzaubern-Spruchrolle;;;;;Zwój Oczyszczenia;;//
scroll_enchant;Свиток зачарования;Pergaminho de Encantamento;附魔卷轴;Verzaubern-Spruchrolle;;;;;Zwój Zaklinania;;//
;;;;;;;;;;;//
;;;;;;;;;;;//
stoneshard;Осколок Камня;Stoneshard;紫色晶石;Steinsplitter;;;;;Stoneshard;Stoneshard;//
;;;;;;;;;;;//
bounty_figurine;Священная статуэтка;Estatueta Sagrada;圣像;Heilige Figur;;;;;Święta Figurka;Kutsal Heykel;//
bounty_grimoir;Запретный гримуар;Grimório Proibido;禁忌魔法书;Verbotenes Zauberbuch;;;;;Zapomniany Grimuar;Yasaklı Büyü Kitabı;//
heraldic_note;Фамильная грамота;Nota Heráldica;引荐书;Heraldische Botschaft;;;;;Herbowa Notatka;Hanedan Notu;//
wheat_bag;Мешок зерна;Saco de Grãos;粮食;Getreidesack;;;;;Wór Zboża;Tahıl Çuvalı;//
reliquary;Реликварий;Relicário;圣物箱;Reliquiar;;;;;Relikwiarz;Röliker;//
alchemy_kit;Алхимический аппарат;Aparelho de Alquimia;炼金设备;Alchemieapparatur;;;;;Aparatura Alchemiczna;Simya Aleti;//
letter_pile;Кипа донесений;Pilha de Relatórios;文书;Stapel Berichte;;;;;Plik Raportów;Rapor Yığını;
wicked_hand;Рука каторжника;Mão do Condenado;逃犯的手;Hand des Sträflings;;;;;Ręka Skazańca;Hükümlü Eli;
;;;;;;;;;;;//
pinecap;Хвойник;Chapéu de Pinho;松乳菇;Kiefernkappe;;;;;Czapnik;Ephedra;//
flyagaric;Мухомор;Amanita Muscaria;毒蝇伞;Fliegenpilz;;;;;Muchomor;Sinek Mantarı;//
stool;Бледная поганка;Cicuta Verde;毒鹅膏;Todeskappe;;;;;Sromotnik;Köygöçüren;//
pinecap_fried;Жареный хвойник;Chapéu de Pinho Frito;;N/A;;;;Chapéu de Pinho Frito;N/A;Pişmiş Efedrin;;//
toadstool_fried;Жареная поганка;Capuz da Morte Frito;;N/A;;;;Capuz da Morte Frito;N/A;Pişmiş Köygöçüren;;//
flyagaric_fried;Жареный мухомор;Agárico Mosca Frito;;N/A;;;;Agárico Mosca Frito;N/A;Pişmiş Sinek Mantarı;;//																												 																									  																													  
magefungus;Магофунгус;Cogumelo Mágico;魔法蘑菇;Magierfungus;;;;;Magiczny Grzyb;Sihirli Mantar;//
spider;Паук;Aranha;蜘蛛;Spinne;;;;;Pająk;Örümcek;//
maggot;Личинка;Larva;蛆;Made;;;;;Robal;Kurtçuk;//
bone_foot;Костяная стопа;Osso do Pé;足骨;Knochenfuß;;;;;Kość Stopy;Ayak Kemiği;//
bone;Кость;Osso;骨头;Knochen;;;;;Kość;Kemik;//
skull;Череп;Crânio;头骨;Schädel;;;;;Czaszka;Kafatası;//
rib_cage;Грудная клетка;Caixa Toráxica;肋骨;Brustkorb;;;;;Klatka Piersiowa;Göğüs Kafesi;//
pelvic_bone;Тазовая кость;Osso Pélvico;骨盆;Hüftknochen;;;;;Miednica;Leğen Kemiği;//
rag;Тряпка;Rag;Tira de Pano;Lumpen;;;;;Szmata;Paçavra;//
coal;Кусок угля;Pedaço de Carvão;煤块;Kohlestück;;;;;Węgiel;Kömür Yığını;//
iron_ingot;Железный слиток;Lingote de Ferro;铁锭;Eisenbarren;;;;;Żelazna Sztabka;Demir Külçesi;//
gold_ingot;Золотой слиток;Lingote de Ouro;金锭;Goldbarren;;;;;Złota Sztabka;Altın Külçesi;//
rope;Моток верёвки;Corda;绳子;Seil;;;;;Lina;İp;//
horseshoe;Подкова;Ferradura;马蹄铁;Hufeisen;;;;;Podkowa;Nal;//
clay_jug;Кувшин;Jarro;壶;Krug;;;;;Dzban;Testi;//
clay_plate;Плошка;Prato;盘子;Teller;;;;;Talerz;Tabak;//
clay_pot;Горшок;Pote;罐子;Topf;;;;;Garnek;Çömlek;//
ladle;Черпак;Concha;勺子;Kelle;;;;;Chochła;Kepçe;//
straw;Охапка соломы;Palha;稻草;Stroh;;;;;Słoma;Saman;//
candleend;Свечной огарок;Toco de Vela;蜡烛头;Kerzenrest;;;;;Świeca;Mum Artığı;//
simple_earrings;Неказистые серёжки;Brincos Simples;普通耳环;Einfache Ohrringe;;;;;Proste Kolczyki;Basit Küpe;//
wooden_bucket;Ведро;Balde;桶;Eimer;;;;;Wiadro;Kova;//
wooden_comb;Гребень;Pente;梳子;Kamm;;;;;Grzebień;Tarak;//
wooden_bowl;Тарелка;tigela;碗;Schüssel;;;;;Miska;Kase;//
mug;Кружка;Caneca;杯子;Becher;;;;;Dzban;Kupa;//
nails;Гвозди;Unhas;钉子;Nägel;;;;;Gwoździe;Tırnak;//
pot;Походный котелок;Panela para Acampamento;露营锅;Reisetopf;;;;;Garnek Podróżny;Taşınabilir Çömlek;//
hide_boar;Шкура вепря;Pele de Javali;野猪皮;Wildschweinleder;;;;;Skóra Dzika;Domuz Derisi;//
hide_bear;Медвежья шкура;Pele de Urso;熊皮;Bärenpelz;;;;;Futro Niedźwiedzia;Ayı Postu;//
hide_fox;Лисья шкура;Pele de Raposa;狐狸毛皮;Fuchspelz;;;;;Futro Lisa;Tilki Postu;//
hide_wolf;Волчья шкура;Pele de Lobo;狼毛皮;Wolfspelz;;;;;Futro Wilka;Kurt Postu;//
hide_deer;Оленья шкура;Pele de Veado;鹿皮;Hirschleder;;;;;Skóra Jelenia;;//
hide_moose;Лосиная шкура;Pele de Alce;驼鹿皮;Elchsleder;;;;;Skóra Łosia;;//
hide_rabbit01;Кроличья шубка;Pele de Coelho;兔子毛皮;Hasenfell;;;;;Futro Kólika;;//
hide_rabbit02;Кроличья шубка;Pele de Coelho;兔子毛皮;Hasenfell;;;;;Futro Królika;;//
horns_deer;Оленьи рога;Galhada de Veado;鹿角;Hirschgeweih;;;;;Poroże Jelenia;;//
horns_moose;Лосиные рога;Galhada de Alce;驼鹿角;Elchsgeweih;;;;;Poroże Łosia;;//
;;;;;;;;;;;//
;consum_name_end;consum_name_end;consum_name_end;consum_name_end;consum_name_end;consum_name_end;consum_name_end;consum_name_end;consum_name_end;consum_name_end;//
;;;;;;;;;;;//
;consum_mid;consum_mid;consum_mid;consum_mid;consum_mid;consum_mid;consum_mid;consum_mid;consum_mid;consum_mid;//
bandage;Останавливает кровотечение на выбранной части тела.;Estanca uma parte do corpo selecionada fazendo parar de sangrar;可以止血;Stoppt den ausgewählten Körperteil vom Bluten.;;;;;Zatrzymuje krwawienie z wybranej części ciała.;;//
antivenom;Вызывает ~r~замешательство~/~.##Снимает ~lg~отравление~/~.;Causa ~r~confusão~/~.##Remove ~lg~envenenamento~/;导致~r~迷惑~/~。##解毒;Verursacht ~r~Verwirrung~/~.##Entfernt ~lg~ Vergiftung~/;;;;;Powoduje ~r~Dezorientację~/~.##Usuwa ~lg~otrucie~/;;//
antitoxin;;;;;;;;;;;//
splint;Стабилизирует травму на выбранной части тела.#Может применяться только на травмированные части тела.;Estabiliza uma lesão de uma parte do corpo selecionada.#Só pode ser aplicada em partes do corpo lesionadas.;可以稳定受伤的身体部位。#只能用于受伤的地方。;Stabilisiert die Verletzung eines ausgewählten Körperteils.#Kann nur mit verletzten Körperteilen verwendet werden.;;;;;Stabilizuje złamania i ciężkie rany wybranych części ciała.#Może być założony wyłącznie na uszkodzone.;;//
leech;Применяется на выбранную часть тела.#Каждый ход в течение 30 ходов:##~lg~+1%~/~ состояния части тела#~lg~+25%~/~ к эффективности лечения#~lg~-0.5%~/~ к интоксикации#~r~+0.2%~/~ к боли;É usado em uma parte do corpo selecionada.#A cada turno por 30 turnos:##~lg~+1%~/~ de Condição da parte do corpo# ~lg~+25%~/~ de Eficiência de cura#~lg~-0.5%~/~ de Intoxicação#~r~+0,2%~/~ de Dor;可以用于一个身体部位。#每回合（效果持续30回合）：##身体部位状态~lg~+1%~/~#治疗效果+~lg~25%~/~#迷醉~lg~-0.5%~/~#疼痛~r~+0.2%~/~;Wird an einem verletzten Körperteil verwendet.#Jede Runde für 30 Runden:##~lg~+1%~/~ Körperteilzustand#+~lg~25%~/~ Heilungseffizienz#~lg~-0,5%~/~ Vergiftung#~r~+0,2%~/~ Schmerz;;;;;Można wykorzystać na wybranej części ciała.#Każdej tury przez 30 tur:##~lg~+1%~/~ stan Części Ciała#+~lg~25%~/~ Skuteczności Leczenia#~lg~-0.5%~/~ Zatrucia#~r~+0.2%~/~ Bólu;;//
inhaler;;;;;;;;;;;//
sponge;Вгоняет в ~r~сон~/~.;Faz você dormir ~r~dormir~/~.;可以令你~r~入睡~/~。;Versetzt dich in den ~r~Schlaf~/~.;;;;;Najzwyczajniej w świecie ~r~usypia~/~.;;//
incense;;;;;;;;;;;//
herbal;;;;;;;;;;;//
aqua_vitae;Избавляет от всех негативных эффектов.;Remove todos os efeitos negativos;可以消除所有负面效果;Entfernt alle negativen Effekte.;;;;;Usuwa wszystkie negatywne efekty.;;//
stardust;Звездной пылью не стоит злоупотреблять при низком рассудке.;Não abuse da poeira estelar enquanto estiver com sanidade baixa.;神智较低的时候，不要随意服用星尘。;Missbrauche den Sternenstaub nicht, wenn dein geistiger Zustand schlecht ist.;;;;;Lepiej nie przesadzać z tym pyłkiem mając kiepski stan psychiki.;;//
salve;Если часть тела ~r~травмирована~/~, эффективность лечения мазью снижается на ~r~50%~/~.;Se uma parte do corpo selecionada estiver ~r~ferida~/~, a eficiência de cura da pomada é reduzida em ~r~50%~/~.;如果所选身体部位~r~受伤~/~，药膏的治疗效果将减弱~r~50%~/~。;Wenn ein ausgewählter Körperteil ~r~verletzt~/~ ist, wird die Heileffizienz der Heilsalbe um ~r~50%~/~ reduziert.;;;;;Wybrana część ciała otrzymuje ~r~zranienie~/~, skuteczność maści leczących jest zmniejszona o ~r~50%~/~.;;//
essence;;;;;;;;;;;//
pipe;;;;;;;;;;;//
;;;;;;;;;;;//
torch;Факел;Torch;火把;Fackel;;;;;Pochodnia;;//
surgeon;Значительно улучшает состояние выбранной части тела.##Чем хуже состояние оперируемой части тела, тем болезненней операция.;Melhora muito a condição da parte do corpo selecionada.##A dor sofrida durante a operação depende da condição atual da parte do corpo.;大幅改善身体某一部位的状态。##手术期间的疼痛程度因身体部位当前的状态而异。;Verbessert den Zustand eines ausgewählten Körperteils enorm.##Schmerzen bei der Operation sind abhängig vom Zustand des Körperteils.;;;;;Doskonale poprawia stan wybranej części ciała.##Ból jaki powstanie w wyniku operacji zależy od aktualnego stanu wybranej części ciała.;;//
lancet;Вызывает кровотечение, но выводит токсины.;Causa sangramento, mas reduz a intoxicação.;会导致出血，但是可以缓解迷醉。;Verursacht Bluten, aber reduziert Vergiftung.;;;;;Powoduje Krwawienie, ale redukuje Zatrucie.;;//
tinker;Гарантированно взламывает замок или обезвреживает механическую ловушку.;Garante arrombar uma fechadura ou desarmar uma armadilha mecânica.;肯定可以撬开锁或者拆除机械陷阱。;Garantiertes Knacken eines Schlosses oder Entschärfen einer mechanischen Falle.;;;;;Gwarantuje otwarcie zamka lub rozbrojenie mechanicznej pułapki.;;//
repkit;Восстанавливает ~lg~30~/~ ед. прочности выбранному предмету.;Restaura ~lg~30~/~ pontos de durabilidade em um item selecionado.;可以令一件物品恢复~lg~30~/~点耐久。;Stellt ~lg~30~/~ Haltbarkeitspunkte eines ausgewählten Gegenstands wieder her.;;;;;Odnawia ~lg~30~/~ punktów wytrzymałości przedmiotowi.;;//
