#-символ переноса строки, использовать вместо Entera;;;;;;;;;
Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Português;Polski
;Каменный / Каменная / Каменное / Каменные;Pedra;岩石;Steinerner / Steinerne / Steinernes / Steinerne;;;;;Kamienny / Kamienna / Kamienne / Kamienne
;Мертвенный / Мертвенная / Мертвенное / Мертвенные;Mortal;夺命;Tödlicher / Tödliche / Tödliches / Tödliche;;;;;Śmiertelny / Śmiertelna / Śmiertelne / Śmiertelne
;Молчаливый / Молчаливая / Молчаливое / Молчаливые;Silenciosa;寂静;Stummer / Stumme / Stummes / Stumme;;;;;Bezgłośny / Bezgłośna / Bezgłośne / Bezgłośne
;Мрачный / Мрачная / Мрачное / Мрачные;Sombria;阴晦;Düsterer / Düstere / Düsteres / Düstere;;;;;Ponury / Ponura / Ponure / Ponure
;Мшистый / Мшистая / Мшистое / Мшистые;Musgosa;青苔;Moosiger / Moosige / Moosiges / Moosige;;;;;Omszony / Omszona / Omszone / Omszone
;Неприметный / Неприметная / Неприметное / Неприметные;Escondida;隐秘;Verborgener / Verborgene / Verborgenes / Verborgene;;;;;Ukryty / Ukryta / Ukryte / Ukryte
;Одинокий / Одинокая / Одинокое / Одинокие;Solitária;孤寂;Einsamer / Einsame / Einsames / Einsame;;;;;Samotny / Samotna / Samotne / Samotne
;Омрачённый / Омрачённая / Омрачённое / Омрачённые;Escurecida;阴暗;Verdunkelter / Verdunkelte / Verdunkeltes / Verdunkelte;;;;;Ściemnony / Ściemniona / Ściemnione / Ściemnione
;Покинутый / Покинутая / Покинутое / Покинутые;Desolada;孤荒;Verzweifelter / Verzweifelte / Verzweifeltes / Verzweifelte;;;;;Zostawiony / Zostawiona / Zostawione / Zostawione
;Промозглый / Промозглая / Промозглое / Промозглые;Húmida;湿潮;Klammer / Klamme / Klammes / Klamme;;;;;Wilgotny / Wilgotna / Wilgotne / Wilgotne
;Пыльный / Пыльная / Пыльное / Пыльные;Empoeirada;尘土;Staubiger / Staubige / Staubiges / Staubige;;;;;Zakurzony / Zakurzona / Zakurzone / Zakurzone
;Разрушенный / Разрушенная / Разрушенное / Разрушенные;Arruinada;破败;Zerstörter / Zerstörte / Zerstörtes / Zerstörte;;;;;Zrujnowany / Zrujnowana / Zrujnowane / Zrujnowane
;Ржавый / Ржавая / Ржавое / Ржавые;Ferrugenta;锈蚀;Rostig / Rostige / Rostiges / Rostige;;;;;Zardzewiały / Zardzewiała / Zardzewiałe / Zardzewiały
;Свистящий / Свистящая / Свистящее / Свистящие;assobiante;呼哨;Pfeifender / Pfeifende / Pfeifendes / Pfeifende;;;;;Gwizdający / Gwizdająca / Gwizdające / Gwizdające
;Осквернённый / Осквернённая / Осквернённое / Осквернённые;Corrompida;堕落;Verdorbener / Verdorbene / Verdorbenes / Verdorbene;;;;;Przeklęty / Przeklęta / Przeklęte / Przeklęte
;Старый / Старая / Старое / Старые;Antiga;破旧;Alter / Alte / Altes / Alte;;;;;Stary / Stara / Stare / Stare
;Сырой / Сырая / Сырое / Сырые;Húmida;温润;Feuchter / Feuchte / Feuchtes / Feuchte;;;;;Zgniły / Zgniła / Zgniłe / Zgniłe
;Тихий / Тихая / Тихое / Тихие;Silenciosa;静谧;Stiller / Stille / Stilles / Stille;;;;;Spokojny / Spokojna / Spokojne / Spokojne
;Тусклый / Тусклая / Тусклое / Тусклые;Nebulosa;昏暗;Trüber / Trübe / Trübes / Trübe;;;;;Ciemny / Ciemna / Ciemne / Ciemne
;Угрюмый / Угрюмая / Угрюмое / Угрюмые;Sombria;阴郁;Mürrischer / Mürrische / Mürrisches / Mürrische;;;;;Posępny / Posępna / Posępne / Posępne
;Хладный / Хладная / Хладное / Хладные;Invernal;凛冬;Winterlicher / Winterliche / Winterlichers / Winterliche;;;;;Zimowy / Zimowa / Zimowe / Zimowe
;Хмурый / Хмурая / Хмурое / Хмурые;Alagada;幽暗;Stirnrunzelnder / Stirnrunzelnde / Stirnrunzelndes / Stirnrunzelnde;;;;;Zmarszczony / Zmarszczona / Zmarszczone / Zmarszczone
;Холодный / Холодная / Холодное / Холодные;Congelante;寒冷;Kalter / Kalte / Kaltes / Kalte;;;;;Zimny / Zimna / Zimne / Zimne
;Чахлый / Чахлая / Чахлое / Чахлые;Emferma;病害;Kränklicher / Kränkliche / Kränkliches / Kränkliche;;;;;Chorowity / Chorowita / Chorowite / Chorowite
;Чёрный / Чёрная / Чёрное / Чёрные;Negra;黑色;Schwarzer / Schwarze / Schwarzes / Schwarze;;;;;Czarny / Czarna / Czarne / Czarne
;crypt_prefix_end;crypt_prefix_end;crypt_prefix_end;crypt_prefix_end;crypt_prefix_end;crypt_prefix_end;crypt_prefix_end;crypt_prefix_end;crypt_prefix_end
;;;;;;;;;
;bastion_prefix;bastion_prefix;bastion_prefix;bastion_prefix;bastion_prefix;bastion_prefix;bastion_prefix;bastion_prefix;bastion_prefix
;Форт;Forte;要塞;Fort;;;;;Fort
;Крепость;Fortaleza;城塞;Festung;;;;;Forteca
;Замок;Castelo;城堡;Burg;;;;;Zamek
;Башня;Torre;塔楼;Turm;;;;;Wieża
;Бастион;Bastião;棱堡;Bastion;;;;;Bastion
;Застава;Posto Avançado;哨所;Außenposten;;;;;Posterunek
;bastion_prefix_end;bastion_prefix_end;bastion_prefix_end;bastion_prefix_end;bastion_prefix_end;bastion_prefix_end;bastion_prefix_end;bastion_prefix_end;bastion_prefix_end
;;;;;;;;;
;//;//;//;//;//;//;//;//;//
;bastion_name;bastion_name;bastion_name;bastion_name;bastion_name;bastion_name;bastion_name;bastion_name;bastion_name
;Иннвер{1};Innver{1};印弗{1};Innver{1};;;;;Innver{1}
;Раветворт{1};Ravetwort{1};雷弗托特{1};Ravetwort{1};;;;;Ravetwort{1}
;Данбейн{1};Danbayne{1};丹贝恩{1};Danbayne{1};;;;;Danbayne{1}
;Ривстейн{1};Reevstayne{1};里弗斯丹{1};Reevstayne{1};;;;;Reevstayne{1}
;Нирвуст{1};Neervust{1};涅尔福斯特{1};Neervust{1};;;;;Neervust{1}
;Йормас{1};Jormas{1};约马斯{1};Jormas{1};;;;;Jormas{1}
;Рунфост{1};Runfost {1};隆佛斯特{1};Rumfost{1};;;;;Runfost {1}
;Иствер{1};Eestver{1};依斯特弗{1};Eestver{1};;;;;Eestver{1}
;bastion_name_end;bastion_name_end;bastion_name_end;bastion_name_end;bastion_name_end;bastion_name_end;bastion_name_end;bastion_name_end;bastion_name_end
;;;;;;;;;
;//;;;;;;;;
;crypt_name;crypt_name;crypt_name;crypt_name;crypt_name;crypt_name;crypt_name;crypt_name;crypt_name
;Склеп{1};Cripta{1};墓穴{1};Krypta{2};;;;;Krypta{2}
;Усыпальница{2};Túmulo{2};坟墓{2};Schrein{1};;;;;Kaplica{2}
;Могильник{1};Cemitério{1};墓地{1};Grabstätte{2};;;;;Pole Grobów{3}
;Погост{1};Sepultura{1};墓园{1};Grab{3};;;;;Grób{1}
;Захоронение{3};Monte{3};坟丘{3};Hügel{1};;;;;Kopiec{1}
;Крипта {2};Baú{2};Câmara{2};Gewölbe{3};;;;;Skarbiec{1}
;crypt_name_end;crypt_name_end;crypt_name_end;crypt_name_end;crypt_name_end;crypt_name_end;crypt_name_end;crypt_name_end;crypt_name_end
;;;;;;;;;
;;;;;;;;;
;//;//;//;//;//;//;//;//;//
;crypt_preset;crypt_preset;crypt_preset;crypt_preset;crypt_preset;crypt_preset;crypt_preset;crypt_preset;crypt_preset
;Последний Вздох;Último Suspiro;终末一息;Letzter Atem;;;;;Ostatni Oddech
;Вечный Сон;Sono Eterno;永久安眠;Ewiger Schlaf;;;;;Wieczny Sen
;Чёрный Приют;Retiro Negro;黑色静修;Schwarze Zuflucht;;;;;Czarny Odwrót
;Враний Холм;Colina do Corvo;鸦丘;Rabenhügel;;;;;Wzgórze Kruków
;Смех Мертвеца;Deadman's Grin;亡者含笑;Totengrinsen;;;;;Uśmiech Wisielca
;Старая Могила;Old Grave;旧坟;Altes Grab;;;;;Stary Grobowiec
;Костяной Курган;Bone Mound;骸骨丘茔;Knochenhügel;;;;;Kopiec Kości
;crypt_preset_end;crypt_preset_end;crypt_preset_end;crypt_preset_end;crypt_preset_end;crypt_preset_end;crypt_preset_end;crypt_preset_end;crypt_preset_end
;;;;;;;;;
;bastion_preset;bastion_preset;bastion_preset;bastion_preset;bastion_preset;bastion_preset;bastion_preset;bastion_preset;bastion_preset
;Форт Волчий Клык;Forte da Presa do Lobo;狼牙要塞;Fort Wolfszahn;;;;;Fort Wilczego Kła
;Форт Сломанный Клинок;Forte da Lâmina Quebrada ;断刃要塞;Fort Abgebrochene Klinge;;;;;Fort Złamanego Ostrza
;Форт Старая Башня;Forte da Velha Torre;旧塔要塞;Fort Alter Turm;;;;;Fort Starej Wieży
;Форт Серый Сокол;Forte do Falcão Cinzento;灰隼要塞;Fort Gauer Falke;;;;;Fort Szarego Sokoła
;Этбертов форт;Forte de Etbert ;艾斯伯特要塞;Etbert's Fort;;;;;Fort Etberta
;bastion_preset_end;bastion_preset_end;bastion_preset_end;bastion_preset_end;bastion_preset_end;bastion_preset_end;bastion_preset_end;bastion_preset_end;bastion_preset_end
;;;;;;;;;
;location_name;location_name;location_name;location_name;location_name;location_name;location_name;location_name;location_name
;Архивы;Arquivos;档案室;Archive;;;;;Archiwa
;Старые катакомбы;Catacumbas antigas;墓道;Alte Katakomben;;;;;Stare Katakumby
;Монастырские подвалы;Adega da Abadia;教堂地窖;Abteikeller;;;;;Piwnice Opactwa
;Осквернённая часовня;Capela Corrompida;堕落教堂;Verderbte Kapelle;;;;;Splugawiona Kaplica
;location_name_end;location_name_end;location_name_end;location_name_end;location_name_end;location_name_end;location_name_end;location_name_end;location_name_end
