Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski
Heavy Flail;Тяжёлый цеп;Heavy Flail;铁头连枷;Schwerer Flegel;;;;Cieżki Cep
War Flail;Боевой цеп;War Flail;军用连枷;Kriegsflegel;;;;Wojenny Cep
Spiked Flail;Кистень;Spiked Flail;钉头连枷;Stachelflegel;;;;Kolczasty Cep
Flanged Mace;Пернач;Flanged Mace;凸缘钉头锤;Geflanschter Streitkolben;;;;Ostra Buława
Footman Flail;Рыцарский кистень;Footman Flail;步兵连枷;Fußsoldatenflegel;;;;Cep Piechura
Morning Star;Моргенштерн;Morning Star;晨星锤;Morgenstern;;;;Morgensztern
War Pick;Боевой молот;Warhammer;战锤;Kriegshammer;;;;Młot Wojenny
Decorated Flanged Mace;Украшенный пернач;Ornate Flanged Mace;饰纹凸缘钉头锤;Verzierter geflanschter Streitkolben;;;;Zdobiona Ostra Buława
;;;;;;;;
Peasant Hatchet;Крестьянский топорик;Peasant Hatchet;劈柴手斧;Bauernbeil;;;;Toporek Wieśniaka
Hunter Hatchet;Топорик охотника;Hunter Hatchet;猎人手斧;Jagdbeil;;;;Toporek Łowcy
Felling Axe;Топор лесоруба;Felling Axe;伐木斧;Fallaxt;;;;Topór Drwala
Bearded Axe;Бородовидный топор;Bearded Axe;钩斧;Bartaxt;;;;Ciosany Topór
Norse Axe;Северный топор;Norse Axe;诺斯斧;Nordische Axt;;;;Norski Topór
Barbaric Axe;Варварский топор;Barbaric Axe;野蛮人斧;Barbarenaxt;;;;Barbarzyński Topór
Dwarven Axe;Дварфийский топор;Dwarven Axe;矮人斧;Zwergenaxt;;;;Kradnoludzki Topór
Battle Axe;Боевой топор;Battle Axe;战斧;Kampfaxt;;;;Topór Bojowy
Orcish Axe;Орочий топор;Orcish Axe;奥克斧;Orkische Axt;;;;Topór Orków
Footman Axe;Пехотный топор;Footman Axe;步兵斧;Fußsoldatenaxt;;;;Topór Piechura
Eastern Sagaris;Сагарис кочевника;Nomad Sagaris;游牧长斧;Nomaden-Sagaris;;;;Topór Nomada
Boarding Axe;Абордажный топор;Boarding Axe;开船斧;Enteraxt;;;;Topór Abordażowy
Skadian Chekan;Скадийский чекан;Skadian Chekan;斯卡迪亚锤头斧;Skadianische Chekan;;;;Skadiański Czakan
Naval Hatchet;Флотский топорик;Naval Hatchet;海员斧;Marinebeil;;;;Morski Toporek
Knightly Axe;Рыцарский топор;Knightly Axe;骑士斧;Ritteraxt;;;;Topór Rycerski
Elven Tabar;Табар;Tabar;塔巴长斧;Tabar;;;;Tabar
Rider Axe;Топор наездника;Rider Axe;骑斧;Reiteraxt;;;;Topór Najeźdźcy
Broadaxe;Бродэкс;Broadaxe;阔斧;Breitaxt;;;;Długi Topór
Heavy Broadaxe;Тяжёлый бродэкс;Heavy Broadaxe;重型阔斧;Schwere Breitaxt;;;;Ciężki Długi Topór
Brynn Hatchet;Бриннский топорик;Brynn Hatchet;布林手斧;Brynn Beil;;;;Topór z Brynn
Reinforced Axe;Усиленный топор;Reinforced Axe;包铁手斧;Verstärkte Axt;;;;Wzmocniony Topór
Mercenary Axe;Топор наёмника;Mercenary Axe;佣兵斧;Söldneraxt;;;;Topór Najemnika
;;;;;;;;
Peasant Bow;Крестьянский лук;Peasant Bow;农家土弓;Bauernbogen;;;;Łuk Wieśniaka
Shortbow;Короткий лук;Short Bow;短弓;Kurzbogen;;;;Krótki Łuk
Hunting Bow;Охотничий лук;Hunting Bow;猎弓;Jagdbogen;;;;Łuk Łowcy
Levy Bow;Лук ополченца;Levy Bow;新兵弓;Levy-Bogen;;;;Zarekwirowany Łuk
Soldier Bow;Боевой лук;War Bow;战弓;Kriegsbogen;;;;Łuk Wojenny
Yew Bow;Тисовый лук;Yew Bow;杉木弓;Eibenbogen;;;;Cisowy Łuk
Norse Bow;Северный лук;Norse Bow;诺斯弓;Nordischer Bogen;;;;Norski Łuk
Long Bow;Длинный лук;Long Bow;长弓;Langbogen;;;;Długi Łuk
Eeders Bow;Идерский лук;Eeders Bow;伊德斯弓;Eeders-Bogen;;;;Łuk Eedera
Dirwin Bow;Лук Дирвина;Dirwin's Bow;德温的弓;Dirwin's Bogen;;;;Łuk Dirwina
;;;;;;;;
War Scythe;Боевой серп;War Scythe;战镰;Kriegssense;;;;Wojenna Kosa
Warbrand;Осадный нож;Warbrand;双手长剑;Warbrand;;;;Znak Wojenny
Crude Longsword;Кустарный двуручник;Crude Longsword;粗锻长剑;Plumpes Langschwert;;;;Kiepski Długi Miecz
Bastard Sword;Полуторник;Bastard Sword;杂种剑;Bastardschwert;;;;Miecz Półtoraręczny
Footman Greatsword;Пехотный двуручник;Footman Greatsword;步兵大剑;Fußsoldatengroßschwert;;;;Wielki Miecz Piechura
Sergeant Bastard;Сержантский полуторник;Sergeant's Bastard Sword;军官杂种剑;Feldwebel-Bastardschwert;;;;Miecz Półtoraręczny Sierżanta
Longsword;Длинный меч;Longsword;长剑;Langschwert;;;;Długi Miecz
Brynn Greatsword;Бриннский двуручник;Brynn Greatsword;布林大剑;Brynn-Großschwert;;;;Wielki Miecz z Brynn
Knightly Greatsword;Рыцарский двуручник;Knightly Greatsword;骑士大剑;Rittergroßschwert;;;;Rycerski Wielki Miecz
Claymore;Клеймор;Claymore;阔刃大剑;Claymore;;;;Claymore
;;;;;;;;
Arrows;Стрелы;Arrows;箭矢;Pfeile;;;;Strzały
;;;;;;;;
;weapon_name_end;weapon_name_end;weapon_name_end;weapon_name_end;;;;weapon_name_end
;;;;;;;;
;;;;;;;;
;weapon_desc;weapon_desc;weapon_desc;weapon_desc;;;;weapon_desc
Wooden Sword;Сойдёт, чтобы задать хорошую взбучку тренировочному чучелу.;Good enough to roughen up a training dummy.;绝对可以刺坏训练用的假人。;Gut genug, um eine Trainingspuppe aufzumischen.;;;;Dostatecznie dobry, by lekko porysować manekin treningowy.
Rusty Sword;Этот меч свое отвоевал. Того и гляди рассыпется в труху.;This sword has seen better days. It looks like it's about to crumble into dust.;这把剑过去可不是这样，不过现在好像马上就要碎成锈渣了一样。;Dieses Schwert hat schon bessere Tage gesehen. Es sieht aus, als würde es gleich zu Staub zerfallen.;;;;Ten miecz widział lepsze dni. Wygląda jakby miał zamienić się w pył.
Homemade Blade;По всей видимости, дело рук простолюдина, мечтающего о рыцарских подвигах.;Apparently this was forged by a commoner with a dream of knightly feats.;这把剑看来是由普通人所铸，不过这人似乎有一个骑士梦。;Offenbar wurde diese von einem Bürgerlichen geschmiedet, der von ritterlichen Heldentaten träumte.;;;;Z pewnością była to robota początkującego marzącego o rycerskich szlifach.
Goblin Sword;Изогнутое лезвие покрыто слоем застарелой грязи, ржавчины и запёкшейся крови.;This curved sword is covered with layers of old mud, rust and caked blood.;这把弯剑沾着厚厚的泥土、锈迹和血迹。;Dieses gebogene Schwert ist mit Schichten von altem Schlamm, Rost und Blutverkrustungen bedeckt.;;;;Ten zakrzywiony miecz pokryty jest warstwami starego szlamu, rdzy i zastygłej krwi.
Battle Cleaver;Обычный тесак, наспех переделанный в некое подобие меча неизвестным умельцем.;A common cleaver, refashioned into a sword-like shape by an unknown craftsman.;普普通通的刀，不知道被哪个工匠改成了剑的式样。;Ein gewöhnliches Hackbeil, das von einem unbekannten Handwerker zu einer schwertförmigen Form umgearbeitet wurde.;;;;Typowy tasak przerobiony na miecz przez nieznanego rzemyślnika.
Inelaborate Falchion;Простолюдинам запрещено владеть обычными мечами. Ответом на этот закон стало появление фальшионов.;Common folk are forbidden from owning swords. The response to this law are falchions.;法律禁止平民佩剑，于是民间便出现了这种似剑非剑的东西。;Dem einfachen Volk ist es verboten, Schwerter zu besitzen. Die Antwort auf dieses Gesetz sind Falchions.;;;;Wieśniaki mieli zakaz posiadania mieczy. Odpowiedzią na ten zakaz są bułaty.
Traveller's Blade;Самый верный друг одинокого путника.;The most dependable ally of a lonely traveler.;独自出行的时候，没有什么东西比这个更让人安心。;Der verlässlichste Verbündete eines einsamen Reisenden.;;;;Najbardziej niezbędny przedmiot samotnego podróżnika
Shortsword;Ковка подобных клинков - что-то вроде выпускного экзамена в Гильдии кузнецов.;Forging this type of sword is somewhat of a graduation exam in the Blacksmith Guild.;在铁匠公会，如果能铸成这样的剑，也就基本可以出师了。;Das Schmieden dieser Art von Schwertern ist so etwas wie eine Abschlussprüfung in der Schmiedezunft.;;;;Wykucie podobnego przedmiotu traktowane jest jako egzamin końcowy w Gildii Kowalskiej.
Brigand Blade;Такие мечи десятками куются в подпольных кузнях.;These swords are forged by the dozens in underground smithies.;这种剑在地下铁匠铺每次一造就是几十把。;Diese Schwerter werden zu Dutzenden in geheimen Schmieden geschmiedet.;;;;Tego typu miecze wykuwają niezliczeni podziemni kowale.
Footman Sword;Лучше всего подходит для боя в тесном строю.;Most suitable for a fight in tight formation.;非常适合队形紧密的军队作战使用。;Am besten geeignet für einen Kampf in enger Formation.;;;;Idealny przedmiot do walki w zwartej formacji.
Orcish Blade;До неузнаваемости перекованный трофейный меч. Орки компенсируют их недостаток остроты силой своих ударов.;A trophy sword reforged beyond recognition. Orcs make up for dullness of these blades with brute force behind each strike.;这件战利品经过重铸，已经完全看不出原来的样式。这种剑尽管并非特别锋利，但是在力大无比的奥克手中，每一剑依然可以见血见肉。;Ein bis zur Unkenntlichkeit umgeschmiedetes Trophäenschwert. Orks gleichen die Stumpfheit dieser Klingen mit roher Gewalt hinter jedem Schlag aus.;;;;Miecz w formie trofeum przekuty w nieznaną kreację. Orki sprawiają, że tępią się coraz mocniej uderzając za każdym razem z niesamowitą siłą.
Vanguard Sword;Этот меч побывал на множестве передовых и пережил немало жарких битв.;This sword has witnessed many a front line and survived a number of close battles.;这把剑见证了许多悲壮的前线故事，经历了不少短兵相接的战役。;Dieses Schwert war Zeuge vieler Frontlinien und hat eine Reihe von Nahkämpfen überlebt.;;;;Ten miecz widział wiele walk na pierwszej linii i przetrwał wiele bliskich starć.
Guild Blade;Качественное и надёжное оружие. Их ковка - рутинная работа для гильдейских кузнецов.;A quality, dependable weapon. Forging these is a routine job for the Guild's smiths.;可靠，精良，公会的铁匠经常需要锻造这种剑。;Eine qualitativ hochwertige, zuverlässige Waffe. Diese zu schmieden ist eine Routinearbeit für die Schmiede der Gilde.;;;;Dobrej jakości, świetnie wyważona broń. Wykuwanie takich jest rutynową pracą wśród hut Gildii.
Watchman Sword;Такими мечами вооружают стражников рангом повыше.;These swords are issued to guardsmen of high rank.;高级护卫专用配剑。;Diese Schwerter werden an Gardisten von hohem Rang ausgegeben.;;;;Tego typu miecze nadawane są wyłącznie strażnikom wysokiej rangi.
Norse Blade;Драки, грабежи, убийства - с этим мечом нет ничего невозможного.;Skirmishing, plundering, murdering - nothing is impossible with this sword.;有了这把剑，打家劫舍，杀人越货，没有干不了的事情。;Plänkeln, Plündern, Morden - nichts ist unmöglich mit diesem Schwert.;;;;Pojedynki, plądrowanie, mordowanie - nic nie jest niemożliwe z tym mieczem.
Orcish Cleaver;Такие тесаки наносят страшные зияющие раны, но слишком тяжелы и неудобны для человеческой руки.;These cleavers often leave grievous wounds, but they are too heavy and unwieldy for human hands.;这种大刀常常可以造成重伤，不过因为刀身太重，并不适合人类使用。;Diese Hackmesser hinterlassen oft schmerzhafte Wunden, aber sie sind zu schwer und unhandlich für menschliche Hände.;;;;Te tasaki najczęściej zostawiają śmiertelne rany, jednak są za ciężkie i nieporęczne dla ludzkich rąk.
Jagged Falchion;Своеобразное подражание восточным клинкам, появившееся благодаря моде на всё эльфийское.;A peculiar imitation of eastern blades, this sword is a product of the recent fascination with all things elvish.;这类斩剑的式样效仿东方刀剑，外观奇特。近几年来，精灵族的所有东西都很流行，所以才出现了这么一种武器。;Dieses Schwert ist eine eigentümliche Imitation östlicher Klingen und ein Produkt der jüngsten Faszination für alles Elfische.;;;;Średnia imitacja wschodnich ostrzy, ten miecz jest produktem modnej ostatno fascynacji wszystkim, co elfickie.
Jarl Blade;Богато украшенный меч некоего знатного дварфа, неведомо как попавший в Альдор.;A richly decorated sword of some noble dwarf. Who knows how it found its way to Aldor...;剑身纹饰精致，原本应当属于某个矮人贵族，不知道怎么出现在了奥尔多……;Ein reich verziertes Schwert eines edlen Zwerges. Wer weiß, wie es den Weg nach Aldor fand...;;;;Doskonale zdobiony miecz jakiegoś wysoko urodzonego krasnoluda. Kto wie jak znalazł się w Aldor...
Fancy Sword;Несколько вычурный, но иногда статус превыше всего. На навершии - грубое тиснение чьего-то фамильного герба.;A bit too fancy, but sometimes appearances are everything. It has a rough seal of a family house imprinted on its pommel.;剑如其名，十分华丽，不过有些时候，外观说明一切。剑柄顶部印有某个家族的家徽。;Etwas zu extravagant, aber manchmal ist der Schein alles. Auf seinem Knauf ist das grobe Siegel eines Familienhauses eingeprägt.;;;;Trochę za bardzo luksusowy, jednak czasami wygląd to wszystko, co można zaoferować. Ma wielką pieczęć bogatego domu na głowni.
Nomad Saber;Удивительным образом почти не требует ухода. Говорят, племена Жёлтых степей обрабатывают их каким-то особым раствором.;This blade miraculously requires very little maintenance. There is a rumour that the tribes of the Yellow steppe treat their swords with some special solution.;这把马刀非常神奇，几乎不需要保养。黄色草原的游牧部落据说会用特殊的溶液浸泡武器。;Wie durch ein Wunder benötigt diese Klinge nur sehr wenig Pflege. Es gibt ein Gerücht, dass die Stämme der Gelben Steppe ihre Schwerter mit einer speziellen Lösung behandeln.;;;;Te ostrze wymaga naprawdę zaledwie odrobinę czyszczenia. Krąży plotka, że plemiona z Żołtych stepów stosują ukrytą metodę pielęgnacji swojej broni.
Orcish Scimitar;Любимое оружие воинов-орков. Таким ятаганом и тренируются, и сражаются, и казнят пленников.;A favourite weapon of orc warriors. They use these scimitars for training, on the battlefield and when executing their prisoners.;这种弯刀是奥克勇士最爱用的武器，他们用它训练，带着它上战场，用它处决犯人。;Eine Lieblingswaffe der Orkkrieger. Sie benutzen diese Krummsäbel für das Training, auf dem Schlachtfeld und bei der Hinrichtung ihrer Gefangenen.;;;;Ulubiona broń wojowników Orków. Używają jej do treningu, na polach bitew oraz wtedy, kiedy dokonują egzekucji więźniów.
Mastercrafted Falchion;Лёгок, прочен, отлично сидит в руке и вполне способен поставить на место зарвавшегося рыцаря.;Light, durable, sits well in hand and can most certainly put an arrogant knight in his place.;轻便、耐用、趁手，肯定可以把傲慢的骑士打得心服口服。;Leicht, haltbar, liegt gut in der Hand und kann sicherlich einen arroganten Ritter in seine Schranken weisen.;;;;Lekki, wytrzymały, doskonale leży w dłoni oraz niemal z pewnością może powalić aroganckiego rycerza na kolana.
Elven Saber;Некоторые местные аристократы предпочитают такие сабли альдорским мечам - несмотря на кривые взгляды своих подданных.;Some of the local nobility prefer these sabers to Aldorian swords despite any weird looks they get from their subjects.;本地一些贵族不喜欢奥尔多的刀剑，反倒偏爱这种马刀，尽管常常因此而遭到子民侧目，他们依然我行我素。;Einige des einheimischen Adels ziehen diese Säbel den aldorianischen Schwertern vor, trotz aller seltsamen Blicke, die sie von ihren Untergebenen erhalten.;;;;Część lokalnej szlachty wybiera te szable niż aldoriańskie miecze, ze względu na dziwaczny wygląd.
Skonfert Blade;Сконферт славится своими плавильнями и умелыми кузнецами. Тамошними мечами не гнушаются даже аристократы.;Skonfert is famous for its smelters and skilful smiths. These swords are worthy of a nobleman.;斯孔费特有许多冶炼人才和手艺精湛的铁匠，这种剑应该由贵族佩戴。;Skonfert ist berühmt für seine Hütten und geschickten Schmiede. Diese Schwerter sind eines Edelmannes würdig.;;;;Skonfert słynie z swoich kuźni i doświadczonych kowali. Te miecze warte są każdego wysoko urodzonego.
Jibean Scimitar;Половина легенд о далёком Джибее так или иначе упоминает знаменитые джибейские ятагана. В Альдоре они стоят целое состояние.;Half the legends about distant Jibey one way or another mention famous jibean scimitars. In Aldor they cost a fortune.;关于遥远的吉贝，奥尔多流传着各种各样的传说，其中大概有一半的传说都提到了远近闻名的吉贝弯刀，这种武器在奥尔多价格不菲。;Die Hälfte der Legenden über das ferne Jibey erwähnt auf die eine oder andere Weise die berühmten Krummsäbel der Jibey. In Aldor kosten sie ein Vermögen.;;;;Połowa legend o odległym Jibay w ten lub inny sposób wspominają sławne Jibeańskie szable. W Aldor warte są fortunę.
Knightly Blade;По одному только виду этого благородного клинка становится ясно, что далеко не каждый его достоин.;One glance at this noble blade is enough to realize that only a select few are worthy to wield it.;这把剑你只要看一眼，就能知道只有极少数人有资格佩戴。;Ein Blick auf diese edle Klinge genügt, um zu erkennen, dass nur wenige Auserwählte würdig sind, sie zu führen.;;;;Jedno spojrzenie na te szlachetne ostrze wystarczy, by zauważyć, że tylko wybrani są godni nim władać.
Katzbalger;Новомодный меч, снискавший особую популярность среди наёмников Магистрата.;A fashionable sword, it's especially popular among the mercenaries of the Grand Magistrate.;这把剑造型入时，颇受城市联盟的雇佣兵青睐。;Ein modisches Schwert, das vor allem bei den Söldnern des Großen Magistrats sehr beliebt ist.;;;;Modny miecz, szczególnie popularny wśród najemników z Wielkiego Magistratu.
Orcish Battlesickle;Одним ударом такого серпа орочьи фанатики могут рассечь взрослого человека надвое.;Orc zealots can cleave a grown man in two with these battlesickles.;奥克的狂热分子如果手上有这么一把战镰，一刀就能把一个成年人砍成两段。;Ork-Eiferer können einen erwachsenen Mann mit diesen Kampfsicheln in zwei Hälften spalten.;;;;Gorliwcy Orków mogą rozpłatać rosłego człowieka na dwie części tymi bojowymi kosami.
Templar Sword;На лезвии красуется едва различимая вязь о верности Сонму и престолу... обычному престолу.;There is a faint etching on the surface of the blade, pledging loyalty to the Host and the court... the common kind of court.;剑身表面隐约可以看到一行铭文，大意为宣誓效忠主与王……不过是普通意义的王。;Es gibt eine schwache Gravur auf der Oberfläche der Klinge, die dem GASTGEBER und dem Gericht die Treue verspricht... die übliche Art von Gericht.;;;;Na ostrzu widoczny jest wytarty napis sławiący wierność Gospodarzowi oraz Sądowi... typowe dla Sądu.
